# Genepanel: CortikalMalf Version: 02 Date: 2016-06-21        Post-processed: 2016-06-30 Removed genes: 2016-10-24
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ACTB	?Dystonia, juvenile-onset	AD	607371			
ACTB	Baraitser-Winter syndrome 1	AD	243310			
ACTG1	Baraitser-Winter syndrome 2	AD	614583			
AKT1	Cowden syndrome 6	AD	615109			
AKT1	Proteus syndrome, somatic	somatic	176920			
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937			
AMPD2	Pontocerebellar hypoplasia, type 9	AR	615809			
AMPD2	?Spastic paraplegia 63	AR	615686			
AP1S2	Mental retardation, X-linked syndromic 5	XR	304340			
ARFGEF2	Periventricular heterotopia with microcephaly	AR	608097			
ARX	Epileptic encephalopathy, early infantile, 1	XR	308350			
ARX	Proud syndrome	X	300004			
ARX	Partington syndrome	XR	309510			
ARX	Mental retardation, X-linked 29 and others		300419			
ARX	Lissencephaly, X-linked 2	X	300215			
ARX	Hydranencephaly with abnormal genitalia	X	300215			
ASNS	Asparagine synthetase deficiency	AR	615574			
ASPM	Microcephaly 5, primary, autosomal recessive	AR	608716			
ASXL1	Bohring-Opitz syndrome	AD	605039			
ATP6V0A2	Cutis laxa, autosomal recessive, type IIA	AR	219200			
ATP6V0A2	Wrinkly skin syndrome	AR	278250			
ATR	Seckel syndrome 1	AR	210600			
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11	AR	615181			
B3GNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 13	AR	615287			
CASC5	Microcephaly 3, primary, autosomal recessive	AR	604321			
CASK	Mental retardation, with or without nystagmus	X	300422			
CASK	Mental retardation and microcephaly with pontine and cerebellar hypoplasia	XD	300749			
CASK	FG syndrome 4	X	300422			
CCDC22	Ritscher-Schinzel syndrome 2	XR	300963			
CCND2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3	AD	615938			
CDK5	Lissencephaly 7 with cerebellar hypoplasia	AR	616342			
CDK5RAP2	Microcephaly 3, primary, autosomal recessive	AR	604804			
CENPJ	Microcephaly 6, primary, autosomal recessive	AR	608393			
CENPJ	?Seckel syndrome 4	AR	613676			
CEP152	Seckel syndrome 5	AR	613823			
CEP152	Microcephaly 9, primary, autosomal recessive	AR	614852			
CHMP1A	Pontocerebellar hypoplasia, type 8	AR	614961			
CLP1	Pontocerebellar hypoplasia, type 10	AR	615803			
CNTNAP2	Cortical dysplasia-focal epilepsy syndrome		610042			
CNTNAP2	Pitt-Hopkins like syndrome 1	AR	610042			
COL18A1	Knobloch syndrome, type 1	AR	267750			
COL4A1	Porencephaly 1	AD	175780			
COL4A1	Brain small vessel disease with or without ocular anomalies	AD	607595			
COL4A1	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps	AD	611773			
COL4A2	Porencephaly 2	AD	614483			
CRB2	Ventriculomegaly with cystic kidney disease	AR	219730			
CUL4B	Mental retardation, X-linked, syndromic 15 (Cabezas type)	XR	300354			
DAG1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9	AR	616538			
DCHS1	Van Maldergem syndrome 1	AR	601390			
DCX	Lissencephaly, X-linked	X	300067			
DCX	Subcortical laminal heteropia, X-linked	X	300067			
DEPDC5	Epilepsy, familial focal, with variable foci	AD	604364			
DKC1	Dyskeratosis congenita, X-linked	XR	305000			
DNMT3A	Tatton-Brown-Rahman syndrome	AD	615879			
DYNC1H1	Mental retardation, autosomal dominant 13	AD	614563			
EMG1	Bowen-Conradi syndrome	AR	211180			
EML1	Subcortical band heterotopia, atypical	AR		24859200		
EPG5	Vici syndrome	AR	242840			
ERCC1	Cerebrooculofacioskeletal syndrome 4	AR	610758			
ERCC5	Xeroderma pigmentosum, group G/Cockayne syndrome	AR	278780			
ERCC5	Xeroderma pigmentosum, group G	AR	278780			
ERCC5	Cerebrooculofacioskeletal syndrome 3	AR	616570			
ERCC6	De Sanctis-Cacchione syndrome	AR	278800			
ERCC6	Cockayne syndrome, type B	AR	133540			
ERCC6	Cerebrooculofacioskeletal syndrome 1	AR	214150			
ERMARD	?Periventricular nodular heterotopia 6	AD	615544			
EXOSC3	Pontocerebellar hypoplasia, type 1B	AR	614678			
EXOSC8	Pontocerebellar hypoplasia, type 1C	AR	616081			
EZH2	Weaver syndrome	AD	277590			
FAT4	Van Maldergem syndrome 2	AR	615546			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5	AR	606612			
FKRP	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5	AR	613153			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4	AR	613152			
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	AR	253800			
FLNA	FG syndrome 2		300321			
FLNA	Heterotopia, periventricular, ED variant		300537			
FLNA	Heterotopia, periventricular	XD	300049			
FLNA	Otopalatodigital syndrome, type II	XD	304120			
FLVCR2	Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome	AR	225790			
GFAP	Alexander disease	AD	203450			
GMPPB	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14	AR	615350			
GMPPB	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 14	AR	615351			
GPR56	Polymicrogyria, bilateral perisylvian	AR	615752			
GPR56	Polymicrogyria, bilateral frontoparietal	AR	606854			
GPSM2	Chudley-McCullough syndrome	AR	604213			
HEPACAM	Megalencephalic leukoencephalopathy with subcortical cysts 2B, remitting, with or without mental retardation	AD	613926			
HEPACAM	Megalencephalic leukoencephalopathy with subcortical cysts 2A	AR	613925			
IER3IP1	Microcephaly, epilepsy, and diabetes syndrome	AR	614231			
ISPD	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7	AR	614643			
JAM3	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts	AR	613730			
KATNB1	Lissencephaly 6, with microcephaly	AR	616212			
KIAA0196	Ritscher-Schinzel syndrome 1	AR	220210			
KIAA1279	Goldberg-Shprintzen megacolon syndrome	AR	609460			
KIF11	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation	AD	152950			
KIF2A	Cortical dysplasia, complex, with other brain malformations 3	AD	615411			
KIF5C	Cortical dysplasia, complex, with other brain malformations 2	AD	615282			
KPTN	Mental retardation, autosomal recessive 41	AR	615637			
L1CAM	Hydrocephalus with congenital idiopathic intestinal pseudoobstruction	XR	307000			
L1CAM	Hydrocephalus due to aqueductal stenosis	XR	307000			
L1CAM	CRASH syndrome	XR	303350			
L1CAM	Corpus callosum, partial agenesis of	X	304100			
L1CAM	MASA syndrome	XR	303350			
L1CAM	Hydrocephalus with Hirschsprung disease	XR	307000			
LAMA2	Muscular dystrophy, congenital, due to partial LAMA2 deficiency	AR	607855			
LAMA2	Muscular dystrophy, congenital merosin-deficient	AR	607855			
LAMB1	Lissencephaly 5	AR	615191			
LAMC3	Cortical malformations, occipital	AR	614115			
LARGE	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6	AR	608840			
LARGE	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6	AR	613154			
MCPH1	Microcephaly 1, primary, autosomal recessive	AR	251200			
MED12	Opitz-Kaveggia syndrome	XR	305450			
MED12	Ohdo syndrome, X-linked	XR	300895			
MED12	Lujan-Fryns syndrome	XR	309520			
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	604004			
MTOR	Smith-Kingsmore syndrome	Ad	616638			
MYCN	Feingold syndrome	AD	164280			
NBN	Nijmegen breakage syndrome	AR	251260			
NDE1	Lissencephaly 4 (with microcephaly)	AR	614019			
NDE1	?Microhydranencephaly	AR	605013			
NFIX	Marshall-Smith syndrome	AD	602535			
NFIX	Sotos syndrome 2	AD	614753			
NSD1	Sotos syndrome 1	AD	117550			
NSDHL	CK syndrome	XR	300831			
NSDHL	CHILD syndrome	XD	308050			
OCLN	Band-like calcification with simplified gyration and polymicrogyria	AR	251290			
OFD1	Simpson-Golabi-Behmel syndrome, type 2	XR	300209			
OFD1	Orofaciodigital syndrome I	XD	311200			
OFD1	Joubert syndrome 10		300804			
OPHN1	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	XR	300486			
PAFAH1B1	Lissencephaly 1	IC	607432			
PAFAH1B1	Subcortical laminar heterotopia	IC	607432			
PCNT	Microcephalic osteodysplastic primordial dwarfism, type II	AR	210720			
PIK3CA	Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic	somatic	602501			
PIK3CA	Cowden syndrome 5	AD	615108			
PIK3R2	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	AD	603387			
PLK4	Microcephaly and chorioretinopathy, autosomal recessive, 2	AR	616171			
PNKP	Microcephaly, seizures, and developmental delay	AR	613402			
PNKP	Ataxia-oculomotor apraxia 4	AR	616267			
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3	AR	613151			
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	AR	253280			
POMGNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8	AR	614830			
POMK	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12	AR	615249			
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1	AR	613155			
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1	AR	236670			
POMT2	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 2	AR	613156			
POMT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 2	AR	613150			
PTEN	Lhermitte-Duclos syndrome	AD	158350			
PTEN	VATER association with macrocephaly and ventriculomegaly	AR	276950			
PTEN	Cowden syndrome 1	AD	158350			
PTEN	Bannayan-Riley-Ruvalcaba syndrome	AD	153480			
PTEN	Macrocephaly/autism syndrome	AD	605309			
PTF1A	Pancreatic and cerebellar agenesis	AR	609069			
QARS	Microcephaly, progressive, seizures, and cerebral and cerebellar atrophy	AR	615760			
RAB18	Warburg micro syndrome 3	AR	614222			
RAB3GAP1	Warburg micro syndrome 1	AR	600118			
RAB3GAP2	Martsolf syndrome	AR	212720			
RAB3GAP2	Warburg micro syndrome 2	AR	614225			
RARS2	Pontocerebellar hypoplasia, type 6	AR	611523			
RBBP8	Jawad syndrome	AR	251255			
RBBP8	Seckel syndrome 2	AR	606744			
RBM10	TARP syndrome	XR	311900			
RELN	Lissencephaly 2 (Norman-Roberts type)	AR	257320			
RTEL1	Dyskeratosis congenita, autosomal recessive 5	AR;AD	615190			
RTEL1	Dyskeratosis congenita, autosomal dominant 4	AR;AD	615190			
RTTN	Microcephaly, short stature, and polymicrogyria with seizures	AR	614833			
SEPSECS	Pontocerebellar hypoplasia type 2D	AR	613811			
SLC25A19	Microcephaly, Amish type	AR	607196			
SNAP29	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome	AR	609528			
SRD5A3	Congenital disorder of glycosylation, type Iq	AR	612379			
STAMBP	Microcephaly-capillary malformation syndrome	AR	614261			
STIL	Microcephaly 7, primary, autosomal recessive	AR	612703			
STRADA	Polyhydramnios, megalencephaly, and symptomatic epilepsy	AR	611087			obs påvist også punktmutasjoner BI W et al, Am J Med Genet A. 2016
TBC1D20	Warburg micro syndrome 4	AR	615663			
TBC1D7	Macrocephaly/megalencephaly syndrome, autosomal recessive	AR	248000			
TMEM5	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10	AR	615041			
TRAIP	Seckel syndrome 9	AR	616777			
TSC1	Tuberous sclerosis-1	AD	191100			
TSC2	Tuberous sclerosis-2	AD	613254			
TSEN2	Pontocerebellar hypoplasia type 2B	AR	612389			
TSEN54	Pontocerebellar hypoplasia type 4	AR	225753			
TSEN54	Pontocerebellar hypoplasia type 2A	AR	277470			
TSEN54	?Pontocerebellar hypoplasia type 5	AR	610204			
TUBA1A	Lissencephaly 3	AD	611603			
TUBA8	Polymicrogyria with optic nerve hypoplasia	AR	613180			
