# Genepanel: Immun Version: 01 Date: 2016-06-15        Post-processed: 2016-06-28
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ACD	?Dyskeratosis congenita, autosomal recessive 7	AR;AD	616553			
ACD	?Dyskeratosis congenita, autosomal dominant 6	AR;AD	616553			
ACP5	Spondyloenchondrodysplasia with immune dysregulation	AR	607944			
ADA	Severe combined immunodeficiency due to ADA deficiency	AR	102700			
ADA	Adenosine deaminase deficiency, partial	AR	102700			
ADAR	Dyschromatosis symmetrica hereditaria	AD	127400			
ADAR	Aicardi-Goutieres syndrome 6	AR	615010			
AICDA	Immunodeficiency with hyper-IgM, type 2	AR	605258			
AIRE	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AR;AD	240300			
AK2	Reticular dysgenesis	AR	267500			
AP3B1	Hermansky-Pudlak syndrome 2	AR	608233			
ATM	Ataxia-telangiectasia	AR	208900			
B2M	Immunodeficiency 43	AR	241600			
BCL10	?Immunodeficiency 37	AR	616098			
BLM	Bloom syndrome	AR	210900			
BLNK	Agammaglobulinemia 4	AR	613502			
BLOC1S6	Hermansky-pudlak syndrome 9	AR	614171			
BRCA2	Fanconi anemia, complementation group D1	AR	605724			
BRIP1	Fanconi anemia, complementation group J		609054			
BTK	Agammaglobulinemia, X-linked 1	XR	300755			
BTK	Agammaglobulinemia and isolated hormone deficiency	XR	307200			
C15orf41	Dyserythropoietic anemia, congenital, type Ib	AR	615631			
C1QA	C1q deficiency	AR	613652			
C1QB	C1q deficiency	AR	613652			
C1QC	C1q deficiency	AR	613652			
C1R	C1r/C1s deficiency, combined	AR	216950			
C1S	C1s deficiency		613783			
C2	C2 deficiency	AR	217000			
C3	C3 deficiency	AR	613779			
C5	C5 deficiency	AR	609536			
C6	C6 deficiency	AD?AR?	612446			
C7	C7 deficiency	AR	610102			
C8A	C8 deficiency, type I	AR	613790			
C8B	C8 deficiency, type II	AR	613789			
C9	C9 deficiency	AR	613825			
CA2	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	259730			
CARD11	Immunodeficiency 11	AR	615206			
CARD9	Candidiasis, familial, 2, autosomal recessive	AR	212050			
CASP10	Autoimmune lymphoproliferative syndrome, type II	AD	603909			
CASP8	?Autoimmune lymphoproliferative syndrome, type IIB	AR	607271			
CD19	Immunodeficiency, common variable, 3	AR	613493			
CD247	?Immunodeficiency 25	AR	610163			
CD27	Lymphoproliferative syndrome 2	AR	615122			
CD3D	Immunodeficiency 19	AR	615617			
CD3E	Immunodeficiency 18, SCID variant	AR	615615			
CD3E	Immunodeficiency 18	AR	615615			
CD3G	Immunodeficiency 17, CD3 gamma deficient	AR	615607			
CD40	Immunodeficiency with hyper-IgM, type 3	AR	606843			
CD40LG	Immunodeficiency, X-linked, with hyper-IgM	XR	308230			
CD79A	Agammaglobulinemia 3	AR	613501			
CD79B	Agammaglobulinemia 6	AR	612692			
CD81	Immunodeficiency, common variable, 6	AR	613496			
CD8A	CD8 deficiency, familial	AR	608957			
CDAN1	Dyserythropoietic anemia, congenital, type Ia	AR	224120			
CEBPE	Specific granule deficiency	AR	245480			
CECR1	Polyarteritis nodosa, childhood-onset	AR	615688			
CFB	?Complement factor B deficiency	AR	615561			
CFD	Complement factor D deficiency	AR	613912			
CFH	Complement factor H deficiency	AR;AD	609814			
CFHR5	Nephropathy due to CFHR5 deficiency	AD	614809			
CFI	Complement factor I deficiency	AR	610984			
CFP	PROPERDIN DEFICIENCY, X-LINKED	XLR	312060			
CHD7	CHARGE syndrome	AD	214800			
CIITA	BARE LYMPHOCYTE SYNDROME, TYPE II	AR	209920			
CLCN7	Osteopetrosis, autosomal recessive 4	AR	611490			
CLCN7	Osteopetrosis, autosomal dominant 2	AD	166600			
CLEC7A	Candidiasis, familial, 4, autosomal recessive	AR	613108			
COLEC11	3MC syndrome 2	AR	265050			Også i Nijmegen
COPA	{Autoimmune interstitial lung, joint, and kidney disease}	AD	616414			
