# Genepanel: KFM Version: 01 Date: 2016-03-29        Post-processed: 2016-06-27
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
ASXL1	Bohring-Opitz syndrome	AD	605039			
BMP4	Orofacial cleft 11	AD	600625			
BMP4	Microphthalmia, syndromic 6	AD	607932			
CDC45	Saethre-Chotzen syndrome	AR		25985138		
CHD7	CHARGE syndrome	AD	214800			
COL11A1	Stickler syndrome, type II	AD	604841			
COL11A1	Marshall syndrome	AD	154780			
COL11A2	Weissenbacher-Zweymuller syndrome	AD	277610			
COL11A2	Stickler syndrome, type III	AD	184840			
COL2A1	Kniest dysplasia	AD	156550			
COL2A1	Stickler syndrome, type I	AD	108300			
COL2A1	Stickler sydrome, type I, nonsyndromic ocular	AD	609508			
COL2A1	Otospondylomegaepiphyseal dysplasia	AR	215150			
COL2A1	Spondyloperipheral dysplasia	AD	271700			
COL9A1	Stickler syndrome, type IV	AR	614134			
COL9A2	?Stickler syndrome, type V	AR	614284			
COLEC11	3MC syndrome 2	AR	265050			
DHODH	Miller syndrome	AR	263750			
EDN1	Auriculocondylar syndrome 3	AR	615706			
EDNRA	Mandibulofacial dysostosis with alopecia	AD	616367			
EFNB1	Craniofrontonasal dysplasia	XD	304110			
EFTUD2	Mandibulofacial dysostosis, Guion-Almeida type	AD	610536			
EIF4A3	Robin sequence with cleft mandible and limb anomalies	AR	268305			
ERF	Craniosynostosis 4	AD	600775			
EYA1	Anterior segment anomalies with or without cataract	AD	113650			
EYA1	?Otofaciocervical syndrome	AD	166780			
EYA1	Branchiootorenal syndrome 1, with or without cataracts	AD	113650			
FGFR1	Hartsfield syndrome	AD	615465			
FGFR1	Pfeiffer syndrome	AD	101600			
FGFR1	Jackson-Weiss syndrome	AD	123150			
FGFR2	Crouzon syndrome	AD	123500			
FGFR2	Saethre-Chotzen syndrome	AD	101400			
FGFR2	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	AR	207410			
FGFR2	Pfeiffer syndrome	AD	101600			
FGFR2	Craniofacial-skeletal-dermatologic dysplasia	AD	101600			
FGFR2	LADD syndrome	AD	149730			
FGFR2	Bent bone dysplasia syndrome	AD	614592			
FGFR2	Jackson-Weiss syndrome	AD	123150			
FGFR2	Scaphocephaly, maxillary retrusion, and mental retardation	AD	609579			
FGFR2	Beare-Stevenson cutis gyrata syndrome	AD	123790			
FGFR2	Apert syndrome	AD	101200			
FGFR3	Muenke syndrome	AD	602849			
FGFR3	LADD syndrome	AD	149730			
FGFR3	Crouzon syndrome with acanthosis nigricans	AD	612247			
GNAI3	Auriculocondylar syndrome 1	AD	602483			
GRHL3	Van der Woude syndrome 2	AD	606713			
GSC	Short stature, auditory canal atresia, mandibular hypoplasia, skeletal abnormalities	AR	602471			
IHH	Acrocapitofemoral dysplasia	AR	607778			
IL11RA	Craniosynostosis and dental anomalies	AR	614188			
IRF6	van der Woude syndrome	AD	119300			
MEGF8	Carpenter syndrome 2	AR	614976			
MSX1	Orofacial cleft 5	AD	608874			
MSX2	Craniosynostosis, type 2	AD	604757			
MSX2	Parietal foramina with cleidocranial dysplasia	AD	168550			
PAX1	?Otofaciocervical syndrome 2	AR	615560			
PLCB4	Auriculocondylar syndrome 2	AR;AD	614669			
POLR1A	Acrofacial dysostosis, Cincinnati type	AD	616462			
POLR1C	Treacher Collins syndrome 3	AR	248390			
POLR1D	Treacher Collins syndrome 2	AD	613717			
POR	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	AR	201750			
PVRL1	Orofacial cleft 7	AR	225060			
PVRL1	Cleft lip/palate-ectodermal dysplasia syndrome	AR	225060			
RAB23	Carpenter syndrome	AR	201000			
RUNX2	Cleidocranial dysplasia	AD	119600			
RUNX2	Cleidocranial dysplasia, forme fruste, with brachydactyly	AD	119600			
RUNX2	Cleidocranial dysplasia, forme fruste, dental anomalies only	AD	119600			
SALL1	Townes-Brocks syndrome	AD	107480			
SALL1	Townes-Brocks branchiootorenal-like syndrome	AD	107480			
SALL4	Duane-radial ray syndrome	AD	607323			
SEMA3E	?CHARGE syndrome	AD	214800			
SF3B4	Acrofacial dysostosis 1, Nager type	AD	154400			
SIX1	Brachiootic syndrome 3	AD	608389			
SIX5	Branchiootorenal syndrome 2	AD	610896			
SKI	Shprintzen-Goldberg syndrome	AD	182212			
SNRPB	Cerebrocostomandibular syndrome	AR;AD	117650			
SUMO1	Orofacial cleft 10	AD	613705			
TBX1	Velocardiofacial syndrome	AD	192430			
TCF12	Craniosynostosis 3	AD	615314			
TCOF1	Treacher Collins syndrome 1	AD	154500			
TGDS	Catel-Manzke syndrome	AR	616145			
TP63	Rapp-Hodgkin syndrome	AD	129400			
TP63	Orofacial cleft 8	AD	129400			
TP63	Hay-Wells syndrome	AD	106260			
TP63	Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3	AD	604292			
TWIST1	Craniosynostosis, type 1	AD	123100			
TWIST1	Saethre-Chotzen syndrome with eyelid anomalies	AD	101400			
TWIST1	Saethre-Chotzen syndrome	AD	101400			
TXNL4A	Burn-McKeown syndrome	AR	608572			
UBB	Cleft palate, isolated	AD	119540			
WDR35	Cranioectodermal dysplasia 2	AR	613610			
ZIC1	Craniosynostosis 6	AD	616602			
