# Genepanel: Mitokon Version: 02 Date: 2016-08-18
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
AARS	Epileptic encephalopathy, early infantile, 29	AR	616339	25817015		
AARS	Charcot-Marie-Tooth disease, axonal, type 2N	AD	613287			
AARS2	Combined oxidative phosphorylation deficiency 8	AR	614096			
ABCB7	Cerebellar ataxia with or without sideroblastic anemia	XR	301310			
ACAD9	Mitochondrial complex I deficiency	AR	611126			
ACO2	Infantile cerebellar-retinal degeneration	AR	614559			
ADCK3	Coenzyme Q10 deficiency, primary, 4	AR	612016			
ADCK4	Nephrotic syndrome, type 9, with or without seizures, mild mental retardation, retinitis pigmentosa	AR	615573	25967120		Coenzyme Q10-biosynthesis
AFG3L2	Spinocerebellar ataxia 28	AD	610246			
AFG3L2	Ataxia, spastic, 5, autosomal recessive	AR	614487			
AGK	Sengers syndrome	AR	212350			
AIFM1	Cowchock syndrome	XR	310490			
AIFM1	Combined oxidative phosphorylation deficiency 6	XR	300816			
AIFM1	Spondyloepimetaphyseal dysplasia with neurodegeneration	XR		27102849		
ANO10	Spinocerebellar ataxia, autosomal recessive 10	AR	613728			
APOPT1	Mitochondrial complex IV deficiency	AR	220110			
APTX	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920			
ATP5A1	Mitochondrial complex (ATP synthase) deficiency, nuclear type 4	AR	615228			
ATP5A1	Combined oxidative phosphorylation deficiency 22	AR	616045			
ATP5E	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3	AR	614053			
ATPAF2	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1	AR	604273			
BCS1L	Mitochondrial complex III deficiency, nuclear type 1	AR	124000			
BCS1L	Leigh syndrome	AR	256000			
BCS1L	GRACILE syndrome	AR	603358			
BCS1L	Bjornstad syndrome	AR	262000			
BOLA3	Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia	AR	614299			
C10orf2	Progressive external ophthalmoplegia with mitochondrial DNA deletions	AD	609286			
C10orf2	Perrault syndrome 5	AR	616138			
C10orf2	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type)	AR	271245			
C12orf65	Spastic paraplegia 55, autosomal recessive	AR	615035			
C12orf65	Combined oxidative phosphorylation deficiency 7	AR	613559			
C19orf12	Neurodegeneration with brain iron accumulation 4	AR	614298			
C19orf12	Spastic paraplegia 43, autosomal recessive	AR	615043			
CA5A	Hyperammonemia due to carbonic anhydrase VA deficiency	AR	615751			
CARS2	Combined oxidative phosphorylation deficiency 27	AR	616672			
CEP89	Mitochondrial complex IV deficiency	AR		23575228		
CHCHD10	Spinal muscular atrophy, Jokela type	AD	615048			
CHCHD10	Myopathy, isolated mitochondrial, autosomal dominant	AD	616209			
CHKB	Muscular dystrophy, congenital, megaconial type	AR	602541			
CISD2	Wolfram syndrome 2	AR	604928			
CLPB	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia	AR	616271			
CLPP	Perrault syndrome 3	AR	614129			
COA3	Mitochondrial complex IV deficiency	AR		25604084		
COA5	Cardioencephalomyopathy, fatal infantile	AR	616500			
COA6	Cardioencephalomyopathy, fatal infantile	AR	616501			
COASY	Neurodegeneration with brain iron accumulation 6	AR	615643			
COQ2	Coenzyme Q10 deficiency, primary, 1	AR	607426			
COQ4	Coenzyme Q10 deficiency, primary, 7	AR	616276			
COQ6	Coenzyme Q10 deficiency, primary, 6	AR	614650			
COQ9	Coenzyme Q10 deficiency, primary, 5	AR	614654			
COX10	Mitochondrial complex IV deficiency	AR	220110			
COX10	Leigh syndrome	AR	256000			
COX14	Mitochondrial complex IV deficiency	AR	220110			
COX15	Leigh syndrome	AR	256000			
COX15	Cardioencephalomyopathy, fatal infantile	AR	615119			
COX20	Mitochondrial complex IV deficiency	AR	220110			
COX4I2	Exocrine pancreatic insufficiency, dyserythropoeitic anemia and calvarial hyperostosis	AR		19268275		
COX6A1	Charcot-Marie-Tooth disease, recessive intermediate D	AR	616039			
COX6B1	Mitochondrial complex IV deficiency	AR	220110			
COX7B	Linear skin defects with multiple congenital anomalies	XD	300887			
COX8A	Mitochondrial complex IV deficiency	AR	220110			
CYC1	Mitochondrial complex III deficiency, nuclear type 6	AR	615453			
DARS	Hypomyelination with brainstem and spinal cord involvement and leg spasticity	AR	615281			
DARS2	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation	AR	611105			
DCAF17	Woodhouse-Sakati syndrome	AR	241080			
DGUOK	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)	AR	251880			
DHTKD1	Charcot-Marie-Tooth disease, axonal, type 2Q	AD	615025			
DHTKD1	2-aminoadipic 2-oxoadipic aciduria	AR	204750			
DLAT	Pyruvate dehydrogenase E2 deficiency	AR	245348			
DLD	Dihydrolipoamide dehydrogenase deficiency	AR	246900			
DNA2	Seckel syndrome 8	AR	615807			
DNA2	Progressive external ophthalmoplegia with mitochondrial DNA deletions	AD	615156			
DNAJC19	3-methylglutaconic aciduria, type V	AR	610198			
DNM1L	Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission	AD	614388			
EARS2	Combined oxidative phosphorylation deficiency 12	AR	614924			
ECHS1	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	AR	616277			
ELAC2	Combined oxidative phosphorylation deficiency 17	AR	615440			
EPG5	Vici syndrome	AR	242840			
ETHE1	Ethylmalonic encephalopathy	AR	602473			
FARS2	Combined oxidative phosphorylation deficiency 14	AR	614946			
FASTKD2	Mitochondrial complex IV deficiency	AR	220110			
FBXL4	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type)	AR	615471			
FDX1L	Mitochondrial myopathy with lactic acidosis	AR		24281368		
FOXRED1	Mitochondrial complex I deficiency	AR	252010			
FOXRED1	Leigh syndrome	AR	256000			
FTL	Neurodegeneration with brain iron accumulation 3	AD	606159			
