# Genepanel: PU Version: 01 Date: 2016-10-14        Post-processed: 2016-10-20 Removed genes: 2016-10-21
#gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
AAAS	Achalasia-addisonianism-alacrimia syndrome	AR	231550			
AASS	Hyperlysinemia	AR	238700			
AASS	Saccharopinuria	AR	268700			
ABCC9	Hypertrichotic osteochondrodysplasia	AD	239850			
ABCD1	Adrenoleukodystrophy	XR	300100			
ABCD4	Methylmalonic aciduria and homocystinuria, cblJ type	AR	614857			
ABHD5	Chanarin-Dorfman syndrome	AR	275630			
ACAD9	Mitochondrial complex I deficiency due to ACAD9 deficiency	AR	611126			
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	201450			
ACADS	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	201470			
ACADVL	VLCAD deficiency	AR	201475			
ACAT1	Alpha-methylacetoacetic aciduria	AR	203750			
ACO2	Infantile cerebellar-retinal degeneration	AR	614559			
ACOX1	Peroxisomal acyl-CoA oxidase deficiency	AR	264470			
ACSL4	Mental retardation, X-linked 63	XD	300387			
ACTA2	Moyamoya disease 5		614042			
ACTA2	Multisystemic smooth muscle dysfunction syndrome	AD	613834			
ACTB	?Dystonia, juvenile-onset	AD	607371			
ACTB	Baraitser-Winter syndrome 1	AD	243310			
ACTG1	Baraitser-Winter syndrome 2	AD	614583			
ACTG1	Deafness, autosomal dominant 20/26	AD	604717			
ACVR1	Fibrodysplasia ossificans progressiva	AD	135100			
ACVR2B	Heterotaxy, visceral, 4, autosomal		613751			
ACY1	Aminoacylase 1 deficiency	AR	609924			
ADAR	Aicardi-Goutieres syndrome 6	AR	615010			
ADAR	Dyschromatosis symmetrica hereditaria	AD	127400			
ADCK3	Coenzyme Q10 deficiency, primary, 4	AR	612016			
ADK	Hypermethioninemia due to adenosine kinase deficiency	AR	614300			
ADNP	Helsmoortel-van der Aa syndrome	AD	615873			
ADRA2B	Epilepsy, myoclonic, familial adult, 2	AD	607876			
ADSL	Adenylosuccinase deficiency	AR	103050			
AFF2	Mental retardation, X-linked, FRAXE type	XR	309548			
AFG3L2	Ataxia, spastic, 5, autosomal recessive	AR	614487			
AFG3L2	Spinocerebellar ataxia 28	AD	610246			
AGA	Aspartylglucosaminuria	AR	208400			
AGK	Sengers syndrome	AR	212350			
AGL	Glycogen storage disease IIIa	AR	232400			
AGL	Glycogen storage disease IIIb	AR	232400			
AGXT	Hyperoxaluria, primary, type 1	AR	259900			
AHDC1	Xia-Gibbs syndrome	AD	615829			
AIFM1	Combined oxidative phosphorylation deficiency 6	XR	300816			
AIFM1	Cowchock syndrome	XR	310490			
AIFM1	Deafness, X-linked 5	XR	300614			
AIMP1	Leukodystrophy, hypomyelinating, 3	AR	260600			
AKT1	Cowden syndrome 6	AD	615109			
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937			
ALDH18A1	Cutis laxa, autosomal dominant 3	AD	616603			
ALDH18A1	Cutis laxa, autosomal recessive, type IIIA	AR;IC	219150			
ALDH18A1	Spastic paraplegia 9A, autosomal dominant	AD	601162			
ALDH18A1	Spastic paraplegia 9B, autosomal recessive	AR	616586			
ALDH3A2	Sjogren-Larsson syndrome	AR	270200			
ALDH4A1	Hyperprolinemia, type II	AR	239510			
ALDH5A1	Succinic semialdehyde dehydrogenase deficiency	AR	271980			
ALDH7A1	Epilepsy, pyridoxine-dependent	AR	266100			
ALDOA	Glycogen storage disease XII	AR	611881			
ALDOB	Fructose intolerance	AR	229600			
ALG1	Congenital disorder of glycosylation, type Ik	AR	608540			
ALG11	Congenital disorder of glycosylation, type Ip	AR	613661			
ALG12	Congenital disorder of glycosylation, type Ig	AR	607143			
ALG13	Epileptic encephalopathy, early infantile, 36	XR	300884			
ALG2	?Congenital disorder of glycosylation, type Ii	AR	607906			
ALG2	Myasthenic syndrome, congenital, 14, with tubular aggregates	AR	616228			
ALG3	Congenital disorder of glycosylation, type Id	AR	601110			
ALG6	Congenital disorder of glycosylation, type Ic	AR	603147			
ALG8	Congenital disorder of glycosylation, type Ih	AR	608104			
ALG9	Congenital disorder of glycosylation, type Il	AR	608776			
ALG9	Gillessen-Kaesbach-Nishimura syndrome	AR	263210			
ALMS1	Alstrom syndrome	AR	203800			
ALPL	Hypophosphatasia, adult	AD;AR	146300			
ALPL	Hypophosphatasia, childhood	AR	241510			
ALPL	Hypophosphatasia, infantile	AR	241500			
ALPL	Odontohypophosphatasia	AD;AR	146300			
ALX1	?Frontonasal dysplasia 3	AR	613456			
ALX3	Frontonasal dysplasia 1	AR	136760			
ALX4	Frontonasal dysplasia 2	AR	613451			
ALX4	Parietal foramina 2	AD	609597			
AMER1	Osteopathia striata with cranial sclerosis	XD	300373			
AMPD2	Pontocerebellar hypoplasia, type 9	AR	615809			
AMT	Glycine encephalopathy	AR	605899			
ANKRD11	KBG syndrome	AD	148050			
AP1S2	Mental retardation, X-linked syndromic 5	XR	304340			
AP4B1	Spastic paraplegia 47, autosomal recessive	AR	614066			
AP4E1	Spastic paraplegia 51, autosomal recessive	AR	613744			
AP4M1	Spastic paraplegia 50, autosomal recessive	AR	612936			
AP4S1	Spastic paraplegia 52, autosomal recessive	AR	614067			
APOPT1	Mitochondrial complex IV deficiency	M;AR	220110			
APTX	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR	208920			
ARFGEF2	Periventricular heterotopia with microcephaly	AR	608097			
ARG1	Argininemia	AR	207800			
ARHGAP31	Adams-Oliver syndrome 1	AD	100300			
ARHGEF6	Mental retardation, X-linked 46	XR	300436			
ARHGEF9	Epileptic encephalopathy, early infantile, 8	XR	300607			
ARID1A	Coffin-Siris syndrome 2	AD	614607			
ARID1B	Coffin-Siris syndrome 1	AD	135900			
ARL6	Bardet-Biedl syndrome 3	AR	600151			
ARL6	{Bardet-Biedl syndrome 1, modifier of}	DR;AR	209900			
ARSA	Metachromatic leukodystrophy	AR	250100			
ARSE	Chondrodysplasia punctata, X-linked recessive	XR	302950			
ARX	Epileptic encephalopathy, early infantile, 1	XR	308350			
ARX	Hydranencephaly with abnormal genitalia	X	300215			
ARX	Lissencephaly, X-linked 2	X	300215			
ARX	Mental retardation, X-linked 29 and others	XR	300419			
ARX	Partington syndrome	XR	309510			
ARX	Proud syndrome	X	300004			
ASAH1	Farber lipogranulomatosis	AR	228000			
ASAH1	Spinal muscular atrophy with progressive myoclonic epilepsy	AR	159950			
ASL	Argininosuccinic aciduria	AR	207900			
ASPA	Canavan disease	AR	271900			
ASPM	Microcephaly 5, primary, autosomal recessive	AR	608716			
ASS1	Citrullinemia	AR	215700			
ASXL1	Bohring-Opitz syndrome	AD	605039			
ASXL3	Bainbridge-Ropers syndrome	AD	615485			
ATIC	AICA-ribosiduria due to ATIC deficiency	AR	608688			
ATM	Ataxia-telangiectasia	AR	208900			
ATP13A2	?Ceroid lipofuscinosis, neuronal, 12	AR	606693			
ATP13A2	Kufor-Rakeb syndrome	AR	606693			
ATP1A3	Alternating hemiplegia of childhood 2	AD	614820			
ATP1A3	CAPOS syndrome	AD	601338			
ATP1A3	Dystonia-12	AD	128235			
ATP6AP2	?Mental retardation, X-linked, syndromic, Hedera type	XR	300423			
ATP6AP2	?Parkinsonism with spasticity, X-linked	AR	300911			
ATP7A	Menkes disease	XR	309400			
ATP7A	Occipital horn syndrome	XR	304150			
ATP7A	Spinal muscular atrophy, distal, X-linked 3	XR	300489			
ATR	GAPO syndrome	AR	230740			
ATR	Seckel syndrome 1	AR	210600			
ATRX	Alpha-thalassemia/mental retardation syndrome	XD	301040			
ATRX	Mental retardation-hypotonic facies syndrome, X-linked	XR	309580			
AUH	3-methylglutaconic aciduria, type I	AR	250950			
AUTS2	Mental retardation, autosomal dominant 26	AD	615834			KIAA0442 (HGNC)
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11	AR	615181			
B4GALT7	Ehlers-Danlos syndrome with short stature and limb anomalies	AR	130070			
BBS1	Bardet-Biedl syndrome 1	DR;AR	209900			
BBS10	Bardet-Biedl syndrome 10	AR	615987			
BBS12	Bardet-Biedl syndrome 12	AR	615989			
BBS2	Bardet-Biedl syndrome 2	AR	615981			
BBS2	Retinitis pigmentosa 74	AR	616562			
BBS4	Bardet-Biedl syndrome 4	AR	615982			
BBS5	Bardet-Biedl syndrome 5	AR	615983			
BBS7	Bardet-Biedl syndrome 7	AR	615984			
BBS9	Bardet-Biedl syndrome 9	AR	615986			
BCAP31	Deafness, dystonia, and cerebral hypomyelination	XR	300475			
BCKDHA	Maple syrup urine disease, type Ia	AR	248600			
BCKDHB	Maple syrup urine disease, type Ib	AR	248600			
BCOR	Microphthalmia, syndromic 2	XD	300166			
BCS1L	Bjornstad syndrome	AR	262000			
BCS1L	GRACILE syndrome	AR	603358			
BCS1L	Leigh syndrome	M;AR	256000			
BCS1L	Mitochondrial complex III deficiency, nuclear type 1	AR	124000			
BICD2	Spinal muscular atrophy, lower extremity-predominant, 2, AD	AD	615290			
BIN1	Myopathy, centronuclear, autosomal recessive	AR	255200			
BLM	Bloom syndrome	AR	210900			
BMP4	Microphthalmia, syndromic 6	AD	607932			
BMPER	Diaphanospondylodysostosis	AR	608022			
BOLA3	Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia	AR	614299			
BRAF	Cardiofaciocutaneous syndrome	AD	115150			
BRAF	LEOPARD syndrome 3	AD	613707			
BRAF	Noonan syndrome 7	AD	613706			
BRAT1	Rigidity and multifocal seizure syndrome, lethal neonatal	AR	614498			
BRCA2	{Glioblastoma 3}	AR	613029			BRCA2 skal ikke være med!!
BRIP1	Fanconi anemia, complementation group J		609054			
BRWD3	Mental retardation, X-linked 93	XR	300659			
BSND	Bartter syndrome, type 4a	AR	602522			
BSND	Sensorineural deafness with mild renal dysfunction	AR	602522			
BTD	Biotinidase deficiency	AR	253260			
BUB1B	Mosaic variegated aneuploidy syndrome 1	AR	257300			
BUB1B	[Premature chromatid separation trait]	AD	176430			
C12orf57	Temtamy syndrome	AR	218340			
C12orf65	Combined oxidative phosphorylation deficiency 7	AR	613559			
C12orf65	Spastic paraplegia 55, autosomal recessive	AR	615035			
C2CD3	?Orofaciodigital syndrome XIV	AR	615948			
C5orf42	Joubert syndrome 17	AR	614615			
C5orf42	Orofaciodigital syndrome VI	AR	277170			
CA2	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis	AR	259730			
CA5A	Hyperammonemia due to carbonic anhydrase VA deficiency	AR	615751			
CA8	Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3	AR	613227			
CACNA1C	Timothy syndrome	AD	601005			
CACNA1D	Primary aldosteronism, seizures, and neurologic abnormalities	AD	615474			
CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	AD	614756			
CASK	FG syndrome 4		300422			
CASK	Mental retardation and microcephaly with pontine and cerebellar hypoplasia	XD	300749			
CASK	Mental retardation, with or without nystagmus	XL	300422			
CBL	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	AD	613563			
CBS	Homocystinuria, B6-responsive and nonresponsive types	AR	236200			
CC2D1A	Mental retardation, autosomal recessive 3	AR	608443			
CC2D2A	COACH syndrome	AR	216360			
CC2D2A	Joubert syndrome 9	AR	612285			
CC2D2A	Meckel syndrome 6	AR	612284			
