# Genepanel: TrioPU Version: 01 Date: 2016-01-21        Post-processed: 2016-05-02
gene symbol	phenotype	inheritance	omim_number	pmid	inheritance info	comment
AAAS	Achalasia-addisonianism-alacrimia syndrome	AR	231550			
AASS	Saccharopinuria	AR	268700			
AASS	Hyperlysinemia	AR	238700			
ABCB7	Anemia, sideroblastic, with ataxia	XR	301310			
ABCC9	Hypertrichotic osteochondrodysplasia	AD	239850			
ABCD1	Adrenoleukodystrophy	XR	300100			
ABCD4	Methylmalonic aciduria and homocystinuria, cblJ type	AR	614857			
ABHD5	Chanarin-Dorfman syndrome	AR	275630			
ACAD9	Mitochondrial complex I deficiency due to ACAD9 deficiency	AR	611126			
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR	201450			
ACADS	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR	201470			
ACADVL	VLCAD deficiency	AR	201475			
ACAT1	Alpha-methylacetoacetic aciduria	AR	203750			
ACO2	Infantile cerebellar-retinal degeneration	AR	614559			
ACOX1	Peroxisomal acyl-CoA oxidase deficiency	AR	264470			
ACSL4	Mental retardation, X-linked 63		300387			
ACTA2	Multisystemic smooth muscle dysfunction syndrome	AD	613834			
ACTB	Baraitser-Winter syndrome 1	AD	243310			
ACTB	?Dystonia, juvenile-onset	AD	607371			
ACTG1	Baraitser-Winter syndrome 2	AD	614583			
ACVR1	Fibrodysplasia ossificans progressiva	AD	135100			
ACVR2B	Heterotaxy, visceral, 4, autosomal		613751			
ACY1	Aminoacylase 1 deficiency	AR	609924			
ADAR	Aicardi-Goutieres syndrome 6	AR	615010			
ADCK3	Coenzyme Q10 deficiency, primary, 4	AR	612016			
ADK	Hypermethioninemia due to adenosine kinase deficiency	AR	614300			
ADNP	Helsmoortel-van der Aa syndrome	AD	615873			
ADRA2B	Epilepsy, myoclonic, familial adult, 2	AD	607876			
ADSL	Adenylosuccinase deficiency	AR	103050			
AFF2	Mental retardation, X-linked, FRAXE type	XR	309548			
AFG3L2	Ataxia, spastic, 5, autosomal recessive	AR	614487			
AGA	Aspartylglucosaminuria	AR	208400			
AGK	Sengers syndrome	AR	212350			
AGK	Cataract 38, autosomal recessive	AR	614691			
AGL	Glycogen storage disease IIIb	AR	232400			
AGL	Glycogen storage disease IIIa	AR	232400			
AGXT	Hyperoxaluria, primary, type 1	AR	259900			
AIFM1	Cowchock syndrome	XR	310490			
AIFM1	Combined oxidative phosphorylation deficiency 6	XR	300816			
AIMP1	Leukodystrophy, hypomyelinating, 3	AR	260600			
AKT1	Cowden syndrome 6		615109			
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD	615937			
ALDH18A1	Cutis laxa, autosomal recessive, type IIIA	AR	219150		!	
ALDH18A1	Cutis laxa, autosomal dominant 3	AD	616603			
ALDH18A1	Spastic paraplegia 9B, autosomal recessive	AR	616586			
ALDH18A1	Spastic paraplegia 9A, autosomal dominant	AD	601162			
ALDH3A2	Sjogren-Larsson syndrome	AR	270200			
ALDH4A1	Hyperprolinemia, type II	AR	239510			
ALDH5A1	Succinic semialdehyde dehydrogenase deficiency	AR	271980			
ALDH7A1	Epilepsy, pyridoxine-dependent	AR	266100			
ALDOA	Glycogen storage disease XII	AR	611881			
ALDOB	Fructose intolerance	AR	229600			
ALG1	Congenital disorder of glycosylation, type Ik	AR	608540			
ALG11	Congenital disorder of glycosylation, type Ip	AR	613661			
