# Bindevev_v03
#gene symbol	refseq	x10
FOXE3	NM_012186.2	88.2267
B3GALT6	NM_080605.3	88.2667
TGFBR1	NM_004612.2	97.1933
COL4A5	NM_000495.4	99.6333
COL5A1	NM_000093.4	99.7867
B4GALT7	NM_007255.2	99.82
COL1A2	NM_000089.3	99.8333
COL11A1	NM_001854.3	99.86
NOTCH1	NM_017617.3	99.8667
MED12	NM_005120.2	99.9267
CHST14	NM_130468.3	99.9333
ADAMTS2	NM_014244.4	99.98
COL3A1	NM_000090.3	99.98
COL1A1	NM_000088.3	99.9867
ACTA2	NM_001613.2	100
ADAMTS10	NM_030957.3	100
ALDH18A1	NM_002860.3	100
ATP6V0A2	NM_012463.3	100
COL2A1	NM_001844.4	100
COL5A2	NM_000393.3	100
EFEMP2	NM_016938.4	100
ELN	NM_000501.3	100
FBLN5	NM_006329.3	100
FBN1	NM_000138.4	100
FBN2	NM_001999.3	100
FKBP14	NM_017946.3	100
LTBP2	NM_000428.2	100
LTBP4	NM_003573.2	100
MFAP5	NM_003480.3	100
MYH11	NM_002474.2	100
MYLK	NM_053025.3	100
PLOD1	NM_000302.3	100
PRKG1	NM_006258.3	100
PYCR1	NM_006907.3	100
RIN2	NM_018993.3	100
SKI	NM_003036.3	100
SLC2A10	NM_030777.3	100
SLC39A13	NM_152264.4	100
SMAD2	NM_005901.5	100
SMAD3	NM_005902.3	100
TGFB1	NM_000660.5	100
TGFB2	NM_003238.3	100
TGFB3	NM_003239.3	100
TGFBR2	NM_003242.5	100
