# Immunsvikt_v02
#gene symbol	refseq	x10
RPL15	NM_001253384.1	81.9
TBX1	NM_080647.1	86.2467
WAS	NM_000377.2	91.12
CORO1A	NM_007074.3	92.4
MALT1	NM_006785.3	92.4867
XIAP	NM_001167.3	94.54
RPL5	NM_000969.3	96.22
STAT5B	NM_012448.3	96.8267
TNFRSF11A	NM_003839.3	97.1467
IFNGR2	NM_005534.3	97.52
OSTM1	NM_014028.3	98.1733
FANCE	NM_021922.2	98.1867
RPS7	NM_001011.3	98.5733
CYBA	NM_000101.3	98.8467
CFD	NM_001928.2	98.9933
SRP72	NM_006947.3	99.18
RPS24	NM_033022.3	99.1933
ORAI1	NM_032790.3	99.3
NFKBIA	NM_020529.2	99.3133
TCIRG1	NM_006019.3	99.3333
JAK3	NM_000215.3	99.4133
RAD50	NM_005732.3	99.6133
CSF3R	NM_000760.3	99.68
RBCK1	NM_031229.2	99.6867
RPS26	NM_001029.3	99.6933
RLTPR	NM_001013838.1	99.7867
STIM1	NM_003156.3	99.7867
LYST	NM_000081.3	99.8067
TNFSF12	NM_003809.2	99.8067
SLC37A4	NM_001164277.1	99.8133
TNFRSF4	NM_003327.3	99.8667
PIK3CD	NM_005026.3	99.8733
CFP	NM_002621.2	99.88
PTPRC	NM_002838.4	99.8933
SLC46A1	NM_080669.5	99.9
TERT	NM_198253.2	99.9
RECQL4	NM_004260.3	99.9067
AK2	NM_001625.3	99.92
BRCA2	NM_000059.3	99.92
C5	NM_001735.2	99.92
STAT1	NM_007315.3	99.92
CD40LG	NM_000074.2	99.9267
TMC8	NM_152468.4	99.9267
AP3B1	NM_003664.4	99.9467
EPG5	NM_020964.2	99.9467
PLEKHM1	NM_014798.2	99.9533
PRKDC	NM_006904.6	99.9533
RPL35A	NM_000996.2	99.96
UNC13D	NM_199242.2	99.96
CYBB	NM_000397.3	99.98
FANCB	NM_001018113.1	99.9867
RTEL1	NM_032957.4	99.9867
TCF3	NM_003200.3	99.9867
TFRC	NM_003234.2	99.9867
TMC6	NM_007267.6	99.9933
ACD	NM_001082487.1	100
