# Genepanel: KREFT17 Version: 01 Date: 2016-07-12
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
5	112073555	112181936	NM_000038.5	0	+	APC	DP2,DP3,DP2.5,PPP1R46	ENSG00000134982	ENST00000257430	112090587	112179823	112073555,112090569,112102022,112102885,112111325,112116486,112128142,112136975,112151191,112154662,112157592,112162804,112163625,112164552,112170647,112173249	112073622,112090722,112102107,112103087,112111434,112116600,112128226,112137080,112151290,112155041,112157688,112162944,112163703,112164669,112170862,112181936
10	88516395	88684945	NM_004329.2	0	+	BMPR1A	ALK3,CD292	ENSG00000107779	ENST00000372037	88635775	88683476	88516395,88598621,88635623,88649818,88651883,88659550,88659783,88671996,88676890,88678928,88681276,88683132,88683350	88516676,88598736,88635842,88649981,88651986,88659647,88659883,88672141,88677083,88679226,88681452,88683263,88684945
17	41196311	41277500	NM_007294.3	0	-	BRCA1	RNF53,BRCC1,PPP1R53,FANCS	ENSG00000012048	ENST00000357654	41197694	41276113	41196311,41199659,41201137,41203079,41209068,41215349,41215890,41219624,41222944,41226347,41228504,41234420,41242960,41243451,41247862,41249260,41251791,41256138,41256884,41258472,41267742,41276033,41277287	41197819,41199720,41201211,41203134,41209152,41215390,41215968,41219712,41223255,41226538,41228631,41234592,41243049,41246877,41247939,41249306,41251897,41256278,41256973,41258550,41267796,41276132,41277500
13	32889616	32973809	NM_000059.3	0	+	BRCA2	FAD,FAD1,BRCC2,XRCC11	ENSG00000139618	ENST00000544455	32890597	32972907	32889616,32890558,32893213,32899212,32900237,32900378,32900635,32903579,32905055,32906408,32910401,32918694,32920963,32928997,32930564,32931878,32936659,32937315,32944538,32945092,32950806,32953453,32953886,32954143,32968825,32971034,32972298	32889804,32890664,32893462,32899321,32900287,32900419,32900750,32903629,32905167,32907524,32915333,32918790,32921033,32929425,32930746,32932066,32936830,32937670,32944694,32945237,32950928,32953652,32954050,32954282,32969070,32971181,32973809
16	68771194	68869444	NM_004360.3	0	+	CDH1	uvomorulin,CD324	ENSG00000039068	ENST00000261769	68771318	68867402	68771194,68772199,68835572,68842326,68842595,68844099,68845586,68846037,68847215,68849417,68853182,68855903,68857301,68862076,68863556,68867192	68771366,68772314,68835796,68842470,68842751,68844244,68845762,68846166,68847398,68849662,68853328,68856128,68857529,68862207,68863700,68869444
12	58141509	58146230	NM_000075.3	0	-	CDK4	PSK-J3	ENSG00000135446	ENST00000257904	58142307	58145500	58141509,58142964,58143236,58144438,58144705,58144989,58145282,58145957	58142400,58143100,58143287,58144548,58144873,58145125,58145519,58146230
9	21967750	21975132	NM_000077.4	0	-	CDKN2A	CDK4I,p16,INK4a,MTS1,CMM2,ARF,p19,p14,INK4,p16INK4a,p19Arf,p14ARF	ENSG00000147889	ENST00000304494	21968227	21974826	21967750,21970900,21974676	21968241,21971207,21975132
9	21967750	21994490	NM_058195.3	0	-	CDKN2A	CDK4I,p16,INK4a,MTS1,CMM2,ARF,p19,p14,INK4,p16INK4a,p19Arf,p14ARF	ENSG00000147889	ENST00000361570	21971001	21994330	21967750,21970900,21994137	21968241,21971207,21994490
3	37034840	37092337	NM_000249.3	0	+	MLH1	HNPCC,FCC2,HNPCC2	ENSG00000076242	ENST00000231790	37035038	37092144	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337
2	47630205	47710367	NM_000251.2	0	+	MSH2	HNPCC,HNPCC1	ENSG00000095002	ENST00000233146	47630330	47710088	47630205,47635539,47637232,47639552,47641407,47643434,47656880,47672686,47690169,47693796,47698103,47702163,47703505,47705410,47707834,47709917	47630541,47635694,47637511,47639699,47641557,47643568,47657080,47672796,47690293,47693947,47698201,47702409,47703710,47705658,47708010,47710367
2	48010220	48034092	NM_000179.2	0	+	MSH6		ENSG00000116062	ENST00000234420	48010372	48033999	48010220,48018065,48023032,48025749,48030558,48032048,48032756,48033342,48033590,48033917	48010632,48018262,48023202,48028294,48030824,48032166,48032846,48033497,48033790,48034092
1	45794913	45806142	NM_001128425.1	0	-	MUTYH	MYH	ENSG00000132781	ENST00000450313	45794977	45805926	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799275,45800183,45806142
16	23614482	23652678	NM_024675.3	0	-	PALB2	FLJ21816,FANCN	ENSG00000083093	ENST00000261584	23614779	23652478	23614482,23619184,23625324,23632682,23634289,23635329,23637556,23640524,23640960,23646182,23649170,23649390,23652430	23614990,23619333,23625412,23632799,23634451,23635415,23637718,23640596,23641790,23647655,23649273,23649450,23652678
7	6012869	6048737	NM_000535.5	0	-	PMS2	H_DJ0042M02.9,HNPCC4,MLH4	ENSG00000122512	ENST00000265849	6013029	6048650	6012869,6017218,6018226,6022454,6026389,6029430,6031603,6035164,6036956,6038738,6042083,6043320,6043602,6045522,6048627	6013173,6017388,6018327,6022622,6027251,6029586,6031688,6035264,6037054,6038906,6042267,6043423,6043689,6045662,6048737
10	89623194	89731687	NM_000314.5	0	+	PTEN	MMAC1,TEP1,PTEN1	ENSG00000171862	ENST00000371953	89624226	89725229	89623194,89653781,89685269,89690802,89692769,89711874,89717609,89720650,89725043	89624305,89653866,89685314,89690846,89693008,89712016,89717776,89720875,89731687
18	48556582	48611411	NM_005359.5	0	+	SMAD4	DPC4	ENSG00000141646	ENST00000342988	48573416	48604837	48556582,48573289,48575055,48575664,48581150,48584494,48584709,48586235,48591792,48593388,48603007,48604625	48556993,48573665,48575230,48575694,48581363,48584614,48584826,48586286,48591976,48593557,48603146,48611411
19	1205797	1228434	NM_000455.4	0	+	STK11	PJS,LKB1	ENSG00000118046	ENST00000326873	1206912	1226646	1205797,1218415,1219322,1220371,1220579,1221211,1221947,1222983,1226452,1227591	1207202,1218499,1219412,1220504,1220716,1221339,1222005,1223171,1226662,1228434
17	7571719	7590868	NM_000546.5	0	-	TP53	p53,LFS1	ENSG00000141510	ENST00000269305	7572926	7579912	7571719,7573926,7576852,7577018,7577498,7578176,7578370,7579311,7579699,7579838,7590694	7573008,7574033,7576926,7577155,7577608,7578289,7578554,7579590,7579721,7579940,7590868
