# Genepanel: EEogPU Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	27022521	27108601	NM_006015.4	0	+	ARID1A	ARID1A	ENSG00000117713	ENST00000324856	27022894	27107247	27022521,27056141,27057642,27059166,27087346,27087874,27088642,27089463,27092711,27092947,27094280,27097609,27098990,27099302,27099836,27100070,27100292,27100819,27102067,27105513	27024031,27056354,27058095,27059283,27087587,27087964,27088810,27089776,27092857,27093057,27094490,27097817,27099123,27099478,27099987,27100208,27100389,27101711,27102198,27108601	AD	Mental retardasjon type 14 (MRD14)
1	43391045	43424847	NM_006516.2	0	-	SLC2A1	SLC2A1	ENSG00000117394	ENST00000426263	43392711	43424322	43391045,43393275,43394602,43394880,43395263,43395543,43396296,43396716,43408896,43424304	43392912,43393479,43394704,43394985,43395451,43395706,43396537,43396877,43408992,43424847	AD	GLUT1-mangel syndrom (GLUT1DS1, GLUT1DS2)
1	43855555	43919918	NM_015284.3	0	+	SZT2	SZT2	ENSG00000198198	ENST00000562955	43855639	43916151	43855555,43868847,43869271,43870050,43880752,43881630,43882205,43885404,43885823,43886419,43886844,43887753,43888150,43888439,43888769,43889887,43890454,43890783,43891144,43891505,43891708,43892385,43892726,43892951,43893200,43893673,43893910,43895373,43895681,43895981,43896166,43896619,43896935,43897130,43897386,43897942,43898187,43898398,43898659,43900056,43900870,43902841,43903076,43903265,43903461,43904369,43904599,43905028,43905275,43905551,43906123,43906884,43907174,43907356,43907670,43907938,43908112,43908489,43908858,43909022,43909267,43911564,43911849,43912012,43912625,43913215,43913519,43913749,43914282,43915773,43916007	43855666,43868973,43869445,43870221,43880884,43881772,43882312,43885615,43885994,43886654,43886974,43887896,43888303,43888554,43888987,43890103,43890533,43890878,43891313,43891620,43891822,43892480,43892850,43893116,43893405,43893789,43894157,43895515,43895774,43896060,43896460,43896761,43897043,43897194,43897572,43898110,43898275,43898470,43898861,43900156,43901000,43902994,43903179,43903371,43903573,43904488,43904764,43905113,43905440,43905719,43906257,43907051,43907272,43907489,43907801,43908039,43908289,43908757,43908938,43909148,43909467,43911655,43911930,43912087,43912839,43913369,43913642,43914155,43914399,43915842,43919918	AR	Epileptisk encefalopati type 18 (EIEE 18)
1	44173203	44396837	NM_006279.3	0	+	ST3GAL3	ST3GAL3	ENSG00000126091	ENST00000361392	44201933	44395893	44173203,44201903,44257772,44280562,44303890,44360054,44363906,44364839,44365212,44386075,44386453,44395803	44173364,44202051,44257820,44280605,44303983,44360149,44363970,44364935,44365399,44386222,44386600,44396837	AR	Epileptisk encefalopati type 15 (EIEE15), Autosomal recessiv mental retardasjon, type 12 (MRT12)
1	153777202	153895451	NM_020699.2	0	-	GATAD2B	GATAD2B	ENSG00000143614	ENST00000368655	153782652	153800823	153777202,153784206,153784497,153785725,153788748,153789847,153790515,153791266,153792081,153800488,153895208	153782786,153784324,153784608,153785928,153789064,153790018,153790647,153791398,153792211,153800824,153895451	AD	Mental retardasjon type 18 (MRD18)
2	50145642	51259674	NM_001135659.1	0	-	NRXN1	NRXN1	ENSG00000179915	ENST00000404971	50149081	51255411	50145642,50170841,50280408,50282092,50318460,50463926,50692579,50699435,50723042,50724470,50733632,50755762,50758364,50765390,50779724,50847159,50848342,50850451,50858236,51149792,51153075,51253508,51254639,51259118	50149389,50170929,50280728,50282182,50318632,50464108,50692699,50699609,50723233,50724852,50733755,50755789,50758568,50765774,50780163,50847321,50848387,50850755,50858243,51149825,51153093,51253607,51256332,51259674	AR	Pitt-Hopkins-like syndrom 2 (PTHSL2)
2	145141941	145277958	NM_014795.3	0	-	ZEB2	ZEB2	ENSG00000169554	ENST00000558170	145147017	145274917	145141941,145153978,145155867,145158765,145161482,145162402,145182362,145187335,145274844,145277505	145147595,145154159,145157837,145158874,145161697,145162591,145182434,145187593,145274986,145277958	AD	Mowat-Wilson syndrom (MOWS)
2	148778579	149271044	NM_018328.4	0	+	MBD5	MBD5	ENSG00000204406	ENST00000407073	149216327	149270510	148778579,148779216,148936268,148990813,149099782,149215771,149220150,149221307,149225909,149240678,149243310,149246954,149260004,149267628,149270438	148778615,148779253,148936362,148990964,149099905,149216440,149220253,149221488,149228030,149241005,149243519,149248163,149260078,149267704,149271044	AD	Mental retardasjon type 1 (MRD1)
2	166150340	166248820	NM_021007.2	0	+	SCN2A	SCN2A	ENSG00000136531	ENST00000283256	166152333	166246334	166150340,166152282,166153526,166164357,166165175,166165861,166166832,166168534,166170129,166170411,166171980,166179665,166183361,166187839,166198805,166201064,166210701,166221652,166223726,166226635,166229734,166231194,166234106,166237101,166237602,166243255,166245138	166150645,166152600,166153645,166164447,166165304,166165953,166167105,166168598,166170271,166170618,166172268,166180010,166183494,166188078,166198979,166201421,166211181,166221773,166223881,166226809,166229857,166231476,166234160,166237239,166237707,166243526,166248820	AD	Epileptisk encefalopati type 11 (EIEE11)
2	166845669	166930149	NM_001165963.1	0	-	SCN1A	SCN1A	ENSG00000144285	ENST00000423058	166847754	166930131	166845669,166850655,166852522,166854547,166856232,166858981,166866228,166868618,166870253,166872116,166892557,166894285,166895932,166897740,166898801,166900178,166901552,166903279,166904136,166905395,166908228,166909361,166911147,166912920,166915077,166929867	166848932,166850926,166852627,166854685,166856286,166859263,166866351,166868792,166870408,166872237,166893040,166894642,166896106,166897979,166898934,166900559,166901837,166903486,166904278,166905459,166908498,166909453,166911276,166913008,166915198,166930149	AD	Epileptisk encefalopati type 6 (EIEE6), Dravet syndrom, GEFS+ type 2
