# Genepanel: Mitokon Version: 02 Date: 2016-08-18
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
16	70286296	70323412	NM_001605.2	0	-	AARS	CMT2N	ENSG00000090861	ENST00000261772	70286623	70316666	70286296,70287170,70287616,70287821,70288523,70289630,70291935,70292882,70294946,70296248,70298860,70299440,70301561,70302173,70303520,70304098,70305683,70310388,70310868,70316522,70323323	70286809,70287284,70287703,70287941,70288637,70289739,70292120,70293089,70295060,70296427,70299005,70299565,70301712,70302282,70303666,70304243,70305875,70310534,70311057,70316687,70323412
6	44266462	44281063	NM_020745.3	0	-	AARS2	KIAA1270,bA444E17.1	ENSG00000124608	ENST00000244571	44268283	44281060	44266462,44268892,44269117,44269796,44270127,44270538,44270802,44271022,44271917,44272156,44272381,44272790,44273389,44274016,44274230,44274659,44274985,44278035,44278730,44279126,44279808,44280817	44268448,44269003,44269201,44269907,44270250,44270647,44270912,44271160,44272058,44272270,44272554,44272935,44273523,44274128,44274269,44274768,44275131,44278180,44278898,44279272,44280000,44281063
X	74273006	74376175	NM_004299.4	0	-	ABCB7	EST140535,Atm1p,ASAT	ENSG00000131269	ENST00000253577	74273204	74376107	74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74318776,74332720,74334588,74375939	74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74318896,74332807,74334669,74376175
3	128598332	128631957	NM_014049.4	0	+	ACAD9	NPD002,MGC14452	ENSG00000177646	ENST00000308982	128598534	128631450	128598332,128603495,128612397,128614152,128615278,128616474,128618129,128620118,128621395,128622904,128623228,128624963,128627027,128627815,128628186,128628863,128629583,128631349	128598684,128603589,128612499,128614259,128615379,128616553,128618304,128620192,128621471,128622975,128623348,128625092,128627107,128627942,128628264,128628992,128629656,128631957
22	41865128	41924993	NM_001098.2	0	+	ACO2	ACONM	ENSG00000100412	ENST00000216254	41865150	41924617	41865128,41895729,41903794,41907879,41911380,41911770,41913530,41914484,41916174,41918833,41919208,41919833,41920849,41921196,41922265,41923291,41923904,41924482	41865186,41895866,41904053,41907972,41911539,41911921,41913635,41914576,41916280,41918991,41919282,41919945,41920972,41921352,41922457,41923424,41924026,41924993
1	227127937	227175246	NM_020247.4	0	+	ADCK3	COQ8,SCAR9	ENSG00000163050	ENST00000366777	227149086	227174438	227127937,227149077,227152700,227153371,227165149,227169727,227170378,227170594,227171252,227171461,227171794,227172248,227172576,227172954,227174153	227128100,227149263,227153111,227153438,227165224,227169850,227170464,227170735,227171334,227171555,227171936,227172356,227172642,227173041,227175246
19	41197433	41222790	NM_024876.3	0	-	ADCK4	FLJ12229,COQ8	ENSG00000123815	ENST00000324464	41197939	41220537	41197433,41198855,41201893,41205971,41206214,41208504,41209445,41209619,41211000,41211229,41215963,41219971,41220182,41220435,41222491	41198278,41198942,41201959,41206079,41206356,41208598,41209527,41209760,41211086,41211352,41216041,41220038,41220302,41220540,41222790
18	12328942	12377275	NM_006796.2	0	-	AFG3L2	SPAX5	ENSG00000141385	ENST00000269143	12329563	12377081	12328942,12337339,12340199,12344130,12348271,12351083,12351304,12353003,12356692,12358668,12359925,12363780,12366963,12367274,12370847,12371590,12376967	12329782,12337534,12340400,12344246,12348382,12351209,12351412,12353157,12356830,12358942,12360050,12363855,12367116,12367381,12370925,12371690,12377275
7	141251077	141354209	NM_018238.3	0	+	AGK	FLJ10842	ENSG00000006530	ENST00000355413	141255266	141352724	141251077,141255252,141292945,141296361,141301004,141310994,141313945,141315270,141321531,141333700,141336759,141341047,141341610,141349062,141351324,141352586	141251234,141255367,141292985,141296441,141301080,141311087,141313978,141315365,141321601,141333780,141336817,141341198,141341708,141349133,141351409,141354209
X	129263337	129299861	NM_004208.3	0	-	AIFM1	AIF,CMTX4	ENSG00000156709	ENST00000287295	129263531	129299630	129263337,129263944,129265649,129267287,129270019,129270617,129271052,129272567,129273769,129274507,129279453,129281467,129281726,129283443,129290434,129299524	129263603,129264141,129265774,129267430,129270160,129270706,129271160,129272676,129273846,129274592,129279544,129281598,129281851,129283543,129290577,129299861
