# Genepanel: Meckel Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
3	132399452	132441303	NM_153240.4	0	-	NPHP3	NPHP3	ENSG00000113971	ENST00000337331	132400753	132441199	132399452,132401546,132402242,132403397,132405103,132405994,132407493,132407917,132409371,132410035,132411497,132413670,132415574,132416103,132418196,132418761,132419177,132420273,132423041,132424583,132426944,132431969,132433928,132435600,132437837,132438548,132440806	132400934,132401662,132402368,132403638,132405231,132406070,132407735,132408107,132409494,132410130,132411662,132413809,132415657,132416206,132418294,132418905,132419292,132420377,132423215,132424658,132427101,132432130,132434062,132435753,132437988,132438674,132441303	AR	Meckel syndrom 7 og Meckel-like syndrom 1
4	15471488	15603180	NM_001080522.2	0	+	CC2D2A	CC2D2A	ENSG00000048342	ENST00000503292	15477556	15603048	15471488,15474845,15477538,15480346,15482327,15504051,15504444,15511761,15512869,15516329,15517490,15518247,15529069,15530242,15534815,15538542,15539521,15542459,15552446,15554780,15556694,15558926,15560787,15562153,15564977,15568999,15569299,15570915,15572020,15575772,15581590,15587779,15589438,15591167,15597707,15599029,15601151,15602859	15471681,15474879,15477595,15480430,15482451,15504140,15504546,15511863,15513046,15516492,15517627,15518379,15529279,15530349,15534956,15538699,15539760,15542637,15552603,15554928,15556833,15559130,15560880,15562245,15565145,15569105,15569409,15571012,15572119,15575949,15581794,15587869,15589552,15591302,15597830,15599088,15601329,15603180	AR	Meckel syndrom 6
8	94767071	94830347	NM_153704.5	0	+	TMEM67	TMEM67 (MKS3)	ENSG00000164953	ENST00000453321	94767142	94828680	94767071,94768005,94770710,94776069,94777633,94777799,94784816,94792820,94793101,94793885,94794622,94797449,94798450,94800071,94803490,94805425,94807636,94808128,94809361,94809558,94811845,94815831,94816989,94821067,94821284,94822012,94827532,94828599	94767365,94768094,94770804,94776169,94777703,94777874,94784879,94792975,94793210,94793972,94794688,94797606,94798574,94800177,94803547,94805524,94807735,94808215,94809461,94809698,94811986,94815912,94817106,94821184,94821389,94822115,94827675,94830347	AR	Meckel Syndrome
11	61159831	61166335	NM_001173990.2	0	+	TMEM216	TMEM216	ENSG00000187049	ENST00000334888	61160103	61165748	61159831,61160702,61161355,61165245,61165741	61160137,61160804,61161448,61165447,61166335	AR	Meckel syndrom 2
12	88442789	88535993	NM_025114.3	0	-	CEP290	CEP290 (NPHP6)	ENSG00000198707	ENST00000552810	88442960	88535084	88442789,88444130,88447428,88448116,88449352,88452624,88453674,88454606,88456468,88457757,88462298,88465070,88465557,88470998,88471473,88472868,88473958,88476807,88477623,88478362,88479815,88480167,88481556,88482808,88484504,88486457,88487546,88490664,88496614,88500451,88500772,88502842,88504978,88505470,88508196,88508874,88510809,88512259,88512419,88513890,88514773,88519022,88520092,88522722,88523470,88524044,88524321,88524941,88530419,88532921,88533271,88534732,88534982,88535676	88443191,88444210,88447523,88448190,88449494,88452797,88453797,88454771,88456555,88457892,88462422,88465226,88465703,88471121,88471695,88473006,88474172,88477007,88477731,88478629,88479950,88480275,88481721,88483264,88484616,88486609,88487752,88490776,88496788,88500682,88500875,88502958,88505128,88505635,88508339,88508959,88510922,88512347,88512520,88514053,88514943,88519146,88520215,88522812,88523653,88524197,88524342,88524995,88530563,88532968,88533341,88534810,88535111,88535993	AR	Meckel syndrom 4
12	124155659	124192950	NM_024809.4	0	+	TCTN2	TCTN2	ENSG00000168778	ENST00000303372	124155787	124192260	124155659,124156053,124156602,124158161,124163735,124171382,124172597,124175079,124177204,124179388,124179766,124180961,124181633,124184250,124189078,124191272,124191531,124192150	124155869,124156161,124156679,124158357,124163836,124171582,124172724,124175221,124177270,124179523,124179844,124181042,124181745,124184357,124189235,124191398,124191620,124192950	AR	Meckel syndrom 8
16	53633817	53737771	NM_015272.2	0	-	RPGRIP1L	RPGRIP1L	ENSG00000103494	ENST00000379925	53635987	53734635	53633817,53639392,53644878,53652936,53656130,53670350,53671606,53672221,53674944,53675196,53679536,53682875,53686446,53690383,53691364,53692325,53692683,53698781,53705421,53706781,53708928,53720344,53721774,53725977,53730062,53734550,53737714	53636100,53639526,53644963,53653120,53656268,53670424,53671766,53672323,53675028,53675387,53679915,53683027,53686899,53690501,53691544,53692376,53692790,53698921,53705495,53706928,53709034,53720488,53721877,53726276,53730207,53734642,53737771	AR	Meckel syndrom 5
16	75572014	75590184	NM_001077416.2	0	-	TMEM231	TMEM231	ENSG00000205084	ENST00000568377	75573891	75590169	75572014,75575247,75576499,75579249,75579723,75589701	75574072,75575353,75576581,75579393,75579852,75590184	AR	Meckel syndrom, type 11
17	19246482	19266046	NM_015681.3	0	-	B9D1	B9D1	ENSG00000108641	ENST00000261499	19246631	19265882	19246482,19247102,19250581,19251096,19261152,19263632,19265819	19246774,19247170,19250644,19251193,19261264,19263701,19266046	AR	Meckel syndrom 9
17	56282796	56296666	NM_017777.3	0	-	MKS1	MKS1	ENSG00000011143	ENST00000393119	56283439	56296591	56282796,56283643,56283825,56284445,56285254,56285465,56285873,56288019,56288340,56289738,56290342,56291125,56291619,56292101,56293448,56294026,56295980,56296511	56283531,56283741,56283908,56284579,56285362,56285535,56285944,56288085,56288383,56289795,56290451,56291230,56291748,56292199,56293604,56294097,56296090,56296666	AR	Meckel syndrom 1
19	41860321	41870078	NM_030578.3	0	-	B9D2	B9D2	ENSG00000123810	ENST00000243578	41860604	41869424	41860321,41863801,41869336,41869862	41860918,41863927,41869428,41870078	AR	Meckel syndrom 10
