# Genepanel: Ekto Version: 01 Date: 2016-01-21
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	150768683	150780917	NM_000396.3	0	-	CTSK	CTSK	ENSG00000143387	ENST00000271651	150769274	150779281	150768683,150771643,150772019,150776496,150778336,150778577,150779161,150780689	150769374,150771749,150772185,150776715,150778492,150778700,150779282,150780917	AR / AR	Pycnodysostosis inkludert hypodonti / Myopathy, tubular aggregate, 2 615883
1	161040780	161059385	NM_030916.2	0	-	PVRL4	PVRL4	ENSG00000143217	ENST00000368012	161042450	161059086	161040780,161043014,161043509,161044006,161044400,161046144,161047242,161049379,161059007	161042675,161043089,161043585,161044163,161044549,161046265,161047533,161049739,161059385	AR	Ectodermal dysplasia-syndactyly syndrome 1
1	236557679	236648008	NM_145861.2	0	+	EDARADD	EDARADD	ENSG00000186197	ENST00000334232	236557744	236645949	236557679,236572515,236577559,236590691,236631530,236645566	236557805,236572574,236577599,236590750,236631576,236648008	AR / AD	Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive / Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type, autosomal dominant
2	109510926	109605828	NM_022336.3	0	-	EDAR	EDAR	ENSG00000135960	ENST00000258443	109513362	109547470	109510926,109522763,109524315,109526915,109527231,109527402,109529133,109539823,109545653,109546575,109547419,109605415	109513685,109522824,109524475,109526988,109527306,109527528,109529220,109539909,109545835,109546698,109547488,109605828	AR / AD	Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive / Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant
2	219745254	219758651	NM_025216.2	0	+	WNT10A	WNT10A	ENSG00000135925	ENST00000258411	219745717	219757993	219745254,219746882,219754705,219757495	219745830,219747145,219755085,219758651	AD  / AR / AR	Tooth agenesis, selective, 4 / Schopf-Schulz-Passarge syndrome / Odontoonychodermal dysplasia
3	129158878	129239350	NM_052985.3	0	+	IFT122	IFT122	ENSG00000163913	ENST00000296266	129159173	129239108	129158878,129168713,129170756,129177441,129179696,129180070,129182402,129183477,129185732,129188184,129195157,129195505,129196858,129198627,129200372,129202327,129207099,129210983,129214288,129218744,129221553,129223161,129225251,129226510,129231154,129233231,129234330,129236311,129237949,129238410,129239018	129159214,129168780,129170841,129177520,129179849,129180147,129182469,129183624,129185909,129188260,129195349,129195644,129197061,129198765,129200537,129202525,129207240,129211037,129214450,129218911,129221725,129223264,129225392,129226605,129231255,129233397,129234442,129236437,129238029,129238575,129239350	AR	Cranioectodermal dysplasia 1
3	189349215	189615068	NM_003722.4	0	+	TP63	TP63	ENSG00000073282	ENST00000264731	189349304	189612291	189349215,189455528,189456430,189526060,189582020,189584470,189585621,189586368,189587112,189590647,189604182,189607128,189608577,189611994	189349366,189455657,189456563,189526315,189582207,189584586,189585731,189586505,189587195,189590784,189604340,189607273,189608671,189615068	AD / AD / AD / AD / AD / AD / AD	ADULT syndrome / Hay-Wells syndrome / Rapp-Hodgkin syndrome / Orofacial cleft 8 / Limb-mammary syndrome / Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3 / Split-hand/foot malformation 4
4	1795038	1810599	NM_000142.4	0	+	FGFR3	FGFR3	ENSG00000068078	ENST00000440486	1795661	1808989	1795038,1795559,1800980,1801473,1803093,1803346,1803561,1805418,1806056,1806550,1807081,1807285,1807476,1807777,1807983,1808272,1808555,1808842	1795192,1795770,1801250,1801539,1803263,1803470,1803752,1805563,1806247,1806696,1807203,1807396,1807667,1807900,1808054,1808410,1808661,1810599	AD / AD / AD / AD / AD / AD / AR/AD / AD	Achondroplasia / Hypochondroplasia / LADD syndrome inkludert hypodonti / Thanatophoric dysplasia, type I / Thanatophoric dysplasia, type II / Muenke syndrome / CATSHL syndrome / Crouzon syndrome with acanthosis nigricans
4	4861391	4865660	NM_002448.3	0	+	MSX1	MSX1	ENSG00000163132	ENST00000382723	4861626	4864870	4861391,4864427	4862095,4865660	AD / AD / AD	Tooth agenesis, selective, 1, with or without orofacial cleft / Ectodermal dysplasia 3, Witkop type / Orofacial cleft 5
4	5564145	5710294	NM_147127.4	0	-	EVC2	EVC2	ENSG00000173040	ENST00000344408	5564574	5710240	5564145,5566984,5570170,5576411,5577966,5586349,5617148,5620204,5624263,5627475,5630285,5633519,5642240,5664833,5667241,5682986,5687096,5690883,5692991,5696061,5699319,5710012	5564842,5567086,5570367,5576499,5578181,5586577,5617271,5620409,5624718,5627635,5630461,5633759,5642565,5664973,5667376,5683040,5687206,5691070,5693060,5696228,5699374,5710294	AD / AR	Weyers acrofacial dysostosis inkludert hypodonti / Ellis-van Creveld syndrome inkludert hypodonti
