# TrioPU_v01
#gene symbol	refseq	x10
ARX	NM_139058.2	70.1
CDKN1C	NM_000076.2	75.58
GJC2	NM_020435.3	77.3267
TWIST1	NM_000474.3	77.66
MYCN	NM_005378.5	78.5867
ALX3	NM_006492.2	79.1333
FOXG1	NM_005249.4	79.32
SYN1	NM_133499.2	79.7
TUBB4A	NM_006087.3	80.92
SMAD4	NM_005359.5	81.26
ZIC2	NM_007129.3	84.78
PTF1A	NM_178161.2	85.24
NUP62	NM_001193357.1	85.2533
TUBB2A	NM_001069.2	85.3467
MAGEL2	NM_019066.4	88.04
CNKSR2	NM_001168647.1	88.3933
XYLT1	NM_022166.3	88.5467
C5orf42	NM_023073.3	88.86
SOX3	NM_005634.2	89.0933
ARHGEF9	NM_015185.2	89.4467
IQSEC2	NM_001111125.2	89.8133
NR2F1	NM_005654.5	89.8867
PDSS1	NM_014317.3	89.9267
SURF1	NM_003172.3	90.2
NAGLU	NM_000263.3	90.7267
CTDP1	NM_004715.4	90.9333
SLC6A8	NM_005629.3	91.8533
FLVCR2	NM_017791.2	91.9933
SHH	NM_000193.2	92.4533
PEX26	NM_017929.5	92.6667
SGSH	NM_000199.3	93.4467
SCN1B	NM_001037.4	93.5
TGFBR1	NM_004612.2	93.5
RNASEH2B	NM_024570.3	93.5467
SOBP	NM_018013.3	93.6133
INPP5E	NM_019892.4	93.72
PIK3R2	NM_005027.3	93.7933
MLYCD	NM_012213.2	93.8267
ARID1B	NM_020732.3	93.98
SETBP1	NM_015559.2	94.0467
KIF7	NM_198525.2	94.0733
HGSNAT	NM_152419.2	94.0867
GLI2	NM_005270.4	94.16
EVC	NM_153717.2	94.2
ST3GAL5	NM_003896.3	94.3533
FTCD	NM_006657.2	94.4333
FKRP	NM_024301.4	94.5133
EZH2	NM_004456.4	94.68
TUBB2B	NM_178012.4	94.78
GDI1	NM_001493.2	94.9067
SPRED1	NM_152594.2	95.0267
FTO	NM_001080432.2	95.06
LHX3	NM_014564.3	95.1333
PIK3CA	NM_006218.2	95.14
PROP1	NM_006261.4	95.1533
BRAT1	NM_152743.3	95.16
MMACHC	NM_015506.2	95.3133
ARID1A	NM_006015.4	95.3467
TTC19	NM_017775.3	95.64
PTPN11	NM_002834.3	95.6667
GCSH	NM_004483.4	95.6933
PDE4D	NM_001104631.1	95.7333
KMT2D	NM_003482.3	95.8667
RNF135	NM_032322.3	95.9933
WNT4	NM_030761.4	96.06
TSEN54	NM_207346.2	96.0867
PEX10	NM_153818.1	96.1467
TACO1	NM_016360.3	96.16
FGFR3	NM_000142.4	96.2067
PLOD3	NM_001084.4	96.3333
FGD1	NM_004463.2	96.5133
IDS	NM_000202.6	96.6133
SKI	NM_003036.3	96.78
ABHD5	NM_016006.4	96.8867
SDHA	NM_004168.3	96.9
ACVR2B	NM_001106.3	96.9133
MID1	NM_000381.3	97.0467
BRAF	NM_004333.4	97.0733
CHST14	NM_130468.3	97.1933
KIAA1279	NM_015634.3	97.28
CYB5R3	NM_000398.6	97.3
ATM	NM_000051.3	97.36
LINS	NM_001040616.2	97.36
ROGDI	NM_024589.2	97.3667
DLG3	NM_021120.3	97.3867
CTSD	NM_001909.4	97.4467
DEAF1	NM_021008.3	97.56
NKX2-1	NM_001079668.2	97.6067
LRP5	NM_002335.3	97.66
JAG1	NM_000214.2	97.7
NFIX	NM_002501.3	97.7
PCCA	NM_000282.3	97.74
MAP2K2	NM_030662.3	97.7733
FGFR2	NM_000141.4	97.7933
LHX4	NM_033343.3	97.8267
RAB39B	NM_171998.3	97.8333
PCBD1	NM_000281.3	97.9
TUBA8	NM_018943.2	97.9333
SMARCA2	NM_003070.4	97.9667
ABCD1	NM_000033.3	97.9867
SOX10	NM_006941.3	98.02
RPS6KA3	NM_004586.2	98.06
HMGCS2	NM_005518.3	98.1067
NHS	NM_198270.3	98.1133
PTCH1	NM_000264.3	98.18
NAA10	NM_003491.3	98.2333
OPHN1	NM_002547.2	98.3533
SLC25A19	NM_021734.4	98.3533
WDPCP	NM_015910.5	98.36
RYR1	NM_000540.2	98.3733
CD96	NM_198196.2	98.3933
EHMT1	NM_024757.4	98.3933
NDE1	NM_001143979.1	98.54
NAGS	NM_153006.2	98.5467
SMS	NM_004595.4	98.5467
AFG3L2	NM_006796.2	98.6
TFAP2A	NM_003220.2	98.6267
ATP7A	NM_000052.6	98.6733
GLDC	NM_000170.2	98.6867
NRXN1	NM_001135659.1	98.72
GRIN2B	NM_000834.3	98.7267
GAMT	NM_000156.5	98.76
NRAS	NM_002524.4	98.8
BBS12	NM_152618.2	98.8333
COG1	NM_018714.2	98.8533
GNPTG	NM_032520.4	98.8667
SOX9	NM_000346.3	98.9333
COQ9	NM_020312.3	98.9667
HCN1	NM_021072.3	98.9667
NOTCH1	NM_017617.3	98.9933
SDHAF1	NM_001042631.2	99
ZBTB16	NM_006006.4	99.02
FREM2	NM_207361.5	99.0267
DNM1	NM_004408.3	99.0333
ALMS1	NM_015120.4	99.0467
IGF1R	NM_000875.4	99.0733
AP4B1	NM_006594.3	99.0867
COL18A1	NM_130445.3	99.0867
PEX6	NM_000287.3	99.0933
FRAS1	NM_025074.6	99.1133
B4GALT7	NM_007255.2	99.1333
CASK	NM_003688.3	99.1467
GRIN2A	NM_000833.4	99.1667
RAB18	NM_021252.4	99.1667
NF1	NM_000267.3	99.1733
VLDLR	NM_003383.3	99.1733
XPA	NM_000380.3	99.1933
DOCK6	NM_020812.3	99.2067
GNAS	NM_000516.4	99.2467
BCOR	NM_017745.5	99.26
ALDH5A1	NM_001080.3	99.2667
