# Genepanel: LYNCHUTV Version: v01 Date: 2016-04-21
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
1	45794913	45806142	NM_001128425.1	0	-	MUTYH	MYH	ENSG00000132781	ENST00000450313	45794977	45805926	45794913,45796187,45796853,45797091,45797332,45797694,45797837,45798062,45798245,45798434,45798589,45798768,45798956,45799084,45800062,45805890	45795109,45796229,45797006,45797228,45797521,45797758,45797982,45798160,45798359,45798506,45798631,45798842,45798996,45799275,45800183,45806142
2	47630205	47710367	NM_000251.2	0	+	MSH2	HNPCC,HNPCC1	ENSG00000095002	ENST00000233146	47630330	47710088	47630205,47635539,47637232,47639552,47641407,47643434,47656880,47672686,47690169,47693796,47698103,47702163,47703505,47705410,47707834,47709917	47630541,47635694,47637511,47639699,47641557,47643568,47657080,47672796,47690293,47693947,47698201,47702409,47703710,47705658,47708010,47710367
2	48010220	48034092	NM_000179.2	0	+	MSH6		ENSG00000116062	ENST00000234420	48010372	48033999	48010220,48018065,48023032,48025749,48030558,48032048,48032756,48033342,48033590,48033917	48010632,48018262,48023202,48028294,48030824,48032166,48032846,48033497,48033790,48034092
3	37034840	37092337	NM_000249.3	0	+	MLH1	HNPCC,FCC2,HNPCC2	ENSG00000076242	ENST00000231790	37035038	37092144	37034840,37038109,37042445,37045891,37048481,37050304,37053310,37053501,37055922,37058996,37061800,37067127,37070274,37081676,37083758,37089009,37090007,37090394,37091976	37035154,37038200,37042544,37045965,37048554,37050396,37053353,37053590,37056035,37059090,37061954,37067498,37070423,37081785,37083822,37089174,37090100,37090508,37092337
5	112073555	112181936	NM_000038.5	0	+	APC	DP2,DP3,DP2.5,PPP1R46	ENSG00000134982	ENST00000257430	112090587	112179823	112073555,112090569,112102022,112102885,112111325,112116486,112128142,112136975,112151191,112154662,112157592,112162804,112163625,112164552,112170647,112173249	112073622,112090722,112102107,112103087,112111434,112116600,112128226,112137080,112151290,112155041,112157688,112162944,112163703,112164669,112170862,112181936
7	6012869	6048737	NM_000535.5	0	-	PMS2	H_DJ0042M02.9,HNPCC4,MLH4	ENSG00000122512	ENST00000265849	6013029	6048650	6012869,6017218,6018226,6022454,6026389,6029430,6031603,6035164,6036956,6038738,6042083,6043320,6043602,6045522,6048627	6013173,6017388,6018327,6022622,6027251,6029586,6031688,6035264,6037054,6038906,6042267,6043423,6043689,6045662,6048737
10	88516395	88684945	NM_004329.2	0	+	BMPR1A	ALK3,CD292	ENSG00000107779	ENST00000372037	88635775	88683476	88516395,88598621,88635623,88649818,88651883,88659550,88659783,88671996,88676890,88678928,88681276,88683132,88683350	88516676,88598736,88635842,88649981,88651986,88659647,88659883,88672141,88677083,88679226,88681452,88683263,88684945
10	89623194	89731687	NM_000314.5	0	+	PTEN	MMAC1,TEP1,PTEN1	ENSG00000171862	ENST00000371953	89624226	89725229	89623194,89653781,89685269,89690802,89692769,89711874,89717609,89720650,89725043	89624305,89653866,89685314,89690846,89693008,89712016,89717776,89720875,89731687
16	68771194	68869444	NM_004360.3	0	+	CDH1	uvomorulin,CD324	ENSG00000039068	ENST00000261769	68771318	68867402	68771194,68772199,68835572,68842326,68842595,68844099,68845586,68846037,68847215,68849417,68853182,68855903,68857301,68862076,68863556,68867192	68771366,68772314,68835796,68842470,68842751,68844244,68845762,68846166,68847398,68849662,68853328,68856128,68857529,68862207,68863700,68869444
18	48556582	48611411	NM_005359.5	0	+	SMAD4	DPC4	ENSG00000141646	ENST00000342988	48573416	48604837	48556582,48573289,48575055,48575664,48581150,48584494,48584709,48586235,48591792,48593388,48603007,48604625	48556993,48573665,48575230,48575694,48581363,48584614,48584826,48586286,48591976,48593557,48603146,48611411
19	1205797	1228434	NM_000455.4	0	+	STK11	PJS,LKB1	ENSG00000118046	ENST00000326873	1206912	1226646	1205797,1218415,1219322,1220371,1220579,1221211,1221947,1222983,1226452,1227591	1207202,1218499,1219412,1220504,1220716,1221339,1222005,1223171,1226662,1228434
