# Genepanel: BevegForst Version: 01 Date: 2016-09-05 Post-processed: 2016-10-21
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
X	74273006	74376175	NM_004299.4	0	-	ABCB7	EST140535,Atm1p,ASAT	ENSG00000131269	ENST00000253577	74273204	74376107	74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74318776,74332720,74334588,74375939	74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74318896,74332807,74334669,74376175
X	152990322	153010216	NM_000033.3	0	+	ABCD1	AMN,ALDP,adrenoleukodystrophy	ENSG00000101986	ENST00000218104	152990721	153009189	152990322,152994686,153001565,153001798,153002610,153005545,153006027,153008440,153008674,153008942	152991621,152994867,153001708,153001967,153002705,153005691,153006173,153008525,153008800,153010216
20	25280833	25371618	NM_001042472.2	0	-	ABHD12	DKFZP434P106,dJ965G21.2,BEM46L2,ABHD12A	ENSG00000100997	ENST00000339157	25281480	25371339	25280833,25282854,25284185,25287468,25288601,25289092,25290081,25295560,25297683,25300834,25303960,25319862,25371148	25281520,25282982,25284264,25287551,25288681,25289130,25290211,25295606,25297714,25300954,25304066,25319987,25371618
11	107992257	108018891	NM_000019.3	0	+	ACAT1	THIL	ENSG00000075239	ENST00000265838	107992333	108018117	107992257,108002633,108004546,108004947,108005868,108009624,108010791,108012331,108013163,108014709,108016928,108017996	107992405,108002681,108004664,108005043,108005969,108009768,108010942,108012427,108013277,108014774,108017086,108018891
1	227127937	227175246	NM_020247.4	0	+	ADCK3		ENSG00000163050	ENST00000366777	227149086	227174438	227127937,227149077,227152700,227153371,227165149,227169727,227170378,227170594,227171252,227171461,227171794,227172248,227172576,227172954,227174153	227128100,227149263,227153111,227153438,227165224,227169850,227170464,227170735,227171334,227171555,227171936,227172356,227172642,227173041,227175246
3	123001142	123167392	NM_183357.2	0	-	ADCY5	AC5	ENSG00000173175	ENST00000462833	123003454	123167392	123001142,123005531,123008596,123009959,123014930,123016199,123018966,123021901,123022913,123033081,123036866,123038520,123039595,123044168,123046464,123047490,123049735,123051410,123066628,123071278,123166258	123003583,123005656,123008801,123010223,123015063,123016229,123019142,123022066,123023030,123033169,123036964,123038665,123039618,123044309,123046606,123047649,123049863,123051522,123066750,123071428,123167392
18	12328942	12377275	NM_006796.2	0	-	AFG3L2	SPAX5	ENSG00000141385	ENST00000269143	12329563	12377081	12328942,12337339,12340199,12344130,12348271,12351083,12351304,12353003,12356692,12358668,12359925,12363780,12366963,12367274,12370847,12371590,12376967	12329782,12337534,12340400,12344246,12348382,12351209,12351412,12353157,12356830,12358942,12360050,12363855,12367116,12367381,12370925,12371690,12377275
10	97365685	97416567	NM_002860.3	0	-	ALDH18A1	P5CS	ENSG00000059573	ENST00000371224	97366518	97413134	97365685,97369953,97371012,97373498,97373722,97376233,97380787,97385118,97386459,97387198,97388124,97392715,97393247,97396849,97397043,97402748,97413046,97416353	97366700,97370049,97371199,97373620,97373918,97376371,97381008,97385212,97386533,97387343,97388249,97392806,97393406,97396954,97397193,97402963,97413162,97416567
17	19552063	19580908	NM_000382.2	0	+	ALDH3A2	FALDH	ENSG00000072210	ENST00000579855	19552284	19578885	19552063,19554859,19555859,19559678,19561057,19564439,19566645,19568260,19575033,19578870	19552437,19555091,19555945,19559887,19561175,19564581,19566812,19568360,19575269,19580908
2	202564985	202645895	NM_020919.3	0	-	ALS2		ENSG00000003393	ENST00000264276	202566573	202633608	202564985,202568844,202569176,202569861,202570138,202571568,202572591,202574603,202575713,202580394,202582799,202587765,202588052,202589017,202590078,202591206,202591386,202591934,202592427,202593234,202593774,202597998,202603392,202606396,202608980,202611288,202614434,202617868,202619225,202622124,202625603,202631951,202633588,202645599	202566612,202568941,202569326,202569923,202570184,202571745,202572714,202574761,202575831,202580562,202582933,202587843,202588164,202589182,202590177,202591272,202591589,202592001,202592498,202593363,202593906,202598161,202603458,202606577,202609152,202611471,202614512,202617965,202619394,202622482,202626541,202632106,202633668,202645895
14	103388992	103397179	NM_030943.3	0	+	AMN	amnionless	ENSG00000166126	ENST00000299155	103389025	103397017	103388992,103390047,103390271,103394762,103395094,103395457,103395764,103395991,103396260,103396501,103396742,103396912	103389068,103390166,103390316,103394850,103395312,103395595,103395873,103396074,103396423,103396664,103396830,103397179
1	110162434	110174677	NM_001257360.1	0	+	AMPD2	SPG63	ENSG00000116337	ENST00000528667	110163635	110173774	110162434,110163535,110167924,110168283,110168781,110168940,110169347,110169796,110170050,110170395,110170704,110170985,110171264,110171730,110171948,110172417,110172854,110173304,110173564	110162900,110163888,110168055,110168414,110168850,110169049,110169534,110169938,110170140,110170525,110170899,110171117,110171428,110171857,110172112,110172538,110173028,110173415,110174677
3	49454210	49460111	NM_000481.3	0	-	AMT	GCST,NKH	ENSG00000145020	ENST00000273588	49454972	49459883	49454210,49455250,49456403,49456692,49457142,49457643,49458924,49459536,49459793	49455151,49455406,49456584,49456838,49457221,49457775,49459005,49459704,49460111
3	43407817	43663560	NM_018075.3	0	-	ANO10	FLJ10375,MGC47890,SCAR10	ENSG00000160746	ENST00000292246	43408397	43647344	43407817,43474102,43591211,43596769,43602711,43607144,43616300,43618183,43621844,43640023,43641875,43647205,43663400	43408466,43474219,43591340,43596961,43602894,43607219,43616356,43618753,43621964,43640158,43642073,43647355,43663560
11	26353677	26684836	NM_031418.2	0	+	ANO3	GENX-3947,DYT23	ENSG00000134343	ENST00000256737	26353822	26681991	26353677,26463464,26465311,26484576,26529650,26538373,26547181,26552751,26556002,26558952,26563493,26568962,26574795,26581265,26619911,26620404,26621096,26646008,26655750,26656559,26660690,26663442,26664728,26669255,26677671,26677922,26681808	26353868,26463659,26465383,26484695,26529809,26538474,26547226,26552883,26556109,26559008,26563615,26569097,26574892,26581326,26619994,26620545,26621261,26646045,26655862,26656617,26660788,26663576,26664881,26669403,26677752,26678028,26684836
1	114437370	114447741	NM_006594.3	0	-	AP4B1	BETA-4	ENSG00000134262	ENST00000256658	114437686	114447339	114437370,114438378,114438879,114440461,114441339,114442525,114443857,114444376,114445259,114447226,114447563	114438114,114438660,114439087,114440565,114441423,114443022,114444005,114444507,114445484,114447415,114447741
15	51200868	51298097	NM_007347.4	0	+	AP4E1	AP-4-EPSILON,SPG51	ENSG00000081014	ENST00000261842	51200975	51294859	51200868,51204274,51207644,51216127,51217294,51221205,51223001,51226820,51233638,51233862,51240216,51242022,51242247,51250688,51260459,51276218,51285566,51289522,51291268,51293222,51294698	51201125,51204346,51207768,51216201,51217416,51221365,51223168,51226894,51233761,51233972,51240356,51242135,51242366,51250991,51260574,51276342,51285822,51290080,51291459,51293380,51298097
7	99699129	99704803	NM_004722.3	0	+	AP4M1	MU-ARP2,MU-4,SPG50	ENSG00000221838	ENST00000359593	99699337	99704505	99699129,99699502,99700297,99700486,99701031,99701234,99701714,99702496,99702667,99702862,99703067,99703581,99703863,99704025,99704280	99699395,99699591,99700404,99700583,99701142,99701315,99701777,99702563,99702721,99702969,99703162,99703626,99703914,99704137,99704803
14	31494675	31555008	NM_007077.4	0	+	AP4S1	CLA20,AP47B,SPG52	ENSG00000100478	ENST00000216366	31535402	31554088	31494675,31535331,31539048,31542110,31549778,31553974	31494993,31535540,31539135,31542179,31549850,31555008
7	4815261	4834026	NM_014855.2	0	+	AP5Z1	SPG48,zeta	ENSG00000242802	ENST00000348624	4815346	4831016	4815261,4820805,4821198,4822946,4823319,4823833,4824538,4825045,4825152,4825880,4827264,4827784,4828470,4829462,4830089,4830303,4830745	4815387,4820943,4821385,4823091,4823429,4824002,4824679,4825083,4825315,4826059,4827407,4827925,4828582,4829560,4830222,4830518,4834026
9	32972603	33001639	NM_175073.2	0	-	APTX	FLJ20157,AOA,AOA1,EAOH,EOAHA	ENSG00000137074	ENST00000309615	32973495	32989889	32972603,32974455,32984628,32985968,32987541,32988076,32989756,32997240,33001564	32973650,32974559,32984855,32986028,32987840,32988127,32989893,32997346,33001639
6	131894343	131905472	NM_000045.3	0	+	ARG1		ENSG00000118520	ENST00000356962	131894422	131905048	131894343,131897802,131900250,131902358,131903760,131904199,131904494,131904881	131894479,131897875,131900425,131902518,131903855,131904304,131904631,131905472
22	51061181	51066601	NM_000487.5	0	-	ARSA		ENSG00000100299	ENST00000216124	51063572	51066207	51061181,51064006,51064363,51064581,51065018,51065261,51065593,51065983	51063892,51064109,51064491,51064706,51065188,51065480,51065834,51066601
