# Genepanel: Mitokon Version: 01 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	12040237	12073572	NM_014874.3	0	+	MFN2	MFN2	ENSG00000116688	ENST00000235329	12049225	12071622	12040237,12042026,12049221,12052611,12056212,12057353,12058826,12059044,12061457,12061825,12062038,12064048,12064565,12064881,12065767,12066594,12067109,12069648,12071552	12040541,12042171,12049400,12052747,12056375,12057478,12058935,12059152,12061611,12061893,12062160,12064175,12064670,12064984,12065988,12066750,12067306,12069783,12073572	AD/AR	Charcot-Marie-Tooth type 2A2
1	161169104	161184184	NM_004550.4	0	+	NDUFS2	NDUFS2	ENSG00000158864	ENST00000367993	161172175	161183983	161169104,161171936,161173226,161176196,161178982,161179272,161179646,161179900,161180093,161180380,161182140,161183169,161183438,161183653,161183945	161169313,161172270,161173333,161176387,161179103,161179385,161179721,161179978,161180179,161180500,161182270,161183265,161183522,161183711,161184184	AR	Mitokondriell kompleks I mangel
1	173793796	173827682	NM_018122.4	0	+	DARS2	DARS2	ENSG00000117593	ENST00000361951	173794367	173826843	173793796,173795824,173797470,173799797,173800672,173802513,173803610,173806077,173807327,173808504,173810003,173814366,173819464,173822486,173822932,173825803,173826655	173794494,173795924,173797537,173799899,173800768,173802637,173803657,173806184,173807397,173808684,173810111,173814429,173819617,173822705,173823043,173825879,173827682	AR	Leukoencefalopati med hjernestamme- og ryggmargsaffeksjon og forhøyet laktat
1	227127937	227175246	NM_020247.4	0	+	ADCK3	ADCK3	ENSG00000163050	ENST00000366777	227149086	227174438	227127937,227149077,227152700,227153371,227165149,227169727,227170378,227170594,227171252,227171461,227171794,227172248,227172576,227172954,227174153	227128100,227149263,227153111,227153438,227165224,227169850,227170464,227170735,227171334,227171555,227171936,227172356,227172642,227173041,227175246	AR	Coenzym Q10 mangel, primær, 4
1	244998638	245008359	NM_198076.4	0	+	COX20	COX20	ENSG00000203667	ENST00000411948	244999016	245006478	244998638,245005245,245005496,245006342	244999058,245005360,245005560,245008359	AR	Mitokondriell kompeks IV mangel
2	27532359	27545969	NM_002437.4	0	-	MPV17	MPV17	ENSG00000115204	ENST00000380044	27532779	27545384	27532359,27534766,27535081,27535360,27535546,27535860,27545314,27545918	27532849,27534819,27535114,27535456,27535639,27535976,27545389,27545969	AR	Mitokondrielt DNA depletion syndrom 6 (hepatocerebral type)
2	44113362	44223144	NM_133259.3	0	-	LRPPRC	LRPPRC	ENSG00000138095	ENST00000260665	44115738	44223086	44113362,44116872,44121683,44123772,44126357,44126604,44128458,44132830,44139570,44145163,44145394,44152205,44153031,44161328,44161892,44170825,44172470,44173251,44174395,44174869,44175260,44175550,44176740,44177711,44184523,44187679,44190726,44200745,44200933,44201288,44201752,44202229,44203281,44204132,44204293,44206964,44209376,44222937	44115795,44117015,44121768,44123847,44126473,44126744,44128663,44132919,44139697,44145272,44145537,44152296,44153100,44161435,44162017,44171033,44172556,44173382,44174509,44174914,44175338,44175657,44176798,44177739,44184590,44187773,44190845,44200853,44201039,44201434,44201897,44202356,44203368,44204191,44204415,44207087,44209573,44223144	AR	Leigh syndrom, Fransk-Kanadisk type
2	55861197	55921045	NM_033109.4	0	-	PNPT1	PNPT1	ENSG00000138035	ENST00000447944	55863371	55920958	55861197,55864686,55867761,55870292,55870453,55871771,55872483,55873393,55873549,55874481,55882034,55883265,55883439,55887291,55889090,55894125,55894996,55898453,55899129,55900027,55906816,55907846,55907989,55910919,55912077,55913504,55914779,55920797	55863527,55864734,55867840,55870348,55870560,55871855,55872567,55873457,55873621,55874588,55882088,55883355,55883506,55887328,55889161,55894228,55895093,55898511,55899181,55900214,55906930,55907894,55908053,55910969,55912183,55913579,55914840,55921045	AR	Kombinert oksydativ fosforyleringsdefekt 13 / Sammensatt oksydativ fosforyleringsmangel 13 /Døvhet, autosomal recessiv 70
2	69623244	69664760	NM_001002755.2	0	-	NFU1	NFU1	ENSG00000169599	ENST00000410022	69623377	69664554	69623244,69627495,69633153,69642316,69646669,69650713,69659033,69664492	69623422,69627670,69633214,69642431,69646736,69650849,69659137,69664760	AR	Multippel mitokondriell dysfunksjon syndrom 1
2	74153952	74186088	NM_080916.2	0	+	DGUOK	DGUOK	ENSG00000114956	ENST00000264093	74154037	74185863	74153952,74166036,74173845,74177711,74184251,74185272,74185836	74154179,74166149,74174033,74177859,74184367,74185372,74186088	AR	Mitokondrielt DNA depletion syndrom 3 (hepatocerebral type)
