# Genepanel: Joubert Version: 02 Date: 2015-09-09
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
2	110880913	110962639	NM_000272	0	-	NPHP1	NPHP1	ENSG00000144061	ENST00000393272	110881367	110962545	110880913,110883213,110886762,110889255,110901118,110902069,110904329,110905492,110907758,110917703,110919179,110920624,110922096,110922628,110926028,110927382,110935999,110937200,110958997,110962476	110881640,110883258,110886836,110889368,110901218,110902146,110904412,110905603,110907833,110917832,110919274,110920712,110922307,110922732,110926130,110927575,110936124,110937261,110959071,110962639	AR	Joubert syndrom 4
2	166729871	166810348	NM_024753	0	-	TTC21B	TTC21B  (IFT139)	ENSG00000123607	ENST00000243344	166731264	166810215	166729871,166732674,166737188,166740303,166744788,166746988,166747347,166755195,166756279,166758231,166764187,166767836,166769023,166770083,166771710,166773766,166775785,166781058,166785644,166786159,166786681,166788267,166789482,166797536,166799728,166802033,166805903,166806104,166810194	166731342,166732742,166737309,166740528,166744984,166747150,166747498,166755277,166756390,166758420,166764294,166767975,166769134,166770156,166771949,166773991,166775943,166781188,166785845,166786257,166786874,166788366,166789567,166797694,166799851,166802200,166806014,166806234,166810348	AR	Joubert syndrome 11
2	202484906	202508252	NM_001044385	0	-	TMEM237	TMEM237	ENSG00000155755	ENST00000409883	202488977	202508123	202484906,202490748,202492043,202492798,202493952,202494451,202496773,202498033,202501470,202503711,202505615,202508081	202489045,202490870,202492137,202492872,202494144,202494575,202496931,202498154,202501608,202503773,202505647,202508252	AR	Joubert syndrom 14
2	232597146	232645974	NM_002601	0	-	PDE6D	PDE6D	ENSG00000156973	ENST00000287600	232597661	232645824	232597146,232601896,232602722,232603809,232645774	232597743,232602002,232602848,232603898,232645974	AR	Joubert syndrome 22
3	93698982	93774522	NM_182896	0	+	ARL13B	ARL13B	ENSG00000169379	ENST00000471138	93699267	93772107	93698982,93714717,93722502,93754174,93755395,93758723,93761858,93768249,93769667,93772030,93772300	93699326,93714788,93722752,93754280,93755598,93758832,93762084,93768366,93769736,93772144,93774522	AR	Joubert syndrom 8
4	15471488	15603180	NM_001080522	0	+	CC2D2A	CC2D2A	ENSG00000048342	ENST00000503292	15477556	15603048	15471488,15474845,15477538,15480346,15482327,15504051,15504444,15511761,15512869,15516329,15517490,15518247,15529069,15530242,15534815,15538542,15539521,15542459,15552446,15554780,15556694,15558926,15560787,15562153,15564977,15568999,15569299,15570915,15572020,15575772,15581590,15587779,15589438,15591167,15597707,15599029,15601151,15602859	15471681,15474879,15477595,15480430,15482451,15504140,15504546,15511863,15513046,15516492,15517627,15518379,15529279,15530349,15534956,15538699,15539760,15542637,15552603,15554928,15556833,15559130,15560880,15562245,15565145,15569105,15569409,15571012,15572119,15575949,15581794,15587869,15589552,15591302,15597830,15599088,15601329,15603180	AR	Joubert syndrom 9
5	37106329	37249530	NM_023073	0	-	C5orf42	C5orf42	ENSG00000197603	ENST00000425232	37107703	37247800	37106329,37108394,37115061,37120317,37121718,37122531,37125345,37138821,37139441,37142411,37148282,37153841,37157771,37158325,37162566,37164374,37165640,37167148,37168892,37170142,37173856,37176010,37177722,37179462,37180118,37180958,37182861,37184889,37186387,37187515,37187834,37195959,37198803,37201692,37205416,37206298,37213660,37221425,37224354,37224633,37226405,37227344,37227669,37230968,37238958,37239814,37243114,37244476,37245580,37245811,37247719,37249346	37107880,37108573,37115151,37120442,37121886,37122590,37125511,37138950,37139472,37142582,37148370,37154095,37157916,37158447,37162668,37164429,37165773,37167315,37169663,37170433,37174049,37176088,37177802,37179545,37180285,37181107,37183801,37185181,37186496,37187674,37187944,37196098,37198968,37201910,37205556,37206527,37213834,37221590,37224435,37224842,37227175,37227494,37227919,37231151,37239062,37239971,37243221,37244709,37245700,37245947,37247847,37249530	AR	Joubert syndrom 17
6	135605109	135818903	NM_017651	0	-	AHI1	AHI1	ENSG00000135541	ENST00000457866	135606782	135813375	135605109,135611560,135621637,135639656,135644299,135679269,135715913,135726088,135732485,135748304,135749766,135751019,135752345,135754164,135759512,135763719,135768145,135769427,135774478,135776871,135778631,135784262,135786951,135788718,135811760,135813365,135818325,135818720	135606785,135611663,135621696,135639754,135644462,135679325,135716034,135726115,135732682,135748445,135749897,135751138,135752452,135754394,135759636,135763852,135768298,135769613,135774574,135777064,135778851,135784444,135787511,135788772,135811885,135813429,135818387,135818903	AR	Joubert syndrom 3
7	130033611	130081051	NM_018718	0	-	CEP41	CEP41	ENSG00000106477	ENST00000223208	130038731	130080807	130033611,130039879,130040547,130041721,130042488,130044404,130050962,130052019,130056759,130067795,130080774	130038880,130040095,130040662,130041789,130042640,130044549,130051032,130052081,130056807,130067859,130081051	AR	Joubert syndrom 15
8	67976602	68108849	NM_024790	0	+	CSPP1	CSPP1	ENSG00000104218	ENST00000262210	67976633	68107828	67976602,67986477,67988716,67998241,68005777,68007527,68015271,68018139,68024206,68026039,68028148,68030482,68030977,68044185,68049690,68062017,68066258,68070681,68071225,68074045,68075966,68076625,68084650,68087530,68089914,68092097,68102884,68105698,68107616	67976731,67986586,67988816,67998345,68005876,68007967,68015370,68018210,68024300,68026097,68028357,68030604,68031056,68044315,68049838,68062170,68066371,68070831,68071372,68074150,68076033,68076743,68084790,68087671,68089961,68092161,68102994,68105837,68108849	AR	Joubert syndrome 21
