# Genepanel: HSPogHA Version: 01 Date: 2015-05-13
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	112318453	112531777	NM_004980.4	0	-	KCND3	KCND3	ENSG00000171385	ENST00000315987	112318698	112525348	112318453,112319647,112321057,112322846,112323311,112329565,112524242,112531369	112318900,112319895,112321114,112322936,112323413,112329728,112525420,112531777	AD	Spinocerebellar ataksi 19 (22) (SPG19/22)
1	114437370	114447741	NM_006594.3	0	-	AP4B1	AP4B1	ENSG00000134262	ENST00000256658	114437686	114447339	114437370,114438378,114438879,114440461,114441339,114442525,114443857,114444376,114445259,114447226,114447563	114438114,114438660,114439087,114440565,114441423,114443022,114444005,114444507,114445484,114447415,114447741	AR	Spastisk paraplegi 47 (SPG47)
2	32288679	32382706	NM_014946.3	0	+	SPAST	SPAST (SPG4)	ENSG00000021574	ENST00000315285	32288900	32379565	32288679,32312560,32314590,32323864,32339706,32340770,32341187,32352016,32353476,32361631,32361945,32362177,32366972,32368404,32370005,32372286,32379442	32289315,32312647,32314674,32323960,32339894,32340904,32341281,32352091,32353548,32361707,32362037,32362257,32367015,32368484,32370076,32372327,32382706	AD	Spastisk paraplegi 4 (SPG4)
2	86441119	86564777	NM_022912.2	0	-	REEP1	REEP1 (SPG31)	ENSG00000068615	ENST00000165698	86444222	86564633	86441119,86459747,86479079,86481816,86491087,86509292,86564601	86444233,86459925,86479193,86481937,86491164,86509365,86564777	AD	Spastisk paraplegi 31 (SPG31)
2	152689285	152955593	NM_000726.3	0	-	CACNB4	CACNB4	ENSG00000182389	ENST00000539935	152695632	152955525	152689285,152698416,152709961,152711737,152717224,152725690,152727044,152727355,152728930,152732939,152737313,152739764,152954843,152955462	152695893,152698602,152710057,152711889,152717334,152725749,152727125,152727375,152729007,152733070,152737436,152739884,152954927,152955593	AD	Episodisk ataksi, type 5 (EA5)
2	198351307	198364640	NM_002156.4	0	-	HSPD1	HSPD1	ENSG00000144381	ENST00000388968	198351769	198363572	198351307,198352581,198353040,198353725,198354920,198358047,198358880,198359380,198360017,198361863,198363398,198364505	198351922,198352760,198353215,198353971,198355020,198358216,198358974,198359476,198360100,198362116,198363574,198364640	AD	Spastisk paraplegi 13 (SPG13)
2	202564985	202645895	NM_020919.3	0	-	ALS2	ALS2	ENSG00000003393	ENST00000264276	202566573	202633608	202564985,202568844,202569176,202569861,202570138,202571568,202572591,202574603,202575713,202580394,202582799,202587765,202588052,202589017,202590078,202591206,202591386,202591934,202592427,202593234,202593774,202597998,202603392,202606396,202608980,202611288,202614434,202617868,202619225,202622124,202625603,202631951,202633588,202645599	202566612,202568941,202569326,202569923,202570184,202571745,202572714,202574761,202575831,202580562,202582933,202587843,202588164,202589182,202590177,202591272,202591589,202592001,202592498,202593363,202593906,202598161,202603458,202606577,202609152,202611471,202614512,202617965,202619394,202622482,202626541,202632106,202633668,202645895	AR	Infantil ascenderende  hereditær spastisk paralyse (IAHSP)
3	4535031	4889524	NM_002222.5	0	+	ITPR1	ITPR1	ENSG00000150995	ENST00000456211	4558175	4887909	4535031,4536114,4558159,4562707,4669446,4681067,4683776,4685819,4687070,4687265,4693806,4699807,4702671,4703765,4704748,4706821,4709060,4711337,4712412,4714819,4715885,4716751,4718297,4722236,4723047,4725069,4725311,4725964,4726752,4730178,4732827,4735173,4738830,4741496,4744513,4747850,4752008,4753440,4774771,4776847,4808213,4810194,4816925,4818947,4821233,4824302,4825499,4829630,4836748,4842108,4847786,4852948,4854825,4856106,4856736,4859765,4878457,4887822	4535289,4536190,4558267,4562778,4669562,4681154,4683935,4685918,4687154,4687412,4693902,4699962,4702771,4703926,4704890,4706980,4709233,4711457,4712610,4715071,4716027,4716905,4718485,4722375,4723102,4725235,4725482,4726030,4726890,4730304,4733028,4735425,4738956,4741625,4744634,4748035,4752157,4753552,4774904,4777038,4808394,4810448,4817126,4819058,4821329,4824425,4825604,4829823,4836871,4842284,4847951,4853144,4854918,4856246,4856902,4859926,4878619,4889524	AD	Spinocerebellar ataksi 15 og 29 (SCA15/29)
3	155544300	155572248	NM_004733.3	0	-	SLC33A1	SLC33A1	ENSG00000169359	ENST00000359479	155545998	155571786	155544300,155547476,155551256,155551645,155560220,155571011	155546166,155547692,155551374,155551830,155560408,155572248	AD	Spastisk paraplegi 42 (SPG42)
4	108852716	108874613	NM_183075.2	0	+	CYP2U1	CYP2U1	ENSG00000155016	ENST00000332884	108852799	108871579	108852716,108866125,108868531,108870505,108871400	108853289,108866761,108868693,108870673,108874613	AR	Spastisk paraplegi 56 (SPG56)
