# Genepanel: Ciliopati Version: 03 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	5922867	6052533	NM_015102.4	0	-	NPHP4	NPHP4	ENSG00000131697	ENST00000378156	5923324	6046349	5922867,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052533	AR	Nefronoftis 4
1	10003485	10045556	NM_022787.3	0	+	NMNAT1	NMNAT1	ENSG00000173614	ENST00000377205	10032131	10042759	10003485,10032075,10035649,10041088,10042358	10003573,10032246,10035833,10041228,10045556	AR	Lebers kongenitale amaurose 9
1	32665986	32670991	NM_024296.4	0	+	CCDC28B	CCDC28B	ENSG00000160050	ENST00000373602	32667536	32670849	32665986,32667513,32669479,32669786,32670198,32670794	32666310,32667700,32669646,32669980,32670221,32670991	Modifiserende faktor	{BB syndrom, modifiserende faktor}
1	68894506	68915642	NM_000329.2	0	-	RPE65	RPE65	ENSG00000116745	ENST00000262340	68895458	68915588	68894506,68896747,68896964,68897153,68903869,68904624,68904873,68905243,68906535,68910213,68910458,68912392,68914306,68915577	68895610,68896859,68897059,68897268,68903999,68904764,68905006,68905325,68906683,68910355,68910566,68912543,68914389,68915642	AR	Lebers kongenitale amaurose 2 / Retinitis pigmentosa 20
1	197237333	197447585	NM_201253.2	0	+	CRB1	CRB1	ENSG00000134376	ENST00000367400	197237542	197447009	197237333,197297551,197313410,197316469,197325960,197390129,197396583,197398578,197403835,197407676,197411295,197446793	197237612,197298133,197313606,197316609,197326143,197391086,197397131,197398744,197404742,197407805,197411422,197447585	AR	Lebers kongenitale amaurose 8 / Retinitis pigmentosa 12
1	211649863	211666259	NM_183059.2	0	-	RD3	RD3	ENSG00000198570	ENST00000367002	211652377	211654757	211649863,211654461,211665109	211652669,211654771,211666259	AR	Lebers kongenitale amaurose 12
1	243419306	243663393	NM_006642.3	0	+	SDCCAG8	SDCCAG8	ENSG00000054282	ENST00000366541	243419475	243663087	243419306,243433406,243434279,243437844,243449573,243456392,243468014,243471290,243480056,243493841,243504340,243507516,243542022,243579003,243581269,243589728,243652315,243663057	243419542,243433559,243434365,243437958,243449699,243456521,243468079,243471479,243480195,243493994,243504475,243507633,243542165,243579131,243581378,243589860,243652442,243663393	AR	BB syndrom 16 / Senior-Loken syndrom 7
2	20110028	20189884	NM_001006657.1	0	-	WDR35	WDR35	ENSG00000118965	ENST00000345530	20113318	20189776	20110028,20113797,20130156,20131029,20132043,20133161,20135231,20135979,20137503,20138025,20141519,20145546,20146221,20147924,20151175,20153594,20160314,20162055,20166484,20169240,20173323,20174228,20175290,20178511,20180451,20182223,20188925,20189752	20113469,20114038,20130313,20131170,20132208,20133272,20135364,20136126,20137707,20138162,20141600,20145757,20146331,20147978,20151245,20153739,20160375,20162088,20166670,20169366,20173469,20174394,20175424,20178640,20180544,20182295,20189043,20189884	AR	Kranioektodermal dysplasi, 2 (Sensenbrenner syndrom) / Korte ribbein-polydaktyli-syndrom, type 7 (SRTD7)
2	26624783	26679579	NM_145038.3	0	+	DRC1	DRC1 (CCDC164)	ENSG00000157856	ENST00000288710	26624857	26679385	26624783,26637211,26644155,26647138,26652495,26653653,26654751,26663245,26667089,26667583,26671558,26672863,26673459,26676187,26677514,26677998,26679328	26625012,26637299,26644268,26647322,26652633,26653740,26654874,26663385,26667224,26667816,26671671,26672953,26673549,26676417,26677658,26678101,26679579	AR	Primær ciliær dyskinesi, 21
2	27667239	27712678	NM_015662.2	0	-	IFT172	IFT172	ENSG00000138002	ENST00000260570	27667298	27712520	27667239,27667880,27668162,27668611,27668795,27669126,27670381,27670678,27671781,27672160,27672365,27672557,27672864,27676250,27676496,27676848,27677220,27677433,27679377,27680505,27680707,27680992,27681645,27682244,27682575,27683881,27684135,27684625,27685567,27685963,27688277,27688612,27693794,27695116,27699507,27700083,27700425,27700861,27702375,27702892,27703912,27706155,27706446,27706738,27707093,27707884,27708226,27712481	27667388,27667972,27668316,27668710,27668855,27669222,27670501,27670789,27671898,27672247,27672429,27672667,27672963,27676380,27676606,27677029,27677285,27677527,27679520,27680622,27680843,27681090,27681735,27682389,27682696,27683960,27684384,27684703,27685660,27686048,27688385,27688749,27693962,27695229,27699593,27700187,27700479,27701023,27702471,27703016,27704127,27706243,27706526,27706804,27707133,27707997,27708370,27712678	AR	Korte ribbein torakal dysplasi m/uten polydaktyli, type XI (SRTD10)
