# Genepanel: Immun Version: 02 Date: 2016-08-10
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
16	67691414	67694718	NM_001082487.1	0	-	ACD	Ptop,Pip1,Tpp1,Tint1	ENSG00000102977	ENST00000219251	67691508	67694381	67691414,67691664,67691888,67692457,67692622,67692830,67693131,67693277,67693439,67693604,67693805,67694024	67691587,67691717,67692265,67692544,67692719,67692982,67693166,67693322,67693516,67693698,67693939,67694718
19	11685474	11689801	NM_001111035.1	0	-	ACP5	TRAP,HPAP	ENSG00000102575	ENST00000218758	11685824	11688132	11685474,11687057,11687530,11687871,11688407,11689399,11689658	11686067,11687403,11687658,11688132,11688494,11689472,11689801
20	43248162	43280376	NM_000022.2	0	-	ADA		ENSG00000196839	ENST00000372874	43248474	43280248	43248162,43248939,43249658,43251228,43251469,43251647,43252842,43254209,43255096,43257687,43264867,43280215	43248488,43249042,43249788,43251293,43251571,43251719,43252970,43254325,43255240,43257810,43264929,43280376
1	154554533	154580724	NM_001111.4	0	-	ADAR	ADAR1	ENSG00000160710	ENST00000368474	154557281	154580482	154554533,154557692,154558228,154558656,154560600,154561026,154561844,154562232,154562659,154569280,154569598,154570303,154570877,154573516,154580467	154557519,154557820,154558341,154558839,154560734,154561149,154561938,154562404,154562885,154569471,154569743,154570452,154571061,154575102,154580724
12	8754761	8765442	NM_020661.2	0	-	AICDA	HIGM2,CDA2,ARP2,AID	ENSG00000111732	ENST00000229335	8756879	8765363	8754761,8757402,8757810,8759460,8765355	8756933,8757518,8758081,8759608,8765442
21	45705720	45718102	NM_000383.3	0	+	AIRE	PGA1,APS1	ENSG00000160224	ENST00000291582	45705889	45717610	45705720,45706439,45706860,45707399,45708227,45709539,45709870,45710977,45712184,45712875,45713671,45714283,45716265,45717538	45706021,45706614,45707016,45707474,45708341,45709685,45709951,45711093,45712284,45713058,45713793,45714386,45716328,45718102
1	33476825	33502512	NM_001625.3	0	-	AK2		ENSG00000004455	ENST00000354858	33478781	33502429	33476825,33480122,33486967,33487193,33490042,33502336	33479003,33480195,33487062,33487304,33490168,33502512
5	77298149	77590579	NM_003664.4	0	-	AP3B1	ADTB3A,HPS2	ENSG00000132842	ENST00000519295	77298725	77590403	77298149,77311233,77316515,77330184,77334866,77385216,77396776,77406030,77409575,77411949,77423853,77424944,77436966,77452081,77458642,77461433,77471449,77471607,77473162,77477330,77511878,77521365,77523195,77523967,77536685,77563343,77590275	77298879,77311372,77316613,77330269,77335098,77385323,77396849,77406178,77409747,77412058,77423984,77425131,77437143,77452191,77458775,77461496,77471521,77471662,77473260,77477486,77512061,77521432,77523356,77524063,77536760,77563419,77590579
11	108093558	108239826	NM_000051.3	0	+	ATM	TEL1,TELO1	ENSG00000149311	ENST00000278616	108098351	108236235	108093558,108098321,108098502,108099904,108106396,108114679,108115514,108117690,108119659,108121427,108122563,108123543,108124540,108126941,108128207,108129712,108137897,108139136,108141790,108141977,108143258,108143448,108150217,108151721,108153436,108154953,108158326,108159703,108160328,108163345,108164039,108165653,108168013,108170440,108172374,108173579,108175401,108178623,108180886,108183137,108186549,108186737,108188099,108190680,108192027,108196036,108196784,108198371,108199747,108200940,108202170,108202605,108203488,108204612,108205695,108206571,108213948,108216469,108218005,108224492,108225537,108235808,108236051	108093913,108098423,108098615,108100050,108106561,108114845,108115753,108117854,108119829,108121799,108122758,108123639,108124766,108127067,108128333,108129802,108138069,108139336,108141873,108142133,108143334,108143579,108150335,108151895,108153606,108155200,108158442,108159830,108160528,108163520,108164204,108165786,108168109,108170612,108172516,108173756,108175579,108178711,108181042,108183225,108186638,108186840,108188248,108190785,108192147,108196271,108196952,108198485,108199965,108201148,108202284,108202764,108203627,108204695,108205836,108206688,108214098,108216635,108218092,108224607,108225601,108235945,108239826
15	45003684	45010357	NM_004048.2	0	+	B2M		ENSG00000166710	ENST00000558401	45003744	45008540	45003684,45007620,45008526,45009804	45003811,45007899,45008554,45010357
