# Genepanel: Iktyose Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	35225341	35229325	NM_153212.2	0	+	GJB4	GJB4	ENSG00000189433	ENST00000339480	35226855	35227656	35225341,35226533	35225389,35229325	AD	Erythrokeratodermi (variabilis et progressiva)
1	35246789	35251965	NM_024009.2	0	+	GJB3	GJB3	ENSG00000188910	ENST00000373366	35250363	35251176	35246789,35250338	35247379,35251965	AD/AR	Erytrokeratodermi (variabilis et progressiva) / Autosomal dominant døvhet 2B og digenisk døvhet (GJB2/GJB3)
1	152274650	152297679	NM_002016.1	0	-	FLG	FLG	ENSG00000143631	ENST00000368799	152275175	152287932	152274650,152287794,152297664	152287223,152287953,152297679	AD	Ichthyosis  vulgaris (2 hyppige varianter (R501X og 2282del4) forbundet med atopisk eksem (OR:11.7))
1	153232178	153234600	NM_000427.2	0	+	LOR	LOR	ENSG00000203782	ENST00000368742	153233425	153234364	153232178,153233402	153232209,153234600	AD	Vohwinkels syndrom med iktyose
2	128014865	128051752	NM_000122.1	0	-	ERCC3	ERCC3	ENSG00000163161	ENST00000285398	128015171	128051657	128014865,128016871,128018803,128028911,128030440,128036748,128038022,128044278,128046235,128046912,128047264,128047799,128050185,128051088,128051629	128015303,128017024,128018922,128029029,128030537,128036951,128038207,128044593,128046440,128047077,128047400,128047849,128050422,128051294,128051752	AR	Trikothiodystrofi / Xeroderma pigmentosum
2	215796265	216003151	NM_173076.2	0	-	ABCA12	ABCA12	ENSG00000144452	ENST00000272895	215797357	216002931	215796265,215798801,215802233,215807648,215809724,215812145,215813319,215813763,215815602,215818577,215819925,215821386,215823000,215823747,215831571,215833443,215834996,215838672,215839501,215840508,215843039,215843527,215845206,215846910,215848370,215851265,215852370,215854052,215854275,215855425,215862418,215865428,215866281,215868932,215872450,215875054,215876162,215876694,215880213,215882731,215884059,215884263,215890396,215891543,215896544,215901676,215910560,215914349,215917210,215919296,215928788,215976319,216002862	215797465,215798939,215802339,215807741,215809828,215812280,215813461,215813873,215815807,215818831,215820085,215821502,215823178,215823802,215831677,215833531,215835124,215838766,215839588,215840761,215843190,215843764,215845367,215847107,215848589,215851452,215852517,215854187,215854345,215855755,215862533,215865744,215866461,215869023,215872570,215875194,215876373,215876859,215880387,215882856,215884172,215884520,215890503,215891662,215896620,215901789,215910739,215914535,215917308,215919388,215928942,215976413,216003151	AR	Iktyose, autosomal recessiv 4B (Harlekin) og 4A
3	43732374	43764217	NM_016006.4	0	+	ABHD5	ABHD5	ENSG00000011198	ENST00000458276	43732484	43760024	43732374,43740767,43743706,43753200,43756438,43759162,43759934	43732531,43740853,43744079,43753355,43756550,43759349,43764217	AR	Chanarin-Dorfman syndrom
3	122044010	122060815	NM_005213.3	0	+	CSTA	CSTA	ENSG00000121552	ENST00000264474	122044139	122060414	122044010,122056393,122060285	122044205,122056495,122060815	AR	Autosomal recessiv eksfoliativ iktyose, bulløs Siemens-like
3	190023489	190040235	NM_021101.4	0	-	CLDN1	CLDN1	ENSG00000163347	ENST00000295522	190026065	190039995	190023489,190027957,190030660,190039772	190026228,190028042,190030825,190040235	AR	Neonatal iktyose, skleroserende cholangitt (NISCH)
5	147443534	147516925	NM_006846.3	0	+	SPINK5	SPINK5	ENSG00000133710	ENST00000256084	147443607	147516554	147443534,147444909,147449885,147451710,147465967,147468104,147469056,147470727,147473916,147475380,147477429,147478796,147480016,147480917,147481343,147484514,147486599,147488315,147491330,147492430,147493924,147495932,147497999,147498548,147499571,147499857,147503395,147504327,147505285,147506545,147510821,147513359,147516545	147443662,147444935,147450013,147451783,147466095,147468168,147469184,147470791,147474044,147475468,147477557,147478878,147480144,147480999,147481471,147484563,147486727,147488400,147491458,147492497,147494052,147496029,147498127,147498621,147499699,147499954,147503523,147504400,147505413,147506642,147510952,147513450,147516925	AR	Nethertons syndrom
5	156887026	156901730	NM_001099287.1	0	+	NIPAL4	NIPAL4	ENSG00000172548	ENST00000311946	156887142	156899968	156887026,156890101,156894056,156895729,156898664,156899339	156887365,156890341,156894113,156895820,156898825,156901730	AR	Autosomal recessiv kongenitt iktyose (ARCI) 6
6	31082864	31088252	NM_001264.4	0	-	CDSN	CDSN	ENSG00000204539	ENST00000376288	31083801	31088196	31082864,31088111	31085306,31088252	AD/AR	Hypotrikose 2 / Peeling skin syndrom 1
6	36238236	36276372	NM_001145717.1	0	+	PNPLA1	PNPLA1	ENSG00000180316	ENST00000394571	36238236	36275493	36238236,36259096,36260837,36261966,36263140,36269637,36274068,36275363	36238441,36259329,36260903,36262176,36263201,36270246,36274153,36276372	AR	Autosomal recessiv kongenitt iktyose (ARCI) 10
6	80624528	80657315	NM_022726.3	0	-	ELOVL4	ELOVL4	ENSG00000118402	ENST00000369816	80626324	80656996	80624528,80629136,80631341,80634668,80635910,80656896	80626600,80629264,80631513,80634749,80636098,80657315	AR/AD/AD	Iktyose, spastisk quadriplegi og mental retardasjon / Spinocerebellar ataksi 34 / Stargardt sykdom 3
6	158589378	158620376	NM_207118.2	0	+	GTF2H5	GTF2H5	ENSG00000272047	ENST00000607778	158591535	158613189	158589378,158591501,158613008	158589427,158591570,158620376	AR	Iktyose med trikothiodystrofi (skjørt hår og negler)
7	100797685	100804557	NM_001283.3	0	+	AP1S1	AP1S1	ENSG00000106367	ENST00000337619	100797795	100803847	100797685,100799874,100800657,100802339,100803799	100797798,100800053,100800766,100802477,100804557	AR	MEDNIK syndrom (mental retardasjon, enteropati, døvhet, perifer nevropati, iktyose og keratodermi)
8	143822361	143823829	NM_020427.2	0	-	SLURP1	SLURP1	ENSG00000126233	ENST00000246515	143822560	143823803	143822361,143823220,143823745	143822694,143823340,143823829	AR	Mal de Meleda (Meleda sykdom)
9	131102838	131123749	NM_005094.3	0	+	SLC27A4	SLC27A4	ENSG00000167114	ENST00000300456	131105411	131122770	131102838,131105405,131107433,131110823,131112590,131112762,131114916,131115303,131115693,131117331,131117676,131117928,131122612	131103117,131105572,131107828,131110982,131112660,131112854,131115026,131115513,131115820,131117469,131117841,131118075,131123749	AR	Iktyose prematuritetssyndrom
10	90521162	90537999	NM_001102469.1	0	+	LIPN	LIPN	ENSG00000204020	ENST00000404459	90521162	90537999	90521162,90521944,90524166,90526025,90528548,90530601,90534229,90534848,90537765	90521270,90522062,90524365,90526135,90528685,90530748,90534301,90534920,90537999	AR	Autosomal recessiv kongenitt iktyose (ARCI) 8
11	130029681	130080257	NM_021978.3	0	+	ST14	ST14	ENSG00000149418	ENST00000278742	130029874	130079718	130029681,130058008,130058424,130058763,130059633,130060007,130060348,130064043,130064534,130066233,130066464,130067735,130068202,130068402,130068841,130069845,130078304,130079336,130079556	130029955,130058168,130058552,130058834,130059791,130060043,130060589,130064183,130064632,130066343,130066595,130067840,130068313,130068516,130068964,130070032,130078579,130079473,130080257	AR	Iktyose med hypotrikose
12	53038341	53045959	NM_000423.2	0	-	KRT2	KRT2	ENSG00000172867	ENST00000309680	53038802	53045926	53038341,53039318,53040523,53041513,53041956,53042790,53043697,53044122,53045341	53039218,53039353,53040744,53041639,53042121,53042886,53043758,53044337,53045959	AD	Bulløs kongenitt iktyose (Siemens)
12	53068519	53074191	NM_006121.3	0	-	KRT1	KRT1	ENSG00000167768	ENST00000252244	53068976	53074132	53068519,53069493,53070058,53070842,53071099,53071433,53071946,53072325,53073541	53069401,53069528,53070279,53070968,53071264,53071529,53072007,53072540,53074191	AD	Ichthyosis histrix / syklisk iktyose med epidermolystisk hyperkeratose / epidermolytisk hyperkeratose / keratosis palmoplantaris / palmoplantar keratodermi
13	20761603	20767114	NM_004004.5	0	-	GJB2	GJB2	ENSG00000165474	ENST00000382848	20763039	20763720	20761603,20766921	20763742,20767114	AD	Vohwinkel syndrom / keratitis-iktyose-døvhet syndrom / Bart-Pumphrey syndrom
13	20796100	20805372	NM_006783.4	0	-	GJB6	GJB6	ENSG00000121742	ENST00000241124	20796833	20797619	20796100,20803718,20805004	20797634,20803888,20805372	AD/AR	Ektodermal dysplasi / autosomal dominant og recessiv og digensik døvhet (GJB2/GJB6)
13	29233140	29253093	NM_015932.5	0	+	POMP	POMP	ENSG00000132963	ENST00000380842	29233321	29252239	29233140,29236546,29238645,29242609,29246475,29252171	29233324,29236644,29238706,29242711,29246569,29253093	AR	Linær keratose med kongenitt iktyose og skleroserende keratodermi (KLICK syndrom)
14	24718319	24732416	NM_000359.2	0	-	TGM1	TGM1	ENSG00000092295	ENST00000206765	24718518	24731558	24718319,24723357,24723869,24724177,24724569,24725194,24727490,24727740,24728280,24728909,24729145,24729655,24730900,24731239,24732294	24718747,24723494,24724030,24724459,24724723,24725283,24727594,24727879,24728455,24729017,24729264,24729904,24731089,24731560,24732416	AR	Autosomal recessiv kongenitt iktyose  (ARCI) 1
15	43524792	43559055	NM_201631.3	0	-	TGM5	TGM5	ENSG00000104055	ENST00000220420	43525388	43559047	43524792,43525751,43526966,43527666,43531014,43531360,43533049,43544956,43545703,43548765,43552249,43552597,43559037	43525542,43525885,43527127,43528035,43531254,43531464,43533188,43545134,43545832,43548884,43552495,43552777,43559055	AR	Peeling skin syndrom, akral form
15	100940599	101084925	NM_178842.3	0	-	CERS3	CERS3	ENSG00000154227	ENST00000284382	100942917	101042054	100940599,100996097,101009582,101013128,101016290,101019632,101020193,101024754,101031021,101041881,101061871,101069017,101084855	100943070,100996251,101009689,101013257,101016383,101019683,101020251,101024873,101031136,101042055,101061961,101069280,101084925	AR	Autosomal recessiv kongenitt iktyose (ARCI) 9
17	3413795	3461289	NM_145068.3	0	-	TRPV3	TRPV3	ENSG00000167723	ENST00000576742	3417210	3458144	3413795,3417886,3419750,3421869,3424266,3427491,3430147,3431318,3432130,3433320,3435950,3438866,3445815,3446767,3447872,3448460,3458025,3460969	3417305,3417966,3419863,3422144,3424333,3427657,3430221,3431420,3432289,3433497,3436231,3439007,3445992,3446922,3447959,3448565,3458146,3461289	AD	Olmsted syndrom. Ikke iktyose, men palmoplantar keratodermi med uttalt kløe
17	7975953	7991021	NM_001139.2	0	-	ALOX12B	ALOX12B	ENSG00000179477	ENST00000319144	7976088	7990760	7975953,7976465,7976974,7978912,7979492,7979974,7980307,7982713,7983086,7983552,7983975,7984201,7984423,7989333,7990613	7976268,7976636,7977075,7979034,7979662,7980061,7980511,7982857,7983259,7983656,7984098,7984294,7984505,7989538,7991021	AR	Autosomal recessiv kongenitt iktyose (ARCI) 2
17	7999217	8021860	NM_021628.2	0	-	ALOXE3	ALOXE3	ENSG00000179148	ENST00000448843	7999944	8021308	7999217,8006640,8007432,8011785,8012491,8013233,8013409,8013702,8014676,8015410,8017801,8018255,8018924,8020093,8021161,8021803	8000124,8006811,8007533,8011907,8012661,8013320,8013613,8013846,8014849,8015514,8017927,8018375,8019006,8020298,8021621,8021860	AR	Autosomal recessiv kongenitt iktyose (ARCI) 3
17	38974368	38978863	NM_000421.3	0	-	KRT10	KRT10	ENSG00000186395	ENST00000269576	38974727	38978837	38974368,38975038,38975768,38976300,38976513,38976762,38977286,38978210	38974734,38975413,38975986,38976426,38976675,38976919,38977369,38978863	AD	Epidermolytisk hyperkeratose / iktyose med confetti / syklisk iktyose med epidermolystisk hyperkeratose
17	39722093	39728310	NM_000226.3	0	-	KRT9	KRT9	ENSG00000171403	ENST00000246662	39723524	39728244	39722093,39723484,39724413,39724759,39725677,39726110,39726389,39727602	39722404,39724002,39724637,39724885,39725839,39726267,39726472,39728310	AD	Epidermolytisk palmoplantar keratodermi (EPPK)
18	28898051	28939209	NM_001942.3	0	+	DSG1	DSG1	ENSG00000134760	ENST00000257192	28898263	28935309	28898051,28906543,28906836,28908151,28909854,28911663,28913551,28913979,28916316,28918277,28919706,28923412,28923888,28925952,28934259	28898311,28906579,28906968,28908307,28909999,28911830,28913686,28914165,28916576,28918417,28919988,28923546,28923958,28926161,28939209	AR/AD	Kongenitt palmoplantart erytrodermi, hypotrikose og hyper IgE /  palmoplantar keratose
19	15619335	15663128	NM_173483.3	0	+	CYP4F22	CYP4F22	ENSG00000171954	ENST00000269703	15636147	15662282	15619335,15634503,15636146,15640519,15648171,15648345,15648682,15651260,15654781,15654960,15658918,15659948,15661484,15662104	15619394,15634610,15636369,15640664,15648225,15648473,15648804,15651528,15654848,15655090,15659052,15660013,15661567,15663128	AR	Autosomal recessiv kongenitt iktyose (ARCI) 5
19	45854648	45873845	NM_000400.3	0	-	ERCC2	ERCC2	ENSG00000104884	ENST00000391945	45854886	45873798	45854648,45855466,45855763,45856003,45856340,45856499,45857987,45858922,45860527,45860731,45860887,45864781,45867000,45867243,45867492,45867681,45868095,45868299,45871887,45872187,45872327,45873390,45873793	45854979,45855610,45855907,45856074,45856413,45856592,45858109,45858986,45860629,45860801,45860957,45864900,45867169,45867377,45867589,45867805,45868212,45868416,45872001,45872250,45872405,45873490,45873845	AR	Trikothiodystrofi / Xeroderma pigmentosum / Cerebrooculofacioskeletal syndrom 2
22	21213291	21245501	NM_004782.3	0	+	SNAP29	SNAP29	ENSG00000099940	ENST00000215730	21213398	21242124	21213291,21224624,21235336,21237758,21241966	21213635,21224821,21235422,21237857,21245501	AR	Iktyose med cerebral dysgenesi, nevropati, og palmoplantar keratodermi (Cednik syndrom)
X	7137471	7272682	NM_000351.4	0	+	STS	STS*	ENSG00000101846	ENST00000217961	7137716	7268302	7137471,7171236,7175282,7175506,7177389,7193991,7223086,7243379,7252026,7267928	7137727,7171377,7175404,7175629,7177813,7194128,7223224,7243539,7252148,7272682	XR	X-bundet iktyose
X	21857655	21903541	NM_015884.3	0	+	MBTPS2	MBTPS2	ENSG00000012174	ENST00000379484	21857852	21900773	21857655,21861287,21863288,21869626,21871493,21886584,21887615,21896159,21896614,21899014,21900550	21857927,21861436,21863502,21869730,21871621,21886703,21887796,21896254,21896810,21899090,21903541	XR	Follikulær iktyose, atriki, fotofobi (IFAP) / follikulær keratosis
X	48380163	48387104	NM_006579.2	0	+	EBP	EBP	ENSG00000147155	ENST00000495186	48382159	48386845	48380163,48382086,48385376,48385542,48386621	48380295,48382460,48385413,48385673,48387104	XD	Iktyose, alopeci og skleroserende cholangitt
