# Genepanel: Jeune Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
2	20110028	20189884	NM_001006657.1	0	-	WDR35	WDR35	ENSG00000118965	ENST00000345530	20113318	20189776	20110028,20113797,20130156,20131029,20132043,20133161,20135231,20135979,20137503,20138025,20141519,20145546,20146221,20147924,20151175,20153594,20160314,20162055,20166484,20169240,20173323,20174228,20175290,20178511,20180451,20182223,20188925,20189752	20113469,20114038,20130313,20131170,20132208,20133272,20135364,20136126,20137707,20138162,20141600,20145757,20146331,20147978,20151245,20153739,20160375,20162088,20166670,20169366,20173469,20174394,20175424,20178640,20180544,20182295,20189043,20189884	AR	Korte ribbein-polydaktyli-syndrom, type 7 (SRTD7)
2	27667239	27712678	NM_015662.2	0	-	IFT172	IFT172	ENSG00000138002	ENST00000260570	27667298	27712520	27667239,27667880,27668162,27668611,27668795,27669126,27670381,27670678,27671781,27672160,27672365,27672557,27672864,27676250,27676496,27676848,27677220,27677433,27679377,27680505,27680707,27680992,27681645,27682244,27682575,27683881,27684135,27684625,27685567,27685963,27688277,27688612,27693794,27695116,27699507,27700083,27700425,27700861,27702375,27702892,27703912,27706155,27706446,27706738,27707093,27707884,27708226,27712481	27667388,27667972,27668316,27668710,27668855,27669222,27670501,27670789,27671898,27672247,27672429,27672667,27672963,27676380,27676606,27677029,27677285,27677527,27679520,27680622,27680843,27681090,27681735,27682389,27682696,27683960,27684384,27684703,27685660,27686048,27688385,27688749,27693962,27695229,27699593,27700187,27700479,27701023,27702471,27703016,27704127,27706243,27706526,27706804,27707133,27707997,27708370,27712678	AR	Korte ribbein torakal dysplasi m/uten polydaktyli, type XI (SRTD10)
2	166729871	166810348	NM_024753.4	0	-	TTC21B	TTC21B  (IFT139)	ENSG00000123607	ENST00000243344	166731264	166810215	166729871,166732674,166737188,166740303,166744788,166746988,166747347,166755195,166756279,166758231,166764187,166767836,166769023,166770083,166771710,166773766,166775785,166781058,166785644,166786159,166786681,166788267,166789482,166797536,166799728,166802033,166805903,166806104,166810194	166731342,166732742,166737309,166740528,166744984,166747150,166747498,166755277,166756390,166758420,166764294,166767975,166769134,166770156,166771949,166773991,166775943,166781188,166785845,166786257,166786874,166788366,166789567,166797694,166799851,166802200,166806014,166806234,166810348	AR	Korte ribbein torakal dysplasi m/uten polydaktyli, type IV (SRTD4)
3	159974773	160117320	NM_020800.2	0	-	IFT80	IFT80	ENSG00000068885	ENST00000326448	159976312	160102388	159974773,159986200,159995093,159995368,159996980,159998454,160000265,160003591,160018670,160021702,160025450,160037547,160073800,160075276,160083830,160093599,160095217,160099290,160102349,160116933	159976423,159986324,159995266,159995458,159997152,159998602,160000401,160003656,160018834,160021777,160025569,160037727,160073938,160075366,160083940,160093668,160095328,160099510,160102434,160117320	AR	Asfykserende thorakal dystrofi 2
4	5564145	5710294	NM_147127.4	0	-	EVC2	EVC2	ENSG00000173040	ENST00000344408	5564574	5710240	5564145,5566984,5570170,5576411,5577966,5586349,5617148,5620204,5624263,5627475,5630285,5633519,5642240,5664833,5667241,5682986,5687096,5690883,5692991,5696061,5699319,5710012	5564842,5567086,5570367,5576499,5578181,5586577,5617271,5620409,5624718,5627635,5630461,5633759,5642565,5664973,5667376,5683040,5687206,5691070,5693060,5696228,5699374,5710294	AR	Ellis-van Creveld syndrom
4	5712923	5816031	NM_153717.2	0	+	EVC	EVC	ENSG00000072840	ENST00000264956	5713107	5812764	5712923,5720974,5731033,5733151,5735077,5743442,5746930,5749874,5754562,5755511,5757990,5785278,5795334,5798748,5800312,5803676,5806456,5809927,5811244,5812065,5812679	5713281,5721100,5731117,5733384,5735162,5743541,5747068,5750033,5754779,5755660,5758089,5785491,5795444,5798959,5800519,5803821,5806568,5810054,5811338,5812177,5816031	AR	Ellis-van Creveld syndrom
4	39184023	39287430	NM_025132.3	0	+	WDR19	WDR19 (IFT144)	ENSG00000157796	ENST00000399820	39184177	39280270	39184023,39187345,39188158,39191275,39196163,39201097,39205261,39206773,39207182,39216220,39217460,39217715,39218753,39219602,39226503,39229829,39230105,39233416,39233781,39236385,39241896,39245867,39246089,39246988,39254765,39255525,39257467,39259105,39267682,39269614,39271595,39274599,39276427,39278639,39279750,39280158,39287106	39184183,39187437,39188224,39191401,39196279,39201213,39205342,39206886,39207356,39216291,39217633,39217830,39218860,39219725,39226653,39229977,39230310,39233576,39233892,39236495,39241954,39246008,39246172,39247072,39254912,39255650,39257580,39259174,39267760,39269711,39271720,39274681,39276578,39278763,39279827,39280283,39287430	AR	Asfykserende thorakal dystrofi 5
4	170314420	170533778	NM_012224.2	0	-	NEK1	NEK1	ENSG00000137601	ENST00000439128	170315660	170523781	170314420,170321375,170321671,170322802,170327746,170345703,170347296,170354695,170359233,170384393,170398274,170398582,170400553,170428187,170428865,170429398,170458959,170476870,170477082,170482630,170482837,170482982,170483287,170498078,170501992,170506499,170508709,170509799,170510597,170511876,170520250,170523158,170523664,170533170	170315674,170321508,170321802,170323011,170327898,170345951,170347385,170354816,170359410,170384546,170398503,170398648,170400685,170428283,170428943,170429482,170459062,170477002,170477246,170482705,170482888,170483042,170483347,170498230,170502053,170506700,170508764,170509886,170510665,170511960,170520348,170523255,170523829,170533778	AR	Korte ribbein-polydaktyli-syndrom, type IIA (SRTD6)
5	122680578	122759286	NM_153223.3	0	-	CEP120	CEP120	ENSG00000168944	ENST00000328236	122682212	122758692	122680578,122685637,122700189,122708343,122713067,122714029,122717804,122718430,122718679,122720644,122722211,122724125,122725617,122726803,122728993,122734829,122748092,122751703,122754052,122758643,122759202	122682447,122685783,122700288,122708466,122713229,122714122,122717894,122718583,122718776,122720827,122722361,122724300,122725834,122727031,122729191,122734978,122748234,122751818,122754209,122758724,122759286	AR	Jeune asfykserende thorakal dystrofi
7	158649268	158738883	NM_018051.4	0	+	WDR60	WDR60	ENSG00000126870	ENST00000407559	158649426	158738470	158649268,158662545,158663832,158669299,158672374,158677254,158679711,158683955,158694429,158695066,158698679,158704240,158705675,158706923,158711430,158715067,158716261,158718877,158719092,158719682,158723145,158726819,158727108,158734615,158738271	158649441,158662599,158664253,158669382,158672680,158677310,158679766,158684024,158694507,158695286,158698782,158704370,158705787,158707012,158711560,158715240,158716424,158718991,158719154,158719734,158723206,158726919,158727240,158734839,158738883	AR	Korte ribbein torakal dysplasi m/uten polydaktyli, type VIII (SRTD8)
