# Genepanel: PU Version: 01 Date: 2016-10-14
#gene symbol	refseq	x10
RANBP2	NM_006267.4	50.54
ALG1	NM_019109.4	52.4333
TUBB2B	NM_178012.4	76.4733
ABCD1	NM_000033.3	76.92
TUBB2A	NM_001069.2	78.94
COX7B	NM_001866.2	84.7067
SDHA	NM_004168.3	86.0667
CDKN1C	NM_000076.2	88.2467
DDX11	NM_030653.3	88.5
ARX	NM_139058.2	89.48
AP1S2	NM_003916.4	91.96
GUSB	NM_000181.3	92.7133
APTX	NM_175073.2	94.02
ALX3	NM_006492.2	94.4
GCSH	NM_004483.4	95.0867
OFD1	NM_003611.2	95.3133
GK	NM_000167.5	95.4467
NF1	NM_000267.3	95.58
PIK3R2	NM_005027.3	95.7333
SURF1	NM_003172.3	95.7867
ZIC2	NM_007129.3	95.8333
FH	NM_000143.3	95.9533
NDUFAF2	NM_174889.4	95.9933
SLC25A15	NM_014252.3	96.1867
RPGRIP1L	NM_015272.2	96.5
TIMM8A	NM_004085.3	96.6867
SMS	NM_004595.4	96.9667
HGSNAT	NM_152419.2	97.1067
WNT4	NM_030761.4	97.1667
TGFBR1	NM_004612.2	97.1933
ZSWIM6	NM_020928.1	97.2733
BOLA3	NM_212552.2	97.3267
PGK1	NM_000291.3	97.38
LARP7	NM_016648.3	97.5267
DNM1	NM_004408.3	97.6
LAMP2	NM_002294.2	97.6267
MAGEL2	NM_019066.4	97.64
FOXG1	NM_005249.4	97.6467
DEAF1	NM_021008.3	97.6533
TUBA1A	NM_006009.3	97.8
NSUN2	NM_017755.5	97.84
EVC	NM_153717.2	97.9
ACO2	NM_001098.2	97.9533
GLDC	NM_000170.2	97.9867
PAFAH1B1	NM_000430.3	98.0333
SYN1	NM_133499.2	98.0467
SMARCA2	NM_003070.4	98.0733
FTCD	NM_006657.2	98.1067
UPF3B	NM_080632.2	98.16
FANCE	NM_021922.2	98.1867
IQSEC2	NM_001111125.2	98.2067
ANKRD11	NM_013275.5	98.24
BCAP31	NM_001139441.1	98.2533
SETBP1	NM_015559.2	98.2867
NAGLU	NM_000263.3	98.3
SYNGAP1	NM_006772.2	98.3
KIF7	NM_198525.2	98.3533
AFG3L2	NM_006796.2	98.4933
CTDP1	NM_004715.4	98.5667
CYB5R3	NM_000398.6	98.5867
SLC6A8	NM_005629.3	98.62
SGSH	NM_000199.3	98.64
GLUD1	NM_005271.3	98.6467
TTC19	NM_017775.3	98.6667
NHS	NM_198270.3	98.7733
SLC16A2	NM_006517.4	98.7933
ST3GAL5	NM_003896.3	98.82
PHF6	NM_032458.2	98.84
FGD1	NM_004463.2	98.9333
ASS1	NM_000050.4	98.9933
YAP1	NM_001130145.2	99.0133
GJC2	NM_020435.3	99.0533
LMBRD1	NM_018368.3	99.0667
SMC3	NM_005445.3	99.0867
KIF11	NM_004523.3	99.0933
PEX6	NM_000287.3	99.1333
ATP6AP2	NM_005765.2	99.1533
PDHA1	NM_000284.3	99.1933
PDSS1	NM_014317.3	99.1933
PSAT1	NM_058179.3	99.2533
GNS	NM_002076.3	99.2667
EIF2AK3	NM_004836.5	99.3067
PIGA	NM_002641.3	99.3533
TSEN54	NM_207346.2	99.3533
FAR1	NM_032228.5	99.3667
KDM6A	NM_021140.3	99.3667
NIPBL	NM_133433.3	99.3667
RYR1	NM_000540.2	99.3933
