# Genepanel: Bindevev Version: 03 Date: 2016-06-16 Post-processed: 2016-06-21
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
10	90694830	90712580	NM_001613.2	0	-	ACTA2	ACTSA	ENSG00000107796	ENST00000224784	90694979	90708687	90694830,90697817,90699263,90700985,90701541,90703553,90707014,90708558,90712487	90695123,90697999,90699455,90701147,90701626,90703664,90707143,90708710,90712580
19	8645123	8675620	NM_030957.3	0	-	ADAMTS10	ADAM-TS10	ENSG00000142303	ENST00000597188	8645776	8670595	8645123,8649778,8650015,8650339,8651005,8651227,8651441,8651699,8654125,8654335,8654772,8656683,8656841,8657646,8660645,8660956,8661190,8661425,8661870,8662117,8665811,8668611,8669896,8670507,8673015,8675528	8645886,8649938,8650192,8650544,8651135,8651354,8651605,8651780,8654249,8654469,8654875,8656747,8656987,8657754,8660787,8661103,8661296,8661469,8662016,8662201,8666029,8668768,8670243,8670694,8673130,8675620
5	178537851	178772431	NM_014244.4	0	-	ADAMTS2	ADAMTS-3,hPCPNI,PCINP,ADAM-TS2,NPI	ENSG00000087116	ENST00000251582	178540867	178772329	178537851,178548661,178549644,178551973,178552998,178554959,178556932,178559230,178559777,178562909,178564769,178566890,178579142,178580491,178581049,178581814,178585723,178608072,178634513,178699911,178770767,178772190	178541325,178548751,178549774,178552181,178553131,178555119,178557099,178559311,178559901,178563043,178564945,178567036,178579256,178580624,178581193,178581920,178585880,178608156,178634716,178700065,178771162,178772431
10	97365685	97416567	NM_002860.3	0	-	ALDH18A1	P5CS	ENSG00000059573	ENST00000371224	97366518	97413134	97365685,97369953,97371012,97373498,97373722,97376233,97380787,97385118,97386459,97387198,97388124,97392715,97393247,97396849,97397043,97402748,97413046,97416353	97366700,97370049,97371199,97373620,97373918,97376371,97381008,97385212,97386533,97387343,97388249,97392806,97393406,97396954,97397193,97402963,97413162,97416567
12	124196864	124246301	NM_012463.3	0	+	ATP6V0A2	TJ6,a2,TJ6s,TJ6M,ATP6a2,J6B7,ATP6N1D,Vph1,Stv1	ENSG00000185344	ENST00000330342	124197112	124242579	124196864,124203169,124206897,124209200,124210743,124212329,124218472,124220077,124221605,124228331,124228747,124229143,124229428,124232153,124233121,124235656,124236829,124238966,124241361,124242473	124197229,124203248,124206995,124209338,124210832,124212456,124218555,124220171,124221818,124228482,124228884,124229331,124229519,124232272,124233332,124235776,124236949,124239084,124241533,124246301
1	1167628	1170420	NM_080605.3	0	+	B3GALT6	beta3GalT6	ENSG00000176022	ENST00000379198	1167658	1168648	1167628	1170420
5	177027118	177037346	NM_007255.2	0	+	B4GALT7	XGALT-1,beta4Gal-T7	ENSG00000027847	ENST00000029410	177027211	177036696	177027118,177031179,177034302,177035539,177035910,177036540	177027261,177031542,177034528,177035623,177036015,177037346
15	40763159	40765357	NM_130468.3	0	+	CHST14	HD4ST,D4ST-1	ENSG00000169105	ENST00000306243	40763412	40764543	40763159	40765357
1	103342022	103574052	NM_001854.3	0	-	COL11A1	STL2,CO11A1	ENSG00000060718	ENST00000370096	103343574	103573734	103342022,103345238,103347252,103348754,103352362,103354132,103354278,103354421,103355010,103356006,103363680,103364221,103364496,103377714,103379192,103379907,103380259,103381186,103385866,103387073,103388891,103400004,103400615,103404590,103405882,103412404,103427421,103427731,103428208,103431042,103435774,103440385,103444263,103444415,103444615,103444937,103449693,103453188,103455073,103461419,103461544,103462635,103463865,103467480,103467983,103468302,103468770,103469999,103470163,103471393,103471623,103471817,103474018,103477968,103480066,103481223,103483375,103484373,103487262,103488297,103491076,103491771,103496671,103540173,103544213,103548360,103573628	103343721,103345472,103347321,103348867,103352612,103354186,103354314,103354475,103355118,103356060,103363734,103364329,103364550,103377768,103379246,103379961,103380367,103381240,103385920,103387127,103388945,103400112,103400669,103404644,103405990,103412512,103427475,103427821,103428316,103431096,103435828,103440439,103444308,103444469,103444660,103444991,103449747,103453296,103455127,103461464,103461598,103462680,103463919,103467525,103468037,103468347,103468824,103470044,103470217,103471447,103471677,103471871,103474072,103478025,103480150,103481298,103483438,103484415,103487325,103488552,103491169,103491888,103496800,103540336,103544427,103548528,103574052
17	48261456	48279000	NM_000088.3	0	-	COL1A1	OI4	ENSG00000108821	ENST00000225964	48262862	48278874	48261456,48263138,48263677,48264000,48264375,48264844,48265236,48265456,48265890,48266102,48266263,48266528,48266737,48267039,48267219,48267361,48267687,48267903,48268177,48268743,48269148,48269340,48269835,48270000,48270157,48270354,48271303,48271490,48271709,48271933,48272081,48272407,48272592,48272794,48272927,48273283,48273515,48273674,48273844,48273977,48274370,48274540,48275092,48275309,48275521,48275793,48276586,48276778,48276916,48277113,48278771	48263009,48263381,48263868,48264283,48264483,48264898,48265344,48265510,48265998,48266156,48266371,48266636,48266899,48267093,48267273,48267469,48267741,48267957,48268285,48268851,48269247,48269385,48269889,48270054,48270211,48270408,48271402,48271544,48271808,48271987,48272189,48272461,48272691,48272839,48273026,48273337,48273560,48273728,48273889,48274031,48274424,48274594,48275146,48275363,48275566,48275865,48276688,48276814,48276951,48277308,48279000
