# CorticalMalf_v01
#gene symbol	refseq	x10
TUBB2B	NM_178012.4	76.4733
TUBB2A	NM_001069.2	78.94
ARX	NM_139058.2	89.48
AP1S2	NM_003916.4	91.96
OFD1	NM_003611.2	95.3133
PIK3R2	NM_005027.3	95.7333
OCLN	NM_002538.3	96.9733
HEPACAM	NM_152722.4	97.52
TUBA1A	NM_006009.3	97.8
TBC1D20	NM_144628.3	97.9467
PAFAH1B1	NM_000430.3	98.0333
IER3IP1	NM_016097.4	99.0067
KIF11	NM_004523.3	99.0933
TUBB	NM_178014.3	99.1267
CASC5	NM_170589.4	99.1667
TSEN54	NM_207346.2	99.3533
RTTN	NM_173630.3	99.4267
COL18A1	NM_130445.3	99.4667
CCDC22	NM_014008.4	99.7
EXOSC3	NM_016042.3	99.7867
CUL4B	NM_003588.3	99.8133
POMT1	NM_007171.3	99.8467
PCNT	NM_006031.5	99.92
MED12	NM_005120.2	99.9267
DCHS1	NM_003737.3	99.9467
EPG5	NM_020964.2	99.9467
SLC25A19	NM_021734.4	99.9533
RBM10	NM_005676.4	99.9667
TSC1	NM_000368.4	99.9667
WDR62	NM_001083961.1	99.9667
ASNS	NM_133436.3	99.9733
COL4A1	NM_001845.5	99.9733
POMT2	NM_013382.5	99.9733
L1CAM	NM_000425.4	99.98
CEP152	NM_014985.3	99.9867
DNMT3A	NM_175629.2	99.9867
RTEL1	NM_032957.4	99.9867
TUBGCP4	NM_014444.3	99.9867
ATR	NM_001184.3	99.9933
ACTB	NM_001101.3	100
ACTG1	NM_001614.3	100
AKT1	NM_005163.2	100
AKT3	NM_005465.4	100
AMPD2	NM_001257360.1	100
ARFGEF2	NM_006420.2	100
ASPM	NM_018136.4	100
ASXL1	NM_015338.5	100
ATP6V0A2	NM_012463.3	100
B3GALNT2	NM_152490.4	100
B3GNT1	NM_006876.2	100
CASK	NM_003688.3	100
CCND2	NM_001759.3	100
CDK5	NM_004935.3	100
CDK5RAP2	NM_018249.5	100
CENPJ	NM_018451.4	100
CHMP1A	NM_002768.4	100
CLP1	NM_006831.2	100
CNTNAP2	NM_014141.5	100
COL4A2	NM_001846.2	100
CRB2	NM_173689.6	100
DAG1	NM_004393.5	100
DCX	NM_178153.2	100
DEPDC5	NM_001242896.1	100
DKC1	NM_001363.4	100
DYNC1H1	NM_001376.4	100
EMG1	NM_006331.7	100
EML1	NM_004434.2	100
ERCC1	NM_202001.2	100
ERCC5	NM_000123.3	100
ERCC6	NM_000124.3	100
ERMARD	NM_018341.2	100
EXOSC8	NM_181503.2	100
EZH2	NM_004456.4	100
FAT4	NM_024582.4	100
FKRP	NM_024301.4	100
FKTN	NM_001079802.1	100
FLNA	NM_001456.3	100
FLVCR2	NM_017791.2	100
GFAP	NM_002055.4	100
GMPPB	NM_021971.2	100
GPR56	NM_005682.6	100
GPSM2	NM_013296.4	100
ISPD	NM_001101426.3	100
JAM3	NM_032801.4	100
KATNB1	NM_005886.2	100
KIAA0196	NM_014846.3	100
KIAA1279	NM_015634.3	100
KIF2A	NM_001098511.2	100
KIF5C	NM_004522.2	100
KPTN	NM_007059.3	100
LAMA2	NM_000426.3	100
LAMB1	NM_002291.2	100
LAMC3	NM_006059.3	100
LARGE	NM_004737.4	100
MCPH1	NM_024596.3	100
MLC1	NM_015166.3	100
MTOR	NM_004958.3	100
MYCN	NM_005378.5	100
NBN	NM_002485.4	100
NDE1	NM_001143979.1	100
NFIX	NM_002501.3	100
NSD1	NM_022455.4	100
NSDHL	NM_015922.2	100
OPHN1	NM_002547.2	100
PIK3CA	NM_006218.2	100
PLK4	NM_014264.4	100
PNKP	NM_007254.3	100
POMGNT1	NM_017739.3	100
POMGNT2	NM_032806.5	100
POMK	NM_032237.4	100
PTEN	NM_000314.5	100
PTF1A	NM_178161.2	100
QARS	NM_005051.2	100
RAB18	NM_021252.4	100
RAB3GAP1	NM_012233.2	100
RAB3GAP2	NM_012414.3	100
RARS2	NM_020320.3	100
RBBP8	NM_002894.2	100
RELN	NM_005045.3	100
SEPSECS	NM_016955.3	100
SNAP29	NM_004782.3	100
SRD5A3	NM_024592.4	100
STAMBP	NM_006463.4	100
STIL	NM_003035.2	100
STRADA	NM_153335.5	100
TBC1D7	NM_001143965.3	100
TMEM5	NM_014254.2	100
TRAIP	NM_005879.2	100
TSC2	NM_000548.3	100
TSEN2	NM_025265.3	100
TUBA8	NM_018943.2	100
TUBB4A	NM_006087.3	100
TUBG1	NM_001070.4	100
TUBGCP6	NM_020461.3	100
VLDLR	NM_003383.3	100
VPS13B	NM_017890.4	100
VPS53	NM_001128159.2	100
VRK1	NM_003384.2	100
