# Genepanel: NPHPogSLSN Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	5922867	6052533	NM_015102.4	0	-	NPHP4	NPHP4	ENSG00000131697	ENST00000378156	5923324	6046349	5922867,5923949,5924397,5925161,5926432,5927089,5927799,5933311,5934530,5934933,5937152,5940173,5947345,5950927,5964676,5965351,5965691,5967174,5969211,5987708,5993206,6007163,6008129,6012759,6021853,6027358,6029146,6038329,6046214,6052303	5923465,5924093,5924577,5925333,5926518,5927175,5927956,5933395,5934717,5935160,5937358,5940299,5947526,5951088,5964864,5965543,5965843,5967282,5969273,5987847,5993389,6007290,6008311,6012896,6022009,6027423,6029319,6038473,6046387,6052533	AR	Nefronoftis 4
1	243419306	243663393	NM_006642.3	0	+	SDCCAG8	SDCCAG8	ENSG00000054282	ENST00000366541	243419475	243663087	243419306,243433406,243434279,243437844,243449573,243456392,243468014,243471290,243480056,243493841,243504340,243507516,243542022,243579003,243581269,243589728,243652315,243663057	243419542,243433559,243434365,243437958,243449699,243456521,243468079,243471479,243480195,243493994,243504475,243507633,243542165,243579131,243581378,243589860,243652442,243663393	AR	Senior-Loken syndrom 7
2	27667239	27712678	NM_015662.2	0	-	IFT172	IFT172	ENSG00000138002	ENST00000260570	27667298	27712520	27667239,27667880,27668162,27668611,27668795,27669126,27670381,27670678,27671781,27672160,27672365,27672557,27672864,27676250,27676496,27676848,27677220,27677433,27679377,27680505,27680707,27680992,27681645,27682244,27682575,27683881,27684135,27684625,27685567,27685963,27688277,27688612,27693794,27695116,27699507,27700083,27700425,27700861,27702375,27702892,27703912,27706155,27706446,27706738,27707093,27707884,27708226,27712481	27667388,27667972,27668316,27668710,27668855,27669222,27670501,27670789,27671898,27672247,27672429,27672667,27672963,27676380,27676606,27677029,27677285,27677527,27679520,27680622,27680843,27681090,27681735,27682389,27682696,27683960,27684384,27684703,27685660,27686048,27688385,27688749,27693962,27695229,27699593,27700187,27700479,27701023,27702471,27703016,27704127,27706243,27706526,27706804,27707133,27707997,27708370,27712678	AR	I/T
2	110880913	110962639	NM_000272.3	0	-	NPHP1	NPHP1	ENSG00000144061	ENST00000393272	110881367	110962545	110880913,110883213,110886762,110889255,110901118,110902069,110904329,110905492,110907758,110917703,110919179,110920624,110922096,110922628,110926028,110927382,110935999,110937200,110958997,110962476	110881640,110883258,110886836,110889368,110901218,110902146,110904412,110905603,110907833,110917832,110919274,110920712,110922307,110922732,110926130,110927575,110936124,110937261,110959071,110962639	AD / AR	Nefronoftis 1, juvenil
2	166729871	166810348	NM_024753.4	0	-	TTC21B	TTC21B  (IFT139)	ENSG00000123607	ENST00000243344	166731264	166810215	166729871,166732674,166737188,166740303,166744788,166746988,166747347,166755195,166756279,166758231,166764187,166767836,166769023,166770083,166771710,166773766,166775785,166781058,166785644,166786159,166786681,166788267,166789482,166797536,166799728,166802033,166805903,166806104,166810194	166731342,166732742,166737309,166740528,166744984,166747150,166747498,166755277,166756390,166758420,166764294,166767975,166769134,166770156,166771949,166773991,166775943,166781188,166785845,166786257,166786874,166788366,166789567,166797694,166799851,166802200,166806014,166806234,166810348	AR	Nefronoftis 12
3	121488609	121553926	NM_001023570.2	0	-	IQCB1	IQCB1 (NPHP5)	ENSG00000173226	ENST00000310864	121489191	121547807	121488609,121491403,121500589,121507130,121508919,121514303,121515964,121518042,121526190,121527762,121544897,121547316,121547707,121553237,121553812	121489421,121491560,121500721,121507279,121509062,121514413,121516074,121518221,121526290,121527856,121545027,121547479,121547819,121553326,121553926	AR	Senior-Løken syndrom 5
3	132399452	132441303	NM_153240.4	0	-	NPHP3	NPHP3	ENSG00000113971	ENST00000337331	132400753	132441199	132399452,132401546,132402242,132403397,132405103,132405994,132407493,132407917,132409371,132410035,132411497,132413670,132415574,132416103,132418196,132418761,132419177,132420273,132423041,132424583,132426944,132431969,132433928,132435600,132437837,132438548,132440806	132400934,132401662,132402368,132403638,132405231,132406070,132407735,132408107,132409494,132410130,132411662,132413809,132415657,132416206,132418294,132418905,132419292,132420377,132423215,132424658,132427101,132432130,132434062,132435753,132437988,132438674,132441303	AR	Nefronoftis 3
4	39184023	39287430	NM_025132.3	0	+	WDR19	WDR19 (IFT144)	ENSG00000157796	ENST00000399820	39184177	39280270	39184023,39187345,39188158,39191275,39196163,39201097,39205261,39206773,39207182,39216220,39217460,39217715,39218753,39219602,39226503,39229829,39230105,39233416,39233781,39236385,39241896,39245867,39246089,39246988,39254765,39255525,39257467,39259105,39267682,39269614,39271595,39274599,39276427,39278639,39279750,39280158,39287106	39184183,39187437,39188224,39191401,39196279,39201213,39205342,39206886,39207356,39216291,39217633,39217830,39218860,39219725,39226653,39229977,39230310,39233576,39233892,39236495,39241954,39246008,39246172,39247072,39254912,39255650,39257580,39259174,39267760,39269711,39271720,39274681,39276578,39278763,39279827,39280283,39287430	AR	Nefronoftis 13
6	24171982	24358280	NM_016356.4	0	-	DCDC2	DCDC2	ENSG00000146038	ENST00000378454	24174957	24357978	24171982,24178557,24205229,24278276,24289079,24291159,24301942,24302195,24353796,24357685	24175062,24178860,24205330,24278439,24289134,24291306,24302074,24302272,24353851,24358280	AR	Nefronoftis 19
8	94767071	94830347	NM_153704.5	0	+	TMEM67	TMEM67 (MKS3)	ENSG00000164953	ENST00000453321	94767142	94828680	94767071,94768005,94770710,94776069,94777633,94777799,94784816,94792820,94793101,94793885,94794622,94797449,94798450,94800071,94803490,94805425,94807636,94808128,94809361,94809558,94811845,94815831,94816989,94821067,94821284,94822012,94827532,94828599	94767365,94768094,94770804,94776169,94777703,94777874,94784879,94792975,94793210,94793972,94794688,94797606,94798574,94800177,94803547,94805524,94807735,94808215,94809461,94809698,94811986,94815912,94817106,94821184,94821389,94822115,94827675,94830347	AR	Nefronoftis 11
