# Genepanel: TrioPU Version: 01 Date: 2016-01-21 Post-processed: 2016-03-07
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
1	2160133	2241652	NM_003036.3	0	+	SKI		ENSG00000157933	ENST00000378536	2160205	2238204	2160133,2234416,2234723,2235278,2235731,2237458,2238015	2161174,2234542,2234839,2235541,2236024,2237689,2241652
1	2336240	2344010	NM_153818.1	0	-	PEX10	RNF69	ENSG00000157911	ENST00000288774	2337204	2343941	2336240,2337922,2338158,2339890,2341809,2343829	2337273,2338058,2338394,2340297,2341890,2344010
1	6845383	7829766	NM_015215.3	0	+	CAMTA1	KIAA0833	ENSG00000171735	ENST00000303635	6845590	7826551	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798018,7804894,7805904,7807769,7811258,7812518,7815697,7826518	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,7829766
1	10535002	10690815	NM_004565.2	0	+	PEX14		ENSG00000142655	ENST00000356607	10535023	10690044	10535002,10555330,10596269,10659294,10678388,10683075,10684396,10687328,10689587	10535059,10555378,10596354,10659423,10678474,10683178,10684494,10687420,10690815
1	11845786	11866160	NM_005957.4	0	-	MTHFR		ENSG00000177000	ENST00000376590	11850736	11863173	11845786,11851263,11852334,11853963,11854414,11854785,11855154,11856262,11860268,11861217,11862937,11865944	11850955,11851383,11852436,11854146,11854595,11854920,11855405,11856456,11860379,11861456,11863186,11866160
1	17312452	17338467	NM_022089.3	0	-	ATP13A2	HSA9947,CLN12	ENSG00000159363	ENST00000452699	17312715	17338233	17312452,17312957,17313299,17313540,17314632,17314816,17316185,17316381,17316621,17318228,17318503,17318737,17318980,17320123,17322470,17322748,17322880,17323514,17326505,17326740,17326894,17328528,17328790,17330826,17331186,17331508,17331868,17332178,17338223	17312853,17313127,17313451,17313764,17314729,17314969,17316265,17316498,17316782,17318353,17318624,17318897,17319076,17320330,17322659,17322795,17322991,17323670,17326637,17326807,17327029,17328598,17328868,17330906,17331316,17331567,17332051,17332273,17338467
1	19197923	19229293	NM_003748.3	0	-	ALDH4A1	P5CDh	ENSG00000159423	ENST00000375341	19199338	19229017	19197923,19200956,19201875,19202808,19203701,19203909,19205793,19208193,19209617,19209772,19211966,19212957,19215855,19216505,19228955	19199451,19201075,19201997,19202961,19203749,19204106,19205867,19208381,19209692,19209922,19212122,19213005,19215948,19216599,19229293
1	20978259	20988037	NM_005216.4	0	-	DDOST	OST,KIAA0115,OST48,WBP1	ENSG00000244038	ENST00000375048	20978871	20987894	20978259,20979113,20979343,20980119,20980715,20981106,20981932,20982168,20982593,20987373,20987689	20979021,20979220,20979464,20980267,20980864,20981200,20982027,20982272,20982680,20987484,20988037
1	21835857	21904905	NM_000478.4	0	+	ALPL	TNSALP	ENSG00000162551	ENST00000374840	21880574	21904141	21835857,21880470,21887118,21887589,21889602,21890533,21894596,21896797,21900157,21902225,21903014,21903875	21836010,21880635,21887238,21887705,21889777,21890709,21894740,21896867,21900292,21902417,21903134,21904905
1	22148724	22263790	NM_005529.6	0	-	HSPG2	perlecan,PRCAN	ENSG00000142798	ENST00000374695	22149808	22263710	22148724,22150108,22150613,22150798,22151029,22151196,22154355,22154522,22154747,22155327,22155875,22156485,22157474,22157707,22157955,22158144,22158987,22159760,22159959,22160308,22161171,22162032,22163294,22165317,22165863,22166314,22167593,22168031,22168494,22168731,22169262,22169789,22170640,22172600,22172940,22173846,22174181,22174450,22175135,22175385,22176533,22176855,22178038,22178283,22178580,22179192,22179411,22180685,22181103,22181340,22181796,22182015,22182279,22183507,22183777,22186058,22186327,22186669,22188249,22188480,22190592,22191335,22191777,22192209,22198678,22199112,22199489,22199867,22200417,22200898,22201108,22201383,22202121,22202355,22202721,22203004,22204678,22204925,22205069,22205486,22206599,22206855,22207148,22207831,22211020,22211259,22211505,22211812,22213707,22213912,22214430,22216473,22216919,22217077,22222414,22222667,22263647	22149981,22150212,22150697,22150869,22151108,22151272,22154412,22154645,22154919,22155572,22156097,22156584,22157583,22157817,22158055,22158289,22159099,22159877,22160107,22160418,22161438,22162130,22163499,22165578,22166043,22166510,22167778,22168166,22168635,22168873,22169414,22169931,22170792,22172748,22173092,22173985,22174333,22174586,22175287,22175524,22176685,22176991,22178190,22178419,22178726,22179325,22179563,22180836,22181258,22181476,22181939,22182168,22182405,22183688,22183878,22186169,22186495,22186728,22188336,22188608,22190706,22191566,22191858,22192302,22198870,22199253,22199584,22199917,22200504,22201026,22201222,22201495,22202240,22202535,22202898,22203145,22204746,22204984,22205156,22205614,22206747,22207052,22207328,22207995,22211167,22211411,22211650,22211944,22213827,22214167,22214559,22216634,22216978,22217187,22222459,22222803,22263790
1	22443797	22469519	NM_030761.4	0	-	WNT4	WNT-4	ENSG00000162552	ENST00000290167	22446542	22469415	22443797,22447703,22447937,22456108,22469338	22447010,22447846,22448069,22456344,22469519
