# Genepanel: EB Version: 01 Date: 2015-10-28
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	183155173	183214262	NM_005562.2	0	+	LAMC2	LAMC2 (EBR2)	ENSG00000058085	ENST00000264144	183155487	183212535	183155173,183177015,183184587,183187524,183189959,183191223,183192269,183194742,183195832,183196649,183197508,183200095,183201321,183201786,183203501,183204709,183205594,183206486,183207441,183208498,183209174,183209426,183212281	183155566,183177204,183184723,183187623,183190096,183191346,183192459,183194855,183196051,183196832,183197754,183200238,183201478,183201992,183203581,183204865,183205739,183206639,183207556,183208698,183209333,183209526,183214262	AR	EB, Herlitz, EB non-herlitz
1	201252579	201302121	NM_001005337.2	0	+	PKP1	PKP1 (JUP)	ENSG00000081277	ENST00000367324	201252830	201297964	201252579,201263069,201282293,201285680,201286699,201287745,201289394,201291105,201292140,201293555,201294068,201294881,201297889,201299201	201253032,201263173,201282688,201285825,201286907,201287923,201289509,201291261,201292317,201293709,201294255,201294966,201297996,201302121	AR	Ektodermal dysplasi
1	209788217	209825820	NM_000228.2	0	-	LAMB3	LAMB3	ENSG00000196878	ENST00000356082	209788615	209824289	209788217,209789815,209790754,209791251,209791796,209795880,209796326,209796849,209797184,209798992,209800211,209800727,209801379,209803081,209803959,209805927,209806414,209807791,209811252,209811878,209823308,209824261,209825713	209788752,209789969,209790931,209791393,209792004,209796025,209796524,209797070,209797345,209799371,209800323,209800924,209801535,209803270,209804080,209806121,209806478,209807983,209811326,209811993,209823463,209824326,209825820	AR	Amelogenesis imp.1A, EB Herlitz, EB non-herlitz
2	173292313	173371181	NM_000210.2	0	+	ITGA6	ITGA6	ENSG00000091409	ENST00000264107	173292516	173366607	173292313,173330266,173332208,173333852,173335701,173338782,173339656,173340324,173341122,173344368,173344717,173349509,173349848,173351750,173351991,173352274,173352455,173352688,173352853,173354212,173355751,173355948,173356152,173362702,173366499,173368818	173292698,173330391,173332288,173334108,173335833,173338993,173339850,173340413,173341241,173344467,173344779,173349670,173349992,173351866,173352181,173352358,173352535,173352766,173352956,173354386,173355850,173356059,173356251,173362828,173366629,173371181	AR	Junctional EB med pylorusstenose
3	48601505	48632593	NM_000094.3	0	-	COL7A1	COL7A1	ENSG00000114270	ENST00000328333	48601838	48632592	48601505,48602215,48602541,48602842,48603068,48603699,48603942,48604092,48604339,48604560,48605006,48605142,48605270,48605522,48605931,48606216,48606807,48607024,48607157,48607312,48607566,48607707,48607897,48608071,48608293,48608533,48608675,48609433,48609559,48609812,48609935,48610103,48610294,48610453,48610606,48610748,48610945,48611122,48611287,48611694,48611920,48612109,48612229,48612496,48612639,48612771,48613058,48613299,48613681,48613832,48613954,48614108,48614316,48614424,48615753,48615885,48616351,48616629,48616801,48616912,48617020,48617217,48617463,48617732,48618013,48618314,48618554,48618692,48618880,48619005,48619138,48619343,48619755,48619910,48620041,48620445,48620559,48620825,48620988,48621150,48621332,48621467,48621730,48621917,48622166,48622342,48622468,48622989,48623122,48623262,48623372,48623506,48623764,48623995,48624404,48624622,48624852,48625225,48625714,48626074,48626302,48626759,48627031,48627645,48627891,48628105,48628896,48629105,48629330,48629534,48629783,48630002,48630207,48630534,48630788,48630969,48631800,48632507	48601855,48602413,48602634,48602929,48603101,48603748,48603996,48604170,48604456,48604623,48605069,48605196,48605324,48605603,48605967,48606288,48606879,48607081,48607193,48607348,48607611,48607767,48607933,48608143,48608401,48608593,48608711,48609478,48609604,48609854,48609971,48610172,48610375,48610489,48610669,48610781,48610990,48611158,48611323,48611739,48611983,48612154,48612298,48612559,48612675,48612972,48613181,48613335,48613729,48613868,48613990,48614204,48614352,48614460,48615798,48615948,48616387,48616710,48616837,48616948,48617101,48617247,48617490,48617777,48618085,48618359,48618590,48618773,48618916,48619065,48619192,48619376,48619791,48619946,48620086,48620481,48620604,48620861,48621048,48621213,48621386,48621494,48621808,48621989,48622202,48622378,48622549,48623052,48623167,48623289,48623408,48623679,48623911,48624122,48624541,48624769,48624987,48625372,48625837,48626221,48626428,48626903,48627151,48627789,48628017,48628249,48629025,48629255,48629447,48629681,48629900,48630132,48630371,48630696,48630882,48631129,48631981,48632593	AD/AR	Dystrofisk EB
6	7541869	7586946	NM_004415.2	0	+	DSP	DSP	ENSG00000096696	ENST00000379802	7542148	7586111	7541869,7555950,7558348,7559458,7562884,7563968,7565591,7566609,7567586,7568013,7568669,7569418,7570669,7571615,7572074,7574318,7574889,7575527,7576526,7577191,7578011,7578696,7579507,7582874	7542318,7556053,7558497,7559633,7563013,7564019,7565753,7566714,7567682,7568139,7568822,7569573,7570796,7571817,7572301,7574485,7575028,7575721,7576689,7577275,7578119,7578795,7581802,7586946	AR	EB, letal akantolytisk
6	56479374	56507694	NM_001723.5	0	-	DST	DST	ENSG00000151914	ENST00000370765	56480314	56507586	56479374,56482783,56489327,56489954,56492001,56492796,56494047,56495042,56496008,56496680,56497651,56498929,56499259,56499598,56500386,56501354,56504056,56504247,56504493,56504726,56504940,56506744,56507207,56507419	56482216,56485513,56489426,56490062,56492085,56492959,56494241,56495181,56496187,56496838,56497835,56499056,56499414,56499751,56500512,56501450,56504161,56504409,56504571,56504855,56505403,56506899,56507301,56507694	AR	EB simplex, AR 2
8	144989314	145050913	NM_000445.4	0	-	PLEC	PLEC (PLEC1)	ENSG00000178209	ENST00000436759	144990344	145049537	144989314,144996671,145000951,145001144,145001419,145001577,145002021,145003270,145003581,145003813,145004103,145004311,145004551,145005701,145006104,145006297,145006567,145006802,145006960,145007364,145008165,145008485,145008802,145008977,145009178,145009365,145010015,145011146,145011332,145012318,145012798,145049344,145050870	144996563,145000052,145001050,145001249,145001503,145001934,145002160,145003449,145003739,145003997,145004230,145004466,145004704,145005827,145006200,145006402,145006729,145006880,145007279,145007519,145008259,145008613,145008898,145009097,145009285,145009481,145010182,145011239,145011410,145012408,145012860,145049543,145050913	AD	EB simplex Ogna type
10	105791045	105845638	NM_000494.3	0	-	COL17A1	COL17A1	ENSG00000065618	ENST00000353479	105791992	105840431	105791045,105792431,105792663,105792995,105793702,105794378,105795020,105795231,105796249,105796802,105797393,105798163,105798828,105799202,105799365,105799730,105800108,105800822,105801060,105801242,105802177,105803258,105803582,105805515,105806504,105807496,105807826,105809166,105809846,105810378,105810605,105811238,105811912,105812788,105813677,105813849,105814738,105815129,105815539,105816732,105817903,105819395,105819876,105821162,105822015,105823504,105824195,105830183,105831789,105832967,105833941,105836058,105837179,105838299,105840379,105845480	105792048,105792512,105792726,105793133,105794092,105794525,105795131,105795321,105796390,105796871,105797531,105798286,105798879,105799277,105799398,105799757,105800168,105800876,105801102,105801296,105802213,105803339,105803618,105805551,105806531,105807568,105807862,105809229,105809882,105810414,105810659,105811274,105811975,105812893,105813740,105813876,105814765,105815159,105815761,105816930,105817948,105819476,105820038,105821231,105822087,105823576,105824354,105830327,105831837,105833003,105833989,105836187,105837284,105838344,105840442,105845638	AR	EB non-herlitz
11	108376157	108464374	NM_015065.2	0	-	EXPH5	EXPH5 (SLAC2B, KIAA0624)	ENSG00000110723	ENST00000265843	108380263	108464263	108376157,108388961,108398862,108409750,108412378,108464144	108385602,108389100,108398911,108409913,108412539,108464374	AR	EBS-AR exophilin 5
