# Genepanel: Bindevev Version: 01 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	11994723	12035599	NM_000302.3	0	+	PLOD1	PLOD1	ENSG00000083444	ENST00000196061	11994836	12034865	11994723,12008032,12009829,12010413,12012679,12014886,12016973,12017898,12018572,12020702,12023588,12024231,12024700,12025536,12026307,12027043,12030726,12032928,12034709	11994912,12008124,12009963,12010577,12012792,12014950,12017071,12018000,12018704,12020824,12023693,12024357,12024842,12025650,12026373,12027148,12030873,12033054,12035599	AR	Ehlers-Danlos syndrom, type VI
1	103342022	103574052	NM_001854.3	0	-	COL11A1	COL11A1	ENSG00000060718	ENST00000370096	103343574	103573734	103342022,103345238,103347252,103348754,103352362,103354132,103354278,103354421,103355010,103356006,103363680,103364221,103364496,103377714,103379192,103379907,103380259,103381186,103385866,103387073,103388891,103400004,103400615,103404590,103405882,103412404,103427421,103427731,103428208,103431042,103435774,103440385,103444263,103444415,103444615,103444937,103449693,103453188,103455073,103461419,103461544,103462635,103463865,103467480,103467983,103468302,103468770,103469999,103470163,103471393,103471623,103471817,103474018,103477968,103480066,103481223,103483375,103484373,103487262,103488297,103491076,103491771,103496671,103540173,103544213,103548360,103573628	103343721,103345472,103347321,103348867,103352612,103354186,103354314,103354475,103355118,103356060,103363734,103364329,103364550,103377768,103379246,103379961,103380367,103381240,103385920,103387127,103388945,103400112,103400669,103404644,103405990,103412512,103427475,103427821,103428316,103431096,103435828,103440439,103444308,103444469,103444660,103444991,103449747,103453296,103455127,103461464,103461598,103462680,103463919,103467525,103468037,103468347,103468824,103470044,103470217,103471447,103471677,103471871,103474072,103478025,103480150,103481298,103483438,103484415,103487325,103488552,103491169,103491888,103496800,103540336,103544427,103548528,103574052	AR/AD/AD	Fibrochondrogenesis / Marshall syndrom / Stickler syndrom type II
1	218518675	218617961	NM_003238.3	0	+	TGFB2	TGFB2	ENSG00000092969	ENST00000366930	218520043	218614704	218518675,218578510,218607423,218607679,218609311,218610684,218614545	218520389,218578674,218607556,218607790,218609489,218610838,218617961	AD	Loeys-Dietz syndrom, type 4
2	189839098	189877472	NM_000090.3	0	+	COL3A1	COL3A1	ENSG00000168542	ENST00000304636	189839215	189876500	189839098,189849485,189849922,189850390,189851784,189852806,189853315,189854121,189854821,189855032,189855729,189856212,189856394,189856909,189857612,189858086,189858763,189858959,189859266,189859449,189859771,189860417,189860850,189861123,189861890,189862061,189862425,189862991,189863399,189864010,189864195,189864567,189866122,189866261,189867023,189867680,189868136,189868459,189868707,189868982,189870075,189870931,189871070,189871662,189872225,189872610,189872760,189873649,189874903,189875373,189876353	189839294,189849688,189849973,189850504,189851865,189852860,189853369,189854175,189854875,189855086,189855783,189856257,189856448,189856954,189857666,189858185,189858808,189859058,189859320,189859557,189859825,189860516,189860904,189861222,189861944,189862115,189862479,189863045,189863444,189864109,189864303,189864621,189866176,189866315,189867077,189867788,189868190,189868513,189868869,189869090,189870183,189870985,189871178,189871716,189872333,189872664,189872868,189873947,189875091,189875616,189877472	AD	Ehlers-Danlos syndrom type IV
2	189896640	190044605	NM_000393.3	0	-	COL5A2	COL5A2	ENSG00000204262	ENST00000374866	189898795	190044330	189896640,189899641,189901341,189903997,189906311,189907445,189907876,189909904,189910525,189912934,189914072,189915294,189916045,189916897,189917474,189917636,189918149,189918620,189918884,189921698,189922045,189923154,189923574,189925455,189926287,189927590,189927735,189927897,189928705,189929282,189929729,189931115,189931454,189932740,189932951,189933511,189936765,189940118,189943241,189943788,189944703,189945715,189948709,189949885,189950444,189951451,189953420,189957035,189962002,189963452,189964832,189968989,189974950,190044233	189898942,189899881,189901529,189904289,189906419,189907499,189907984,189909958,189910633,189912988,189914180,189915402,189916207,189916951,189917528,189917744,189918203,189918674,189918938,189921752,189922153,189923253,189923619,189925509,189926341,189927644,189927789,189927996,189928759,189929381,189929783,189931223,189931508,189932839,189932996,189933610,189936819,189940163,189943295,189943833,189944757,189945769,189948763,189949939,189950498,189951496,189953498,189957146,189962056,189963485,189964865,189969003,189975175,190044605	AD	Ehlers-Danlos syndrom type I
3	30647993	30735633	NM_003242.5	0	+	TGFBR2	TGFBR2	ENSG00000163513	ENST00000295754	30648375	30733091	30647993,30686238,30691761,30713129,30715596,30729875,30732911	30648469,30686407,30691952,30713929,30715738,30730003,30735633	AD	Loeys-Dietz syndrom, type 2
5	127593600	127873735	NM_001999.3	0	-	FBN2	FBN2	ENSG00000138829	ENST00000262464	127595146	127873296	127593600,127597427,127599116,127607690,127609531,127610258,127611729,127613571,127614326,127615883,127622409,127622999,127624129,127624818,127625573,127626423,127627220,127636508,127637073,127638664,127640648,127641202,127641514,127642826,127644938,127645674,127646991,127647576,127648325,127653840,127654570,127664387,127666264,127668603,127670410,127670861,127671146,127671679,127673688,127674624,127680076,127681048,127685038,127685646,127686559,127692967,127697415,127700292,127702069,127704874,127710320,127712423,127713444,127714463,127727710,127728827,127730814,127744366,127782173,127800416,127854965,127863564,127866287,127872094,127873042	127595521,127597599,127599348,127607810,127609660,127610375,127611852,127613697,127614533,127616009,127622541,127623122,127624249,127624944,127625639,127626576,127627346,127636628,127637202,127638781,127640774,127641328,127641640,127642895,127645091,127645800,127647117,127647645,127648487,127653963,127654693,127664513,127666387,127668726,127670536,127670987,127671269,127671805,127673814,127674753,127680202,127681276,127685164,127685697,127686697,127693087,127697541,127700418,127702123,127705027,127710443,127712546,127713570,127714583,127727848,127729061,127730967,127744492,127782299,127800614,127855061,127863660,127866386,127872177,127873735	AD	Kongenital kontraktural arachnodaktyli
5	177027118	177037346	NM_007255.2	0	+	B4GALT7	B4GALT7	ENSG00000027847	ENST00000029410	177027211	177036696	177027118,177031179,177034302,177035539,177035910,177036540	177027261,177031542,177034528,177035623,177036015,177037346	AR	Ehlers-Danlos syndrom, progeroid type
5	178537851	178772431	NM_014244.4	0	-	ADAMTS2	ADAMTS2	ENSG00000087116	ENST00000251582	178540867	178772329	178537851,178548661,178549644,178551973,178552998,178554959,178556932,178559230,178559777,178562909,178564769,178566890,178579142,178580491,178581049,178581814,178585723,178608072,178634513,178699911,178770767,178772190	178541325,178548751,178549774,178552181,178553131,178555119,178557099,178559311,178559901,178563043,178564945,178567036,178579256,178580624,178581193,178581920,178585880,178608156,178634716,178700065,178771162,178772431	AR	Ehlers-Danlos syndrom, type VIIC
7	73442118	73484236	NM_000501.3	0	+	ELN	ELN	ENSG00000049540	ENST00000252034	73442517	73483030	73442118,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484236	AD	Cutis laxa / Supravalvulær aortastenose
