# KFM_v01
#gene symbol	refseq	x10
UBB	NM_001281720.1	82.5533
TBX1	NM_080647.1	86.2467
SUMO1	NM_003352.4	96.6333
PAX1	NM_006192.4	98.16
WDR35	NM_001006657.1	99.76
SALL4	NM_020436.3	99.7867
COL11A1	NM_001854.3	99.86
ASXL1	NM_015338.5	100
BMP4	NM_001202.3	100
CDC45	NM_001178010.2	100
CHD7	NM_017780.3	100
COL11A2	NM_080680.2	100
COL2A1	NM_001844.4	100
COL9A1	NM_001851.4	100
COL9A2	NM_001852.3	100
COLEC11	NM_024027.4	100
DHODH	NM_001361.4	100
EDN1	NM_001955.4	100
EDNRA	NM_001957.3	100
EFNB1	NM_004429.4	100
EFTUD2	NM_004247.3	100
EIF4A3	NM_014740.3	100
ERF	NM_006494.3	100
EYA1	NM_000503.5	100
FGFR1	NM_023110.2	100
FGFR2	NM_000141.4	100
FGFR3	NM_000142.4	100
GNAI3	NM_006496.3	100
GRHL3	NM_198174.2	100
GSC	NM_173849.2	100
IHH	NM_002181.3	100
IL11RA	NM_001142784.2	100
IRF6	NM_006147.3	100
MEGF8	NM_001410.2	100
MSX1	NM_002448.3	100
MSX2	NM_002449.4	100
PLCB4	NM_000933.3	100
POLR1A	NM_015425.3	100
POLR1C	NM_203290.2	100
POLR1D	NM_015972.3	100
POR	NM_000941.2	100
PVRL1	NM_002855.4	100
RAB23	NM_183227.2	100
RUNX2	NM_001024630.3	100
SALL1	NM_002968.2	100
SEMA3E	NM_012431.2	100
SF3B4	NM_005850.4	100
SIX1	NM_005982.3	100
SIX5	NM_175875.4	100
SKI	NM_003036.3	100
SNRPB	NM_003091.3	100
TCF12	NM_207036.1	100
TCOF1	NM_001135243.1	100
TGDS	NM_014305.3	100
TP63	NM_003722.4	100
TWIST1	NM_000474.3	100
TXNL4A	NM_006701.3	100
ZIC1	NM_003412.3	100
