# Genepanel: PCD Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
2	26624783	26679579	NM_145038.3	0	+	DRC1	DRC1 (CCDC164)	ENSG00000157856	ENST00000288710	26624857	26679385	26624783,26637211,26644155,26647138,26652495,26653653,26654751,26663245,26667089,26667583,26671558,26672863,26673459,26676187,26677514,26677998,26679328	26625012,26637299,26644268,26647322,26652633,26653740,26654874,26663385,26667224,26667816,26671671,26672953,26673549,26676417,26677658,26678101,26679579	AR	Primær ciliær dyskinesi, 21
3	50378536	50383156	NM_015896.2	0	-	ZMYND10	ZMYND10	ENSG00000004838	ENST00000231749	50378840	50383010	50378536,50379004,50379240,50379445,50379827,50380348,50380548,50380737,50380993,50381164,50382554,50382918	50378916,50379130,50379362,50379571,50380000,50380449,50380637,50380875,50381047,50381281,50382663,50383156	AR	Primær ciliær dyskinesi, 22
3	180331795	180397283	NM_181426.1	0	-	CCDC39	CCDC39	ENSG00000145075	ENST00000442201	180332708	180397168	180331795,180334068,180334303,180334613,180337046,180337598,180349256,180359780,180361907,180364866,180365952,180369188,180369950,180372549,180377239,180377464,180378357,180379648,180381654,180397078	180332865,180334151,180334483,180334754,180337153,180337758,180349380,180359989,180362045,180365031,180366147,180369321,180370054,180372741,180377368,180377557,180378516,180379795,180381774,180397283	AR	Primær ciliær dyskinesi, 14
5	13690436	13944589	NM_001369.2	0	-	DNAH5	DNAH5	ENSG00000039139	ENST00000265104	13692092	13944547	13690436,13700748,13701392,13708231,13714513,13716595,13717423,13718990,13721108,13727615,13729547,13735239,13735926,13737360,13751186,13752242,13753341,13754311,13758954,13762830,13766084,13769068,13769609,13770857,13776547,13777310,13780937,13786287,13788824,13792102,13793623,13794044,13807699,13809152,13810167,13811755,13814713,13817656,13820454,13823371,13824307,13829618,13830134,13830705,13839464,13841014,13841800,13844945,13850760,13859560,13862656,13864505,13865776,13866328,13867882,13870875,13871672,13876792,13882836,13883012,13885097,13886072,13891084,13894758,13900314,13901360,13902161,13911494,13913851,13914628,13916456,13917251,13919284,13920588,13922215,13923388,13928202,13931218,13944490	13692244,13700980,13701545,13708444,13714729,13716799,13717629,13719210,13721354,13727765,13729669,13735430,13736041,13737604,13751369,13752398,13753658,13754447,13759092,13763010,13766288,13769245,13769724,13771089,13776815,13777464,13781068,13786460,13789023,13792326,13793837,13794167,13807834,13809295,13810369,13811932,13814955,13817803,13820608,13823479,13824442,13829813,13830322,13830884,13839637,13841239,13842013,13845102,13850924,13859714,13862856,13864746,13866015,13866391,13868101,13871111,13871874,13876926,13882924,13883203,13885337,13886238,13891230,13894930,13900521,13901682,13902247,13911602,13914067,13914751,13916564,13917365,13919461,13920726,13922437,13923549,13928287,13931353,13944589	AR	Primær ciliær dyskinesi, 3, med eller uten situs inversus
5	54526980	54529545	NM_021147.4	0	-	CCNO	CCNO	ENSG00000152669	ENST00000282572	54527202	54529351	54526980,54528188,54528970	54527688,54528374,54529545	AR	Primær ciliær dyskinesi, 29
6	43612766	43638748	NM_152732.4	0	+	RSPH9	RSPH9	ENSG00000172426	ENST00000372163	43612835	43638686	43612766,43618111,43623298,43624313,43638525	43613062,43618277,43623428,43624460,43638748	AR	Primær ciliær dyskinesi, 12
6	116937641	116954148	NM_001010892.2	0	+	RSPH4A	RSPH4A	ENSG00000111834	ENST00000229554	116937786	116953604	116937641,116943930,116948791,116950729,116951597,116953369	116938472,116944165,116949532,116950865,116951715,116954148	AR	Primær ciliær dyskinesi, 11
7	766337	826116	NM_017802.3	0	+	HEATR2	HEATR2	ENSG00000164818	ENST00000297440	766357	825290	766337,769299,780455,780983,794225,796418,801389,803442,810107,813684,814642,819589,825153	766952,769484,780580,781102,794458,796631,801533,803611,810255,813835,814799,819781,826116	AR	Primær ciliær dyskinesi, 18
7	21582832	21941186	NM_001277115.1	0	+	DNAH11	DNAH11	ENSG00000105877	ENST00000409508	21582863	21940872	21582832,21584623,21598419,21599220,21600688,21603803,21609686,21611423,21621522,21627681,21628129,21628825,21630535,21630802,21639404,21640293,21640627,21641013,21646043,21646264,21654731,21655826,21657236,21658717,21659573,21675488,21677228,21678556,21695449,21698415,21721163,21723401,21726716,21726999,21730382,21737692,21742327,21744051,21745077,21747316,21750170,21751329,21757392,21760342,21765428,21775257,21778318,21779188,21781544,21784055,21784487,21788197,21789295,21789839,21805045,21813383,21818575,21824044,21826241,21827018,21828858,21840754,21847500,21856084,21857834,21882161,21892084,21893932,21901470,21904152,21906087,21907476,21908481,21912891,21920319,21923908,21932042,21934240,21934501,21938953,21939597,21940624	21583214,21584767,21598616,21599410,21600788,21604015,21609917,21611591,21621639,21627819,21628254,21629021,21630640,21631195,21639737,21640548,21640797,21641236,21646160,21646351,21654890,21655910,21657395,21658840,21659696,21675713,21677320,21678683,21695599,21698649,21721295,21723562,21726873,21727145,21730499,21737831,21742420,21744246,21745155,21747453,21750321,21751478,21757543,21760474,21765602,21775462,21778484,21779291,21781784,21784217,21784681,21788360,21789419,21789982,21805207,21813617,21818722,21824158,21826385,21827201,21828960,21840893,21847667,21856320,21857957,21882366,21892249,21894073,21901641,21904275,21906281,21907625,21908609,21913119,21920511,21924028,21932285,21934423,21934617,21939066,21939738,21941186	AR	Primær ciliær dyskinesi, 7, med eller uten situs inversus
8	101170262	101254132	NM_172218.2	0	+	SPAG1	SPAG1	ENSG00000104450	ENST00000251809	101174508	101253250	101170262,101174506,101178041,101190043,101195602,101196183,101196855,101199347,101203617,101206339,101225317,101226046,101232506,101237400,101243383,101245638,101251467,101252630,101253118	101170346,101174648,101178201,101190169,101195664,101196290,101196961,101199478,101203724,101206496,101225656,101226146,101232659,101237567,101243516,101245765,101251632,101252999,101254132	AR	Primær ciliær dyskinesi, 28
