# Genepanel: Leber Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	10003485	10045556	NM_022787.3	0	+	NMNAT1	NMNAT1	ENSG00000173614	ENST00000377205	10032131	10042759	10003485,10032075,10035649,10041088,10042358	10003573,10032246,10035833,10041228,10045556	AR	Lebers kongenitale amaurose 9
1	68894506	68915642	NM_000329.2	0	-	RPE65	RPE65	ENSG00000116745	ENST00000262340	68895458	68915588	68894506,68896747,68896964,68897153,68903869,68904624,68904873,68905243,68906535,68910213,68910458,68912392,68914306,68915577	68895610,68896859,68897059,68897268,68903999,68904764,68905006,68905325,68906683,68910355,68910566,68912543,68914389,68915642	AR	Lebers kongenitale amaurose 2 / Retinitis pigmentosa 20
1	197237333	197447585	NM_201253.2	0	+	CRB1	CRB1	ENSG00000134376	ENST00000367400	197237542	197447009	197237333,197297551,197313410,197316469,197325960,197390129,197396583,197398578,197403835,197407676,197411295,197446793	197237612,197298133,197313606,197316609,197326143,197391086,197397131,197398744,197404742,197407805,197411422,197447585	AR	Lebers kongenitale amaurose 8 / Retinitis pigmentosa 12
1	211649863	211666259	NM_183059.2	0	-	RD3	RD3	ENSG00000198570	ENST00000367002	211652377	211654757	211649863,211654461,211665109	211652669,211654771,211666259	AR	Lebers kongenitale amaurose 12
2	233630511	233641275	NM_002242.4	0	-	KCNJ13	KCNJ13	ENSG00000115474	ENST00000233826	233632900	233636072	233630511,233635612,233641154	233633523,233636088,233641275	AR	Lebers kongenitale amaurose 16
3	121488609	121553926	NM_001023570.2	0	-	IQCB1	IQCB1 (NPHP5)	ENSG00000173226	ENST00000310864	121489191	121547807	121488609,121491403,121500589,121507130,121508919,121514303,121515964,121518042,121526190,121527762,121544897,121547316,121547707,121553237,121553812	121489421,121491560,121500721,121507279,121509062,121514413,121516074,121518221,121526290,121527856,121545027,121547479,121547819,121553326,121553926	AR	Senior-Løken syndrom 5 (kan manifestere seg som LCA)
4	155665122	155674271	NM_004744.4	0	+	LRAT	LRAT	ENSG00000121207	ENST00000336356	155665478	155670288	155665122,155665477,155670135	155665374,155666018,155674271	AR	Lebers kongenitale amaurose 14
6	35465650	35480679	NM_003322.4	0	-	TULP1	TULP1	ENSG00000112041	ENST00000229771	35466103	35480635	35465650,35467757,35471335,35471513,35473517,35473779,35474050,35476985,35477410,35477603,35478637,35479424,35479956,35480415,35480588	35466237,35467929,35471434,35471625,35473630,35473950,35474056,35477089,35477527,35477705,35478787,35479583,35480047,35480467,35480679	AR	Lebers kongenitale amaurose 15 / Retinitis pigmentosa 14
6	42664332	42690358	NM_000322.4	0	-	PRPH2	PRPH2	ENSG00000112619	ENST00000230381	42666032	42690072	42664332,42672102,42689491	42666245,42672349,42690358	AR	Lebers kongenitale amaurose 18
6	80194707	80247147	NM_181714.3	0	-	LCA5	LCA5	ENSG00000135338	ENST00000392959	80196720	80228611	80194707,80198800,80201304,80202267,80203329,80222928,80228421,80234880,80246832	80197583,80198933,80201447,80202364,80203467,80223458,80228802,80234986,80247147	AR	Lebers kongenitale amaurose 5
7	128032330	128050036	NM_000883.3	0	-	IMPDH1	IMPDH1	ENSG00000106348	ENST00000338791	128033060	128049955	128032330,128034331,128034509,128034942,128035184,128036653,128036985,128038467,128040148,128040386,128040870,128041068,128043759,128045820,128049342,128049494,128049809	128033082,128034415,128034653,128035087,128035328,128036749,128037076,128038667,128040236,128040593,128040945,128041170,128043808,128045919,128049406,128049538,128050036	AR / AD	Lebers kongenitale amaurose 11 / Retinitis Pigmentosa 10
11	67222817	67229245	NM_145200.3	0	+	CABP4	CABP4	ENSG00000175544	ENST00000325656	67222894	67226130	67222817,67223658,67223769,67225043,67225841,67226101	67223260,67223689,67223913,67225153,67225989,67229245	AR	Congenital stationary night blindness
12	88442789	88535993	NM_025114.3	0	-	CEP290	CEP290 (NPHP6)*	ENSG00000198707	ENST00000552810	88442960	88535084	88442789,88444130,88447428,88448116,88449352,88452624,88453674,88454606,88456468,88457757,88462298,88465070,88465557,88470998,88471473,88472868,88473958,88476807,88477623,88478362,88479815,88480167,88481556,88482808,88484504,88486457,88487546,88490664,88496614,88500451,88500772,88502842,88504978,88505470,88508196,88508874,88510809,88512259,88512419,88513890,88514773,88519022,88520092,88522722,88523470,88524044,88524321,88524941,88530419,88532921,88533271,88534732,88534982,88535676	88443191,88444210,88447523,88448190,88449494,88452797,88453797,88454771,88456555,88457892,88462422,88465226,88465703,88471121,88471695,88473006,88474172,88477007,88477731,88478629,88479950,88480275,88481721,88483264,88484616,88486609,88487752,88490776,88496788,88500682,88500875,88502958,88505128,88505635,88508339,88508959,88510922,88512347,88512520,88514053,88514943,88519146,88520215,88522812,88523653,88524197,88524342,88524995,88530563,88532968,88533341,88534810,88535111,88535993	AR	Lebers kongenitale amaurose 10
14	21756135	21819460	NM_020366.3	0	+	RPGRIP1	RPGRIP1	ENSG00000092200	ENST00000400017	21756135	21819375	21756135,21762835,21769124,21770646,21771489,21775889,21778742,21779982,21780591,21785854,21788175,21789417,21790012,21792776,21793390,21793989,21795781,21796582,21798407,21802763,21811194,21813271,21816330,21819262	21756220,21762968,21769396,21770743,21771702,21775995,21778766,21780129,21780665,21786009,21788336,21789561,21790163,21793229,21793542,21794332,21795966,21796786,21798546,21802864,21811387,21813356,21816461,21819460	AR	Lebers kongenitale amaurose 6 / Cone-Rod Dystrophy 13
14	68168602	68201168	NM_152443.2	0	+	RDH12	RDH12	ENSG00000139988	ENST00000551171	68189359	68200565	68168602,68187564,68189140,68191189,68191815,68192767,68193697,68195907,68200462	68168652,68187619,68189427,68191308,68191971,68192872,68193907,68196097,68201168	AR	Lebers kongenitale amaurose 13
