# Genepanel: CDG1 Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	20978259	20988037	NM_005216.4	0	-	DDOST	DDOST	ENSG00000244038	ENST00000375048	20978871	20987894	20978259,20979113,20979343,20980119,20980715,20981106,20981932,20982168,20982593,20987373,20987689	20979021,20979220,20979464,20980267,20980864,20981200,20982027,20982272,20982680,20987484,20988037	AR	Medfødte glykosyleringsdefekter type 1r
1	26758772	26797795	NM_024887.3	0	+	DHDDS	DHDDS	ENSG00000117682	ENST00000360009	26759436	26795622	26758772,26759381,26764658,26769221,26772806,26774049,26784281,26786527,26795382	26758867,26759499,26764775,26769364,26772923,26774151,26784396,26786635,26797795	AR	Retinitis pigmentosa 59
1	63833260	63904233	NM_013339.3	0	+	ALG6	ALG6	ENSG00000088035	ENST00000371108	63836648	63902691	63833260,63836441,63862183,63867924,63870123,63871987,63872732,63876816,63877596,63879731,63881543,63885040,63894403,63894598,63902493	63833358,63836730,63862268,63868014,63870212,63872070,63872797,63877002,63877732,63879817,63881628,63885111,63894472,63894797,63904233	AR	Medfødte glykosyleringsdefekter type 1c
1	64058946	64125916	NM_002633.2	0	+	PGM1	PGM1	ENSG00000079739	ENST00000371084	64059159	64125346	64058946,64095095,64095612,64097327,64100499,64101904,64104355,64114187,64117339,64120002,64125256	64059405,64095258,64095759,64097453,64100690,64102059,64104471,64114323,64117523,64120137,64125916	AR	Medfødte glykosyleringsdefekter type 1t
1	155112366	155112883	NM_018973.3	0	-	DPM3	DPM3	ENSG00000179085	ENST00000368399	155112437	155112806	155112366	155112883	AR	Medfødte glykosyleringsdefekter type 1o
3	31573992	31679114	NM_178862.2	0	+	STT3B	STT3B	ENSG00000163527	ENST00000295770	31574490	31677556	31573992,31617887,31621300,31638289,31641851,31656596,31658420,31659431,31661167,31663588,31665165,31666405,31667445,31670789,31674426,31677475	31574804,31617996,31621588,31638355,31641951,31656695,31658567,31659480,31661322,31663800,31665353,31666577,31667619,31670903,31674639,31679114	AR	Medfødte glykosyleringsdefekter type 1x
3	53122500	53164470	NM_052859.3	0	-	RFT1	RFT1	ENSG00000163933	ENST00000296292	53125918	53164416	53122500,53126384,53133396,53137968,53139688,53140834,53145845,53153899,53155714,53156389,53157739,53159924,53164353	53126086,53126634,53133502,53138113,53139819,53140885,53145924,53154037,53155816,53156579,53157856,53160010,53164470	AR	Medfødte glykosyleringsdefekter type 1n
3	183960116	183966759	NM_005787.5	0	-	ALG3	ALG3	ENSG00000214160	ENST00000397676	183960301	183966728	183960116,183960600,183961341,183961578,183962388,183962985,183963255,183963500,183966532	183960464,183960745,183961418,183961784,183962509,183963146,183963403,183963600,183966759	AR	Medfødte glykosyleringsdefekter type 1d
4	56212387	56239266	NM_024592.4	0	+	SRD5A3	SRD5A3	ENSG00000128039	ENST00000264228	56212503	56236258	56212387,56225512,56230240,56233754,56235998	56212724,56225655,56230438,56233889,56239266	AR	Medfødte glykosyleringsdefekter type 1q /Kahrizi syndrom
8	15397595	15624158	NM_006765.3	0	+	TUSC3	TUSC3	ENSG00000104723	ENST00000503731	15397939	15615318	15397595,15480588,15508205,15517015,15519664,15531255,15588174,15601046,15605883,15615299,15621711	15398077,15480758,15508323,15517156,15519805,15531345,15588238,15601121,15605974,15615364,15624158	AR	Autosomal recessiv mental retardasjon 7
