# Genepanel: CortikalMalf Version: 02 Date: 2016-06-22 Post-processed: 2016-06-30 Genes removed: 2016-10-24
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
7	5566778	5570232	NM_001101.3	0	-	ACTB		ENSG00000075624	ENST00000331789	5567378	5569288	5566778,5567634,5567911,5568791,5569165,5570154	5567522,5567816,5568350,5569031,5569294,5570232
17	79476996	79479892	NM_001614.3	0	-	ACTG1		ENSG00000184009	ENST00000331925	79477715	79479380	79476996,79477952,79478213,79478928,79479257,79479759	79477859,79478134,79478652,79479168,79479386,79479892
14	105235686	105259938	NM_005163.2	0	-	AKT1	RAC,PKB,PRKBA,AKT	ENSG00000142208	ENST00000555528	105236677	105258980	105235686,105237081,105238701,105239214,105239587,105239791,105240248,105241274,105241412,105241988,105242995,105246424,105258934,105259463	105236757,105237184,105238789,105239429,105239716,105239917,105240317,105241340,105241544,105242136,105243107,105246553,105259059,105259938
1	243663020	244006584	NM_005465.4	0	-	AKT3	PKBG,RAC-gamma,PRKBG	ENSG00000117020	ENST00000263826	243668550	244006472	243663020,243675625,243708811,243716030,243727021,243736227,243776972,243778397,243800912,243809194,243828073,243858892,244006426	243668636,243675728,243708899,243716245,243727150,243736350,243777041,243778463,243801044,243809339,243828185,243859018,244006584
1	110162434	110174677	NM_001257360.1	0	+	AMPD2	SPG63	ENSG00000116337	ENST00000528667	110163635	110173774	110162434,110163535,110167924,110168283,110168781,110168940,110169347,110169796,110170050,110170395,110170704,110170985,110171264,110171730,110171948,110172417,110172854,110173304,110173564	110162900,110163888,110168055,110168414,110168850,110169049,110169534,110169938,110170140,110170525,110170899,110171117,110171428,110171857,110172112,110172538,110173028,110173415,110174677
X	15843928	15873137	NM_003916.4	0	-	AP1S2	SIGMA1B	ENSG00000182287	ENST00000329235	15845447	15870647	15843928,15863501,15864025,15870468,15872810	15845495,15863639,15864134,15870647,15873137
20	47538274	47653230	NM_006420.2	0	+	ARFGEF2	BIG2	ENSG00000124198	ENST00000371917	47538426	47649736	47538274,47557735,47558400,47567859,47569241,47570092,47580366,47582408,47585683,47587656,47588862,47589681,47591302,47592552,47601265,47601944,47604840,47605027,47605821,47606092,47607576,47610987,47612319,47614729,47614872,47621606,47626768,47628460,47630100,47630367,47632816,47633785,47634032,47635420,47639587,47641849,47645066,47648585,47649559	47538547,47557766,47558524,47568006,47569421,47570327,47580435,47582560,47585814,47587891,47588962,47589821,47591411,47592736,47601377,47602150,47604925,47605199,47605973,47606221,47607735,47611135,47612419,47614770,47615042,47621758,47626941,47628621,47630231,47630497,47632952,47633924,47634087,47635535,47639718,47642018,47645205,47648703,47653230
X	25021812	25034065	NM_139058.2	0	-	ARX	ISSX,CT121,EIEE1	ENSG00000004848	ENST00000379044	25022786	25033854	25021812,25025227,25028376,25031038,25033658	25023027,25025556,25028422,25031915,25034065
7	97481428	97501477	NM_133436.3	0	-	ASNS		ENSG00000070669	ENST00000394309	97481570	97498468	97481428,97482371,97482616,97483891,97484664,97486001,97487589,97488165,97488524,97493570,97498219,97499089,97501030	97481780,97482527,97482698,97483992,97484771,97486128,97487717,97488267,97488710,97493808,97498491,97499125,97501477
1	197053256	197115824	NM_018136.4	0	-	ASPM	Calmbp1,ASP,FLJ10517,FLJ10549	ENSG00000066279	ENST00000367409	197053453	197115567	197053256,197055932,197057385,197059059,197059325,197059979,197061036,197062181,197063213,197065127,197069560,197086918,197091044,197091288,197091517,197093239,197093999,197094175,197097619,197098316,197099044,197101414,197102479,197104225,197108896,197111460,197113086,197115270	197053556,197056102,197057562,197059214,197059518,197060171,197061186,197062391,197063310,197065294,197074315,197087113,197091173,197091431,197091725,197093461,197094085,197094321,197097795,197098447,197099186,197101482,197102725,197104372,197109001,197112940,197113230,197115824
20	30946146	31027122	NM_015338.5	0	+	ASXL1	KIAA0978	ENSG00000171456	ENST00000375687	30946578	31025141	30946146,30954186,30956814,31015930,31016127,31017140,31017703,31019123,31019385,31020682,31021086,31022234	30946635,30954269,30956926,31016051,31016225,31017234,31017856,31019287,31019482,31020788,31021720,31027122
12	124196864	124246301	NM_012463.3	0	+	ATP6V0A2	TJ6,a2,TJ6s,TJ6M,ATP6a2,J6B7,ATP6N1D,Vph1,Stv1	ENSG00000185344	ENST00000330342	124197112	124242579	124196864,124203169,124206897,124209200,124210743,124212329,124218472,124220077,124221605,124228331,124228747,124229143,124229428,124232153,124233121,124235656,124236829,124238966,124241361,124242473	124197229,124203248,124206995,124209338,124210832,124212456,124218555,124220171,124221818,124228482,124228884,124229331,124229519,124232272,124233332,124235776,124236949,124239084,124241533,124246301
3	142168076	142297668	NM_001184.3	0	-	ATR	FRP1,SCKL,SCKL1,MEC1	ENSG00000175054	ENST00000350721	142168270	142297546	142168076,142171969,142176445,142177799,142178068,142180781,142183938,142185165,142186775,142188178,142188927,142203981,142211973,142215202,142215854,142217438,142218468,142222203,142223980,142226772,142231101,142232342,142234236,142238510,142241569,142242834,142253921,142254949,142257323,142259745,142261506,142266566,142268320,142268973,142272068,142272481,142272666,142274718,142275224,142277465,142278092,142279104,142280084,142281073,142284962,142286904,142297487	142168444,142172075,142176597,142177953,142178225,142180932,142184082,142185375,142186910,142188411,142189025,142204124,142212153,142215362,142216034,142217616,142218560,142222295,142224145,142226951,142231312,142232480,142234357,142238626,142241683,142243041,142254047,142255043,142257467,142259876,142261599,142266752,142268515,142269144,142272240,142272582,142272857,142274981,142275417,142277618,142278283,142279296,142280263,142281951,142285103,142286996,142297668
1	235610504	235667781	NM_152490.4	0	-	B3GALNT2	MGC39558	ENSG00000162885	ENST00000366600	235613520	235667552	235610504,235616401,235617467,235618870,235621910,235628952,235634163,235643369,235647637,235652472,235657990,235667440	235613655,235616458,235617627,235618996,235622094,235629031,235634274,235643465,235647831,235652573,235658138,235667781
11	66112842	66115161	NM_006876.2	0	-	B3GNT1		ENSG00000174684	ENST00000311181	66113519	66115016	66112842,66113960	66113711,66115161
15	40886446	40954881	NM_170589.4	0	+	CASC5		ENSG00000137812	ENST00000399668	40895129	40954386	40886446,40895112,40897307,40898590,40901044,40902442,40902996,40903675,40907538,40911156,40912837,40920267,40920808,40921470,40933109,40937194,40937853,40939184,40942498,40942741,40943668,40944202,40947106,40949239,40949552,40951536,40954271	40886590,40895164,40897347,40898650,40901106,40902495,40903074,40903709,40907576,40911209,40917838,40920406,40920876,40921569,40933225,40937285,40937970,40939272,40942576,40942781,40943770,40944303,40947175,40949349,40949671,40951659,40954881
X	41374188	41782287	NM_003688.3	0	-	CASK	LIN2,CAGH39,FGS4	ENSG00000147044	ENST00000378166	41379672	41782241	41374188,41383203,41390259,41393958,41394145,41401943,41412971,41414852,41416284,41419031,41420811,41428920,41437592,41446159,41448767,41469156,41481869,41485856,41495830,41519691,41524529,41530680,41598636,41604776,41646430,41712367,41782182	41379849,41383287,41390462,41394039,41394211,41402059,41413168,41414888,41416353,41419100,41420897,41428999,41437781,41446240,41448845,41469278,41481887,41485956,41495914,41519814,41524705,41530783,41598709,41604854,41646536,41712480,41782287
X	49091926	49106987	NM_014008.4	0	+	CCDC22	JM1	ENSG00000101997	ENST00000376227	49092096	49106722	49091926,49093552,49098481,49099351,49099583,49099749,49103191,49103956,49104109,49104651,49104867,49105093,49105277,49105627,49105969,49106111,49106608	49092146,49093730,49098614,49099458,49099650,49099928,49103386,49104019,49104229,49104771,49104984,49105195,49105385,49105723,49106029,49106186,49106987
12	4382901	4414522	NM_001759.3	0	+	CCND2		ENSG00000118971	ENST00000261254	4383206	4409175	4382901,4385170,4387925,4398007,4409025	4383401,4385386,4388085,4398156,4414522
7	150750898	150755052	NM_004935.3	0	-	CDK5	PSSALRE	ENSG00000164885	ENST00000485972	150751095	150754935	150750898,150751298,150751491,150752113,150752363,150752618,150752839,150753666,150753822,150753994,150754158,150754898	150751182,150751379,150751552,150752183,150752460,150752693,150752935,150753723,150753883,150754062,150754247,150755052
9	123151146	123342448	NM_018249.5	0	-	CDK5RAP2	C48,FLJ10867,CEP215	ENSG00000136861	ENST00000349780	123151513	123342256	123151146,123152018,123156789,123163019,123165083,123166313,123169289,123170624,123171404,123173635,123177317,123182065,123184970,123199572,123201676,123205897,123210172,123215733,123220727,123222849,123230137,123232388,123234025,123239627,123249571,123253584,123280704,123287263,123290083,123291021,123292255,123298649,123301318,123307991,123313069,123330598,123334251,123342197	123151570,123152065,123156916,123163163,123165349,123166391,123169526,123170746,123171594,123173752,123177437,123182238,123185019,123199805,123202250,123206020,123210404,123216151,123220900,123222945,123230275,123232498,123234156,123239728,123249715,123253755,123280923,123287356,123290203,123291075,123292418,123298804,123301442,123308068,123313180,123330666,123334319,123342448
13	25456411	25497027	NM_018451.4	0	-	CENPJ	CPAP,BM032,LAP,LIP1,Sas-4,SASS4,SCKL4	ENSG00000151849	ENST00000381884	25457314	25487163	25456411,25458100,25458298,25458460,25459413,25459743,25463453,25466780,25473556,25478063,25479483,25481228,25482155,25483927,25486083,25486719,25496898	25457507,25458221,25458383,25458601,25459524,25459808,25463538,25467005,25473722,25478196,25481098,25481331,25482264,25484224,25486207,25487229,25497027
15	49030134	49103343	NM_014985.3	0	-	CEP152	KIAA0912,SCKL5,MCPH9	ENSG00000103995	ENST00000380950	49030445	49097846	49030134,49033797,49034143,49036436,49037092,49044545,49048099,49052331,49054587,49059256,49059531,49060415,49061152,49064683,49073392,49074335,49076169,49080997,49083433,49085517,49088206,49089497,49089857,49090144,49097759,49103157	49031485,49033901,49034297,49036540,49037189,49044666,49048750,49052463,49054869,49059389,49059660,49060525,49061278,49064888,49073556,49074427,49076317,49081198,49083573,49085658,49088357,49089776,49089927,49090248,49097853,49103343
16	89710838	89724193	NM_002768.4	0	-	CHMP1A	KIAA0047,CHMP1,Vps46A	ENSG00000131165	ENST00000397901	89712473	89723996	89710838,89712934,89713610,89715758,89717976,89720311,89723989	89712495,89713122,89713739,89715905,89718054,89720331,89724193
11	57425215	57429337	NM_006831.2	0	+	CLP1	HEAB,hClp1	ENSG00000172409	ENST00000302731	57426948	57428908	57425215,57426926,57428236	57425332,57427554,57429337
