# Genepanel: KFM Version: 01 Date: 2016-03-29 Post-processed: 2016-06-27
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds
20	30946146	31027122	NM_015338.5	0	+	ASXL1	KIAA0978	ENSG00000171456	ENST00000375687	30946578	31025141	30946146,30954186,30956814,31015930,31016127,31017140,31017703,31019123,31019385,31020682,31021086,31022234	30946635,30954269,30956926,31016051,31016225,31017234,31017856,31019287,31019482,31020788,31021720,31027122
14	54416454	54423554	NM_001202.3	0	-	BMP4		ENSG00000125378	ENST00000245451	54416749	54418940	54416454,54418570,54419993,54423267	54417606,54418947,54420118,54423554
22	19467348	19508135	NM_001178010.2	0	+	CDC45		ENSG00000093009	ENST00000437685	19467491	19506431	19467348,19467680,19468475,19470212,19471384,19481849,19482029,19483503,19484908,19486623,19492884,19494908,19495288,19496052,19502271,19502487,19504049,19504339,19506366,19508003	19467542,19467740,19468568,19470350,19471528,19481905,19482125,19483552,19484970,19486674,19493004,19495040,19495387,19496214,19502410,19502571,19504168,19504416,19506432,19508135
8	61591323	61780586	NM_017780.3	0	+	CHD7	KIAA1416,FLJ20357,FLJ20361	ENSG00000171316	ENST00000423902	61653991	61778492	61591323,61653817,61693558,61707544,61712946,61714086,61720775,61728945,61732565,61734348,61734582,61735061,61736398,61741221,61742880,61748631,61749375,61750226,61750634,61754202,61754405,61757422,61757808,61761073,61761609,61763051,61763590,61763820,61764577,61765056,61765387,61766921,61768533,61769003,61773462,61774754,61775106,61777574	61591641,61655656,61693989,61707686,61713084,61714152,61720831,61729060,61732649,61734486,61734704,61735305,61736575,61741365,61743136,61748842,61749571,61750394,61750814,61754313,61754611,61757622,61757968,61761163,61761713,61763181,61763663,61763878,61764806,61765265,61766059,61767082,61768761,61769447,61773684,61774895,61775211,61780586
1	103342022	103574052	NM_001854.3	0	-	COL11A1	STL2,CO11A1	ENSG00000060718	ENST00000370096	103343574	103573734	103342022,103345238,103347252,103348754,103352362,103354132,103354278,103354421,103355010,103356006,103363680,103364221,103364496,103377714,103379192,103379907,103380259,103381186,103385866,103387073,103388891,103400004,103400615,103404590,103405882,103412404,103427421,103427731,103428208,103431042,103435774,103440385,103444263,103444415,103444615,103444937,103449693,103453188,103455073,103461419,103461544,103462635,103463865,103467480,103467983,103468302,103468770,103469999,103470163,103471393,103471623,103471817,103474018,103477968,103480066,103481223,103483375,103484373,103487262,103488297,103491076,103491771,103496671,103540173,103544213,103548360,103573628	103343721,103345472,103347321,103348867,103352612,103354186,103354314,103354475,103355118,103356060,103363734,103364329,103364550,103377768,103379246,103379961,103380367,103381240,103385920,103387127,103388945,103400112,103400669,103404644,103405990,103412512,103427475,103427821,103428316,103431096,103435828,103440439,103444308,103444469,103444660,103444991,103449747,103453296,103455127,103461464,103461598,103462680,103463919,103467525,103468037,103468347,103468824,103470044,103470217,103471447,103471677,103471871,103474072,103478025,103480150,103481298,103483438,103484415,103487325,103488552,103491169,103491888,103496800,103540336,103544427,103548528,103574052
6	33130468	33160245	NM_080680.2	0	-	COL11A2	HKE5	ENSG00000204248	ENST00000341947	33131454	33160017	33130468,33132043,33132628,33133325,33133707,33133947,33134289,33134496,33134846,33135040,33135202,33135575,33136295,33136482,33136731,33137159,33137607,33137823,33138102,33138333,33138586,33138890,33139047,33139243,33139489,33139826,33140065,33140306,33140836,33141124,33141278,33141477,33141649,33141787,33141941,33142303,33143350,33143792,33144035,33144209,33144497,33144768,33144957,33145188,33145438,33145908,33146084,33146211,33146455,33146696,33146849,33147007,33147207,33147495,33148034,33148444,33148740,33148887,33151921,33152768,33153477,33154403,33156138,33156754,33157096,33159935	33131595,33132250,33132741,33133593,33133761,33133983,33134343,33134604,33134900,33135094,33135310,33135629,33136349,33136536,33136785,33137267,33137661,33137877,33138156,33138387,33138694,33138944,33139101,33139351,33139597,33139880,33140155,33140414,33140890,33141178,33141332,33141522,33141703,33141832,33141995,33142357,33143458,33143846,33144080,33144263,33144542,33144822,33145002,33145242,33145483,33145962,33146129,33146265,33146509,33146750,33146903,33147061,33147264,33147582,33148109,33148507,33148782,33148947,33152101,33152831,33153555,33154595,33156301,33156965,33157246,33160245
12	48366747	48398285	NM_001844.4	0	-	COL2A1	STL1	ENSG00000139219	ENST00000380518	48367189	48398104	48366747,48367871,48368457,48369099,48369745,48370296,48370594,48370884,48371102,48371382,48371792,48372073,48372379,48373293,48373791,48374336,48374697,48375125,48375558,48375889,48376284,48376630,48376875,48377167,48377465,48377869,48378328,48378777,48379316,48379510,48379694,48380118,48380617,48380860,48381051,48381393,48383010,48383543,48386660,48387240,48387591,48387776,48388206,48389037,48389492,48389657,48390330,48391388,48391653,48391814,48391951,48392197,48393701,48398019	48367336,48368114,48368645,48369388,48369853,48370350,48370702,48370938,48371210,48371436,48371900,48372181,48372541,48373347,48373845,48374444,48374751,48375179,48375612,48375943,48376392,48376729,48376920,48377221,48377519,48377923,48378382,48378876,48379370,48379609,48379748,48380226,48380671,48380959,48381096,48381492,48383064,48383588,48386714,48387285,48387645,48387830,48388260,48389091,48389546,48389702,48390408,48391490,48391707,48391847,48391984,48392214,48393908,48398285
6	70925742	71012786	NM_001851.4	0	-	COL9A1		ENSG00000112280	ENST00000357250	70926599	71012627	70925742,70935634,70942285,70944241,70944496,70948956,70950391,70951121,70951666,70952364,70961822,70961964,70963087,70964178,70964665,70964852,70965039,70966470,70970359,70972946,70976419,70978506,70979335,70980016,70981357,70981767,70983749,70984421,70990514,70990706,70991092,70992600,70993439,71003869,71009745,71010011,71011703,71012613	70926784,70935712,70942474,70944296,70944643,70948989,70950436,70951157,70951738,70952418,70961876,70962018,70963132,70964232,70964719,70964906,70965093,70966524,70970413,70973000,70976473,70978563,70979368,70980070,70981411,70981791,70983785,70984475,70990577,70990742,70991167,70992621,70993523,71004266,71009878,71010089,71011777,71012786
1	40766162	40782939	NM_001852.3	0	-	COL9A2	MED	ENSG00000049089	ENST00000372748	40766853	40782869	40766162,40767483,40768292,40768802,40769201,40769478,40769599,40769735,40769991,40770147,40770465,40771386,40771814,40773117,40773374,40773863,40775609,40775782,40775935,40776385,40776764,40776901,40777171,40777333,40777730,40778127,40778245,40778402,40779876,40780023,40781261,40782794	40767053,40767561,40768481,40768857,40769348,40769511,40769644,40769771,40770063,40770201,40770519,40771440,40771859,40773171,40773428,40773917,40775663,40775836,40775989,40776439,40776818,40776958,40777219,40777387,40777784,40778151,40778281,40778456,40779939,40780059,40781336,40782939
2	3642421	3692234	NM_024027.4	0	+	COLEC11	MGC3279,CL-K1	ENSG00000118004	ENST00000349077	3651930	3691708	3642421,3651904,3660900,3685122,3687867,3691033,3691316	3642758,3652060,3660972,3685194,3687921,3691129,3692234
16	72042642	72059316	NM_001361.4	0	+	DHODH		ENSG00000102967	ENST00000219240	72042663	72058098	72042642,72045948,72048371,72050922,72055022,72056260,72057063,72057372,72058043	72042684,72046161,72048571,72051005,72055210,72056374,72057217,72057532,72059316
6	12290528	12297427	NM_001955.4	0	+	EDN1	ET1	ENSG00000078401	ENST00000379375	12290862	12296300	12290528,12292573,12294173,12294493,12296194	12290926,12292742,12294329,12294637,12297427
4	148402068	148466106	NM_001957.3	0	+	EDNRA		ENSG00000151617	ENST00000324300	148406833	148463770	148402068,148406763,148441002,148453657,148457028,148460968,148461528,148463629	148402528,148407253,148441130,148453856,148457181,148461102,148461637,148466106
X	68048839	68062006	NM_004429.4	0	+	EFNB1	LERK2,Elk-L	ENSG00000090776	ENST00000204961	68049619	68060497	68048839,68058459,68059506,68059802,68060084	68049747,68058737,68059599,68059931,68062006
17	42927654	42976993	NM_004247.3	0	-	EFTUD2	U5-116KD,Snrp116,Snu114,SNRNP116	ENSG00000108883	ENST00000426333	42928641	42971889	42927654,42929077,42929776,42930663,42930884,42931636,42931923,42932285,42934442,42936447,42937272,42937799,42940080,42941022,42942297,42945174,42945654,42949813,42953301,42956923,42957921,42959054,42960460,42961016,42962623,42963952,42971784,42976736	42928737,42929185,42929930,42930758,42931003,42931724,42932050,42932372,42934525,42936549,42937413,42937911,42940274,42941150,42942433,42945265,42945718,42949938,42953468,42957006,42958012,42959090,42960526,42961092,42962702,42964118,42971893,42976993
