# Mitokon_v02
#gene symbol	refseq	x10
SDHD	NM_003002.3	65.7
CISD2	NM_001008388.4	77.6
COX7B	NM_001866.2	84.7067
SDHA	NM_004168.3	86.0667
CHCHD10	NM_213720.2	90.3133
APTX	NM_175073.2	94.02
OAT	NM_000274.3	95.0867
SURF1	NM_003172.3	95.7867
NDUFAF2	NM_174889.4	95.9933
SLC25A15	NM_014252.3	96.1867
NDUFB11	NM_001135998.2	96.6333
TIMM8A	NM_004085.3	96.6867
SUCLA2	NM_003850.2	96.9867
NARS2	NM_024678.5	97.2
BOLA3	NM_212552.2	97.3267
MRPL3	NM_007208.3	97.7667
ACO2	NM_001098.2	97.9533
HSPA9	NM_004134.6	98.1
AFG3L2	NM_006796.2	98.4933
GLUD1	NM_005271.3	98.6467
TTC19	NM_017775.3	98.6667
MFF	NM_020194.5	98.74
ATP5A1	NM_001001937.1	98.8133
NDUFA10	NM_004544.3	99.0467
PDHA1	NM_000284.3	99.1933
PDSS1	NM_014317.3	99.1933
PITRM1	NM_014889.3	99.26
HSPD1	NM_002156.4	99.6
GLRX5	NM_016417.2	99.6467
WDR45	NM_007075.3	99.7333
POLG2	NM_007215.3	99.76
SLC25A1	NM_005984.4	99.7933
TK2	NM_004614.4	99.7933
PMPCA	NM_015160.2	99.8067
COX20	NM_198076.4	99.82
PDSS2	NM_020381.3	99.8533
HIBCH	NM_014362.3	99.92
PDPR	NM_017990.3	99.9267
ISCA2	NM_194279.3	99.9333
MTO1	NM_012123.3	99.9333
EPG5	NM_020964.2	99.9467
SLC25A19	NM_021734.4	99.9533
EARS2	NM_001083614.1	99.9667
IBA57	NM_001010867.2	99.9733
LRPPRC	NM_133259.3	99.9733
PNPLA6	NM_006702.4	99.98
RNASEH1	NM_002936.4	99.98
NFS1	NM_021100.4	99.9933
NNT	NM_012343.3	99.9933
AARS2	NM_020745.3	100
AARS	NM_001605.2	100
ABCB7	NM_004299.4	100
ACAD9	NM_014049.4	100
ADCK3	NM_020247.4	100
ADCK4	NM_024876.3	100
AGK	NM_018238.3	100
AIFM1	NM_004208.3	100
ANO10	NM_018075.3	100
APOPT1	NM_032374.4	100
ATP5E	NM_006886.3	100
ATPAF2	NM_145691.3	100
BCS1L	NM_004328.4	100
C10orf2	NM_021830.4	100
C12orf65	NM_152269.4	100
C19orf12	NM_001031726.3	100
CA5A	NM_001739.1	100
CARS2	NM_024537.2	100
CEP89	NM_032816.4	100
CHKB	NM_005198.4	100
CLPB	NM_001258394.1	100
CLPP	NM_006012.2	100
COA3	NM_001040431.2	100
COA5	NM_001008215.2	100
COA6	NM_001206641.2	100
COASY	NM_025233.6	100
COQ2	NM_015697.7	100
COQ4	NM_016035.3	100
COQ6	NM_182476.2	100
COQ9	NM_020312.3	100
COX10	NM_001303.3	100
COX14	NM_032901.3	100
COX15	NM_004376.5	100
COX4I2	NM_032609.2	100
COX6A1	NM_004373.3	100
COX6B1	NM_001863.4	100
COX8A	NM_004074.2	100
CYC1	NM_001916.4	100
DARS2	NM_018122.4	100
DARS	NM_001349.3	100
DCAF17	NM_025000.3	100
DGUOK	NM_080916.2	100
DHTKD1	NM_018706.6	100
DLAT	NM_001931.4	100
DLD	NM_000108.4	100
DNA2	NM_001080449.2	100
DNAJC19	NM_145261.3	100
DNM1L	NM_012062.4	100
ECHS1	NM_004092.3	100
ELAC2	NM_018127.6	100
ETHE1	NM_014297.3	100
FARS2	NM_006567.3	100
FASTKD2	NM_014929.3	100
FBXL4	NM_012160.4	100
FDX1L	NM_001031734.3	100
FOXRED1	NM_017547.3	100
FTL	NM_000146.3	100
GARS	NM_002047.2	100
GDAP1	NM_018972.2	100
GFER	NM_005262.2	100
GFM1	NM_024996.5	100
GFM2	NM_032380.4	100
GTPBP3	NM_133644.3	100
HARS2	NM_012208.3	100
HCCS	NM_005333.4	100
