# Genepanel: BB Version: 02 Date: 2015-03-17
#chromosome	txStart	txEnd	refseq	score	strand	geneSymbol	geneAlias	eGeneID	eTranscriptID	cdsStart	cdsEnd	exonsStarts	exonEnds	inheritance	disease
1	32665986	32670991	NM_024296.4	0	+	CCDC28B	CCDC28B	ENSG00000160050	ENST00000373602	32667536	32670849	32665986,32667513,32669479,32669786,32670198,32670794	32666310,32667700,32669646,32669980,32670221,32670991	Modifiserende faktor	{BB syndrom, modifiserende faktor}
1	243419306	243663393	NM_006642.3	0	+	SDCCAG8	SDCCAG8	ENSG00000054282	ENST00000366541	243419475	243663087	243419306,243433406,243434279,243437844,243449573,243456392,243468014,243471290,243480056,243493841,243504340,243507516,243542022,243579003,243581269,243589728,243652315,243663057	243419542,243433559,243434365,243437958,243449699,243456521,243468079,243471479,243480195,243493994,243504475,243507633,243542165,243579131,243581378,243589860,243652442,243663393	AR	BB syndrom 16
2	63348534	63815867	NM_015910.5	0	-	WDPCP	WDPCP (C2orf86)	ENSG00000143951	ENST00000272321	63349140	63815405	63348534,63380048,63380629,63401804,63486441,63540382,63605520,63609040,63631182,63660878,63664554,63666890,63711737,63712050,63713675,63714580,63719989,63815330	63349191,63380080,63380709,63401967,63486544,63540446,63605644,63609229,63631792,63661070,63664688,63667005,63711797,63712121,63713720,63714628,63720074,63815867	AR	BB syndrom 15
2	73612885	73837046	NM_015120.4	0	+	ALMS1	ALMS1	ENSG00000116127	ENST00000264448	73612996	73836739	73612885,73635749,73646250,73649984,73651557,73653580,73659325,73675089,73682288,73716760,73746901,73761950,73777393,73784346,73786098,73799388,73826527,73827804,73828321,73829311,73830367,73835601,73836694	73613320,73635875,73646446,73650102,73652030,73653681,73659419,73681194,73682422,73718625,73747143,73762076,73777564,73784481,73786269,73800551,73826648,73828008,73828563,73829495,73830431,73835701,73837046	AR	Alstrom syndrom
2	170336005	170363165	NM_152384.2	0	+	BBS5	BBS5	ENSG00000163093	ENST00000295240	170336063	170361092	170336005,170338760,170343578,170344315,170344496,170349383,170350250,170354136,170355995,170359604,170360812,170360990	170336122,170338843,170343644,170344365,170344624,170349519,170350346,170354199,170356130,170359688,170360836,170363165	AR	BB syndrom 5
3	45864809	45883650	NM_020347.3	0	-	LZTFL1	LZTFL1	ENSG00000163818	ENST00000296135	45867805	45883483	45864809,45868847,45869930,45872404,45872564,45874541,45875729,45877081,45879418,45883480	45867824,45868951,45870107,45872482,45872630,45874613,45875790,45877276,45879543,45883650	AR	BB syndrom
3	97483364	97517379	NM_177976.2	0	+	ARL6	ARL6	ENSG00000113966	ENST00000394206	97486951	97516893	97483364,97485475,97486924,97499002,97499458,97503798,97506833,97510614,97516867	97483821,97485534,97487074,97499064,97499527,97503893,97506963,97510670,97517379	AR	BB syndrom 3 / {BB syndrom 1, modifiserende faktor}
4	122745483	122791652	NM_176824.2	0	-	BBS7	BBS7	ENSG00000138686	ENST00000264499	122747014	122791468	122745483,122749300,122749556,122749773,122754385,122756298,122760785,122765081,122766658,122768558,122769998,122774110,122775858,122776643,122780146,122782658,122784371,122789135,122791432	122747148,122749424,122749660,122749883,122754550,122756438,122760851,122765156,122766851,122768661,122770083,122774241,122775975,122776716,122780333,122782834,122784434,122789201,122791652	AR	BB syndrom 7
4	123653856	123666098	NM_152618.2	0	+	BBS12	BBS12	ENSG00000181004	ENST00000314218	123663047	123665180	123653856,123663037	123654039,123666098	AR	BB syndrom 12
7	33169151	33645680	NM_198428.2	0	+	BBS9	BBS9	ENSG00000122507	ENST00000242067	33185864	33644838	33169151,33185853,33192312,33195249,33217089,33296847,33303901,33312623,33313438,33376052,33380508,33384192,33388679,33390830,33392470,33397466,33407378,33423277,33427603,33545074,33573565,33644476,33644806	33169653,33185976,33192463,33195314,33217203,33297022,33303986,33312807,33313568,33376234,33380585,33384246,33388782,33390935,33392485,33397607,33407474,33423450,33427756,33545257,33573788,33644587,33645680	AR	BB syndrom 9
8	94767071	94830347	NM_153704.5	0	+	TMEM67	TMEM67 (MKS3)	ENSG00000164953	ENST00000453321	94767142	94828680	94767071,94768005,94770710,94776069,94777633,94777799,94784816,94792820,94793101,94793885,94794622,94797449,94798450,94800071,94803490,94805425,94807636,94808128,94809361,94809558,94811845,94815831,94816989,94821067,94821284,94822012,94827532,94828599	94767365,94768094,94770804,94776169,94777703,94777874,94784879,94792975,94793210,94793972,94794688,94797606,94798574,94800177,94803547,94805524,94807735,94808215,94809461,94809698,94811986,94815912,94817106,94821184,94821389,94822115,94827675,94830347	AR	{BB syndrom 14, modifiserende faktor}
9	119449580	119463579	NM_012210.3	0	+	TRIM32	TRIM32	ENSG00000119401	ENST00000450136	119460021	119461983	119449580,119459940	119449660,119463579	AR	BB syndrom 11
10	112658487	112678694	NM_001195306.1	0	-	BBIP1	BBIP1	ENSG00000214413	ENST00000448814	112660117	112677915	112658487,112661295,112677878,112678602	112660284,112661370,112677971,112678694	AR	Bardet-Biedl
11	66278118	66301084	NM_024649.4	0	+	BBS1	BBS1	ENSG00000174483	ENST00000318312	66278130	66299508	66278118,66278483,66278675,66281876,66283010,66283163,66283331,66287087,66288740,66290926,66291194,66293593,66294119,66297289,66298364,66299126,66299421	66278177,66278560,66278710,66282149,66283057,66283202,66283404,66287219,66288847,66291047,66291353,66293663,66294278,66297423,66298499,66299213,66301084	AR	BB syndrom 1
12	76738265	76742222	NM_024685.3	0	-	BBS10	BBS10	ENSG00000179941	ENST00000393262	76739592	76742138	76738265,76741941	76741567,76742222	AR	BB syndrom 10
