# BevegForst_v01draft
#gene symbol	refseq	x10
ABCD1	NM_000033.3	76.92
APTX	NM_175073.2	94.02
GCSH	NM_004483.4	95.0867
SLC25A15	NM_014252.3	96.1867
TIMM8A	NM_004085.3	96.6867
KCNC3	NM_004977.2	97.0733
CP	NM_000096.3	97.1533
GLDC	NM_000170.2	97.9867
BCAP31	NM_001139441.1	98.2533
AFG3L2	NM_006796.2	98.4933
TTC19	NM_017775.3	98.6667
AMN	NM_030943.3	98.7933
SLC16A2	NM_006517.4	98.7933
ADCY5	NM_183357.2	98.9133
GJC2	NM_020435.3	99.0533
LMBRD1	NM_018368.3	99.0667
PDHA1	NM_000284.3	99.1933
PDSS1	NM_014317.3	99.1933
FXN	NM_000144.4	99.3467
TSEN54	NM_207346.2	99.3533
FAR1	NM_032228.5	99.3667
VPS37A	NM_152415.2	99.5067
CACNA1A	NM_001127221.1	99.5267
DDHD1	NM_001160147.1	99.5867
NOL3	NM_001276312.1	99.5933
HSPD1	NM_002156.4	99.6
CYP2U1	NM_183075.2	99.6267
TGM6	NM_198994.2	99.6533
WDR45	NM_007075.3	99.7333
EXOSC3	NM_016042.3	99.7867
PDSS2	NM_020381.3	99.8533
DNMT1	NM_001130823.1	99.86
BCKDHB	NM_183050.2	99.9133
HPRT1	NM_000194.2	99.9133
SPG7	NM_003119.3	99.9133
TMEM67	NM_153704.5	99.9133
PDGFRB	NM_002609.3	99.9467
TH	NM_199292.2	99.9667
ABHD12	NM_001042472.2	99.98
CSF1R	NM_005211.3	99.98
L1CAM	NM_000425.4	99.98
PNPLA6	NM_006702.4	99.98
VPS13A	NM_033305.2	99.98
DDC	NM_000790.3	99.9867
TAF1	NM_004606.4	99.9867
AP4M1	NM_004722.3	99.9933
ATP2B3	NM_001001344.2	99.9933
PCCA	NM_000282.3	99.9933
ABCB7	NM_004299.4	100
ACAT1	NM_000019.3	100
ADCK3	NM_020247.4	100
ALDH18A1	NM_002860.3	100
ALDH3A2	NM_000382.2	100
ALS2	NM_020919.3	100
AMPD2	NM_001257360.1	100
AMT	NM_000481.3	100
ANO10	NM_018075.3	100
ANO3	NM_031418.2	100
AP4B1	NM_006594.3	100
AP4E1	NM_007347.4	100
AP4S1	NM_007077.4	100
AP5Z1	NM_014855.2	100
ARG1	NM_000045.3	100
ARSA	NM_000487.5	100
ATCAY	NM_033064.4	100
ATL1	NM_015915.4	100
ATM	NM_000051.3	100
ATP13A2	NM_022089.3	100
ATP1A2	NM_000702.3	100
ATP1A3	NM_152296.4	100
ATP7B	NM_000053.3	100
AUH	NM_001698.2	100
B4GALNT1	NM_001478.4	100
BCKDHA	NM_000709.3	100
BICD2	NM_001003800.1	100
BSCL2	NM_032667.6	100
C10orf2	NM_021830.4	100
C12orf65	NM_152269.4	100
C19orf12	NM_001031726.3	100
CA8	NM_004056.4	100
CACNA1G	NM_018896.4	100
CACNB4	NM_000726.3	100
CAPN1	NM_001198868.1	100
CASK	NM_003688.3	100
CBS	NM_000071.2	100
CCT5	NM_012073.3	100
CHMP1A	NM_002768.4	100
CLP1	NM_006831.2	100
COASY	NM_025233.6	100
COQ2	NM_015697.7	100
COQ9	NM_020312.3	100
CUBN	NM_001081.3	100
CYP27A1	NM_000784.3	100
CYP7B1	NM_004820.3	100
DARS2	NM_018122.4	100
DBT	NM_001918.3	100
DCAF17	NM_025000.3	100
DCTN1	NM_004082.4	100
DDHD2	NM_015214.2	100
DLAT	NM_001931.4	100
EIF2B1	NM_001414.3	100
EIF2B2	NM_014239.3	100
EIF2B3	NM_020365.4	100
EIF2B4	NM_015636.3	100
EIF2B5	NM_003907.2	100
